notice_id,buyer_name_raw,buyer_name_normalized,buyer_siret_clean,buyer_siren_clean,buyer_identifier_source,buyer_key,buyer_key_type,buyer_siren_enriched,buyer_siren_alias,buyer_siren_l2,buyer_key_l2,buyer_identity_source,buyer_identity_confidence,buyer_identity_conflict,buyer_siren_agrees_with_boamp_siret,enrichment_join_status
15-42843,Cté de Cnes de l'Ile de Noirmoutier,cte de cnes de l ile de noirmoutier,,,NONE,NAME:cte de cnes de l ile de noirmoutier,NAME_FALLBACK,,,,NAME:cte de cnes de l ile de noirmoutier,NAME_FALLBACK,LOW,False,False,NOT_IN_ENRICHMENT
15-45661,Ville du Château d'Olonne,ville du chateau d olonne,,,NONE,NAME:ville du chateau d olonne,NAME_FALLBACK,,,,NAME:ville du chateau d olonne,NAME_FALLBACK,LOW,False,False,NOT_IN_ENRICHMENT
15-47591,Ville d'Angers,ville d angers,,,NONE,NAME:ville d angers,NAME_FALLBACK,,,,NAME:ville d angers,NAME_FALLBACK,LOW,False,False,NOT_IN_ENRICHMENT
15-48624,Rectorat de l'Académie de Nantes,rectorat de l academie de nantes,,,NONE,NAME:rectorat de l academie de nantes,NAME_FALLBACK,,,,NAME:rectorat de l academie de nantes,NAME_FALLBACK,LOW,False,False,NOT_IN_ENRICHMENT
15-43293,MSA Loire-Atlantique - Vendée,msa loire-atlantique - vendee,,,NONE,NAME:msa loire-atlantique - vendee,NAME_FALLBACK,,,,NAME:msa loire-atlantique - vendee,NAME_FALLBACK,LOW,False,False,NOT_IN_ENRICHMENT
15-33752,Conseil régional des Pays de la Loire,conseil regional des pays de la loire,,,NONE,NAME:conseil regional des pays de la loire,NAME_FALLBACK,,234400034,234400034,SIREN:234400034,UNIQUE_NAME_DEPARTMENT_ALIAS,MEDIUM_LOW,False,False,NOT_IN_ENRICHMENT
15-45169,Vendée Eau,vendee eau,,,NONE,NAME:vendee eau,NAME_FALLBACK,,258500222,258500222,SIREN:258500222,UNIQUE_NAME_DEPARTMENT_ALIAS,MEDIUM_LOW,False,False,NOT_IN_ENRICHMENT
15-32051,Caisse des dépôts,caisse des depots,,,NONE,NAME:caisse des depots,NAME_FALLBACK,,,,NAME:caisse des depots,NAME_FALLBACK,LOW,False,False,NOT_IN_ENRICHMENT
15-35224,Centre hospitalier de Laval,centre hospitalier de laval,,,NONE,NAME:centre hospitalier de laval,NAME_FALLBACK,,,,NAME:centre hospitalier de laval,NAME_FALLBACK,LOW,False,False,NOT_IN_ENRICHMENT
15-37182,MINDEF/DGA/DT/SCAT,mindef dga dt scat,,,NONE,NAME:mindef dga dt scat,NAME_FALLBACK,,,,NAME:mindef dga dt scat,NAME_FALLBACK,LOW,False,False,NOT_IN_ENRICHMENT
15-45496,Commune de Saint-Barthélemy-d'Anjou,commune de saint-barthelemy-d anjou,,,NONE,NAME:commune de saint-barthelemy-d anjou,NAME_FALLBACK,,,,NAME:commune de saint-barthelemy-d anjou,NAME_FALLBACK,LOW,False,False,NOT_IN_ENRICHMENT
15-42247,COMMUNAUTE DE COMMUNES DERVAL,communaute de communes derval,,,NONE,NAME:communaute de communes derval,NAME_FALLBACK,,,,NAME:communaute de communes derval,NAME_FALLBACK,LOW,False,False,NOT_IN_ENRICHMENT
15-44894,Préfecture,prefecture,,,NONE,NAME:prefecture,NAME_FALLBACK,,,,NAME:prefecture,NAME_FALLBACK,LOW,False,False,NOT_IN_ENRICHMENT
15-33241,CHU de Nantes,chu de nantes,,,NONE,NAME:chu de nantes,NAME_FALLBACK,,264400136,264400136,SIREN:264400136,UNIQUE_NAME_DEPARTMENT_ALIAS,MEDIUM_LOW,False,False,NOT_IN_ENRICHMENT
15-43149,SDIS 85,sdis 85,,,NONE,NAME:sdis 85,NAME_FALLBACK,,288500010,288500010,SIREN:288500010,UNIQUE_NAME_DEPARTMENT_ALIAS,MEDIUM_LOW,False,False,NOT_IN_ENRICHMENT
15-47696,Ministère des Affaires étrangères,ministere des affaires etrangeres,12000601000058,120006010,RAW_SIRET_FIELD,SIRET:12000601000058,RAW_SIRET,,,120006010,SIRET:12000601000058,DIRECT_BOAMP_SIRET,HIGH,False,False,NOT_IN_ENRICHMENT
15-40940,CARENE,carene,,,NONE,NAME:carene,NAME_FALLBACK,,,,NAME:carene,NAME_FALLBACK,LOW,False,False,NOT_IN_ENRICHMENT
15-32168,Conseil régional des Pays de la Loire,conseil regional des pays de la loire,23440003400026,234400034,RAW_SIRET_FIELD,SIRET:23440003400026,RAW_SIRET,,234400034,234400034,SIRET:23440003400026,DIRECT_BOAMP_SIRET,HIGH,False,False,NOT_IN_ENRICHMENT
15-34520,CHU d'Angers,chu d angers,,,NONE,NAME:chu d angers,NAME_FALLBACK,,264900036,264900036,SIREN:264900036,UNIQUE_NAME_DEPARTMENT_ALIAS,MEDIUM_LOW,False,False,NOT_IN_ENRICHMENT
15-39992,Mairie de la Montagne,mairie de la montagne,,,NONE,NAME:mairie de la montagne,NAME_FALLBACK,,214401010,214401010,SIREN:214401010,UNIQUE_NAME_DEPARTMENT_ALIAS,MEDIUM_LOW,False,False,NOT_IN_ENRICHMENT
15-56918,VALLET,vallet,,,NONE,NAME:vallet,NAME_FALLBACK,,,,NAME:vallet,NAME_FALLBACK,LOW,False,False,NOT_IN_ENRICHMENT
15-59370,CHU de Nantes,chu de nantes,,,NONE,NAME:chu de nantes,NAME_FALLBACK,,264400136,264400136,SIREN:264400136,UNIQUE_NAME_DEPARTMENT_ALIAS,MEDIUM_LOW,False,False,NOT_IN_ENRICHMENT
15-59770,CAP Atlantique,cap atlantique,,,NONE,NAME:cap atlantique,NAME_FALLBACK,,244400610,244400610,SIREN:244400610,UNIQUE_NAME_DEPARTMENT_ALIAS,MEDIUM_LOW,False,False,NOT_IN_ENRICHMENT
15-60447,SDIS 44,sdis 44,,,NONE,NAME:sdis 44,NAME_FALLBACK,,284400017,284400017,SIREN:284400017,UNIQUE_NAME_DEPARTMENT_ALIAS,MEDIUM_LOW,False,False,NOT_IN_ENRICHMENT
15-63856,CAP Atlantique,cap atlantique,,,NONE,NAME:cap atlantique,NAME_FALLBACK,,244400610,244400610,SIREN:244400610,UNIQUE_NAME_DEPARTMENT_ALIAS,MEDIUM_LOW,False,False,NOT_IN_ENRICHMENT
15-50314,Ministère des Affaires étrangères,ministere des affaires etrangeres,,,NONE,NAME:ministere des affaires etrangeres,NAME_FALLBACK,,,,NAME:ministere des affaires etrangeres,NAME_FALLBACK,LOW,False,False,NOT_IN_ENRICHMENT
15-56649,Conseil régional des Pays de la Loire,conseil regional des pays de la loire,23440003400026,234400034,RAW_SIRET_FIELD,SIRET:23440003400026,RAW_SIRET,,234400034,234400034,SIRET:23440003400026,DIRECT_BOAMP_SIRET,HIGH,False,False,NOT_IN_ENRICHMENT
15-58339,CNIEG,cnieg,,,NONE,NAME:cnieg,NAME_FALLBACK,,,,NAME:cnieg,NAME_FALLBACK,LOW,False,False,NOT_IN_ENRICHMENT
15-53947,Commune de Saint-Herblain,commune de saint-herblain,,,NONE,NAME:commune de saint-herblain,NAME_FALLBACK,,214401622,214401622,SIREN:214401622,UNIQUE_NAME_DEPARTMENT_ALIAS,MEDIUM_LOW,False,False,NOT_IN_ENRICHMENT
15-56571,Caisse des dépôts,caisse des depots,,,NONE,NAME:caisse des depots,NAME_FALLBACK,,,,NAME:caisse des depots,NAME_FALLBACK,LOW,False,False,NOT_IN_ENRICHMENT
15-54892,SDIS 85,sdis 85,,,NONE,NAME:sdis 85,NAME_FALLBACK,,288500010,288500010,SIREN:288500010,UNIQUE_NAME_DEPARTMENT_ALIAS,MEDIUM_LOW,False,False,NOT_IN_ENRICHMENT
15-65278,SNA/ouest,sna ouest,,,NONE,NAME:sna ouest,NAME_FALLBACK,,,,NAME:sna ouest,NAME_FALLBACK,LOW,False,False,NOT_IN_ENRICHMENT
15-58971,CCI de Maine et Loire,cci de maine et loire,,,NONE,NAME:cci de maine et loire,NAME_FALLBACK,,130004609,130004609,SIREN:130004609,UNIQUE_NAME_DEPARTMENT_ALIAS,MEDIUM_LOW,False,False,NOT_IN_ENRICHMENT
15-62309,Ville d'Allonnes,ville d allonnes,,,NONE,NAME:ville d allonnes,NAME_FALLBACK,,,,NAME:ville d allonnes,NAME_FALLBACK,LOW,False,False,NOT_IN_ENRICHMENT
15-52664,Ministère des Affaires étrangères,ministere des affaires etrangeres,12000601000058,120006010,RAW_SIRET_FIELD,SIRET:12000601000058,RAW_SIRET,,,120006010,SIRET:12000601000058,DIRECT_BOAMP_SIRET,HIGH,False,False,NOT_IN_ENRICHMENT
15-55213,Ville du Croisic,ville du croisic,,,NONE,NAME:ville du croisic,NAME_FALLBACK,,,,NAME:ville du croisic,NAME_FALLBACK,LOW,False,False,NOT_IN_ENRICHMENT
15-55830,Université de Nantes,universite de nantes,,,NONE,NAME:universite de nantes,NAME_FALLBACK,,130029747,130029747,SIREN:130029747,UNIQUE_NAME_DEPARTMENT_ALIAS,MEDIUM_LOW,False,False,NOT_IN_ENRICHMENT
15-58989,CCIR Pays de la Loire,ccir pays de la loire,,,NONE,NAME:ccir pays de la loire,NAME_FALLBACK,,,,NAME:ccir pays de la loire,NAME_FALLBACK,LOW,False,False,NOT_IN_ENRICHMENT
15-64904,SDIS 85,sdis 85,,,NONE,NAME:sdis 85,NAME_FALLBACK,,288500010,288500010,SIREN:288500010,UNIQUE_NAME_DEPARTMENT_ALIAS,MEDIUM_LOW,False,False,NOT_IN_ENRICHMENT
15-54712,ville de donges,ville de donges,,,NONE,NAME:ville de donges,NAME_FALLBACK,,,,NAME:ville de donges,NAME_FALLBACK,LOW,False,False,NOT_IN_ENRICHMENT
15-59425,Conseil général de Loire-Atlantique,conseil general de loire-atlantique,,,NONE,NAME:conseil general de loire-atlantique,NAME_FALLBACK,,,,NAME:conseil general de loire-atlantique,NAME_FALLBACK,LOW,False,False,NOT_IN_ENRICHMENT
15-59556,Conseil général de Loire-Atlantique,conseil general de loire-atlantique,,,NONE,NAME:conseil general de loire-atlantique,NAME_FALLBACK,,,,NAME:conseil general de loire-atlantique,NAME_FALLBACK,LOW,False,False,NOT_IN_ENRICHMENT
15-55407,Nantes Métropole,nantes metropole,,,NONE,NAME:nantes metropole,NAME_FALLBACK,,,,NAME:nantes metropole,NAME_FALLBACK,LOW,False,False,NOT_IN_ENRICHMENT
15-48967,Centre hospitalier de Laval,centre hospitalier de laval,,,NONE,NAME:centre hospitalier de laval,NAME_FALLBACK,,,,NAME:centre hospitalier de laval,NAME_FALLBACK,LOW,False,False,NOT_IN_ENRICHMENT
15-49442,Ville de Saumur,ville de saumur,,,NONE,NAME:ville de saumur,NAME_FALLBACK,,,,NAME:ville de saumur,NAME_FALLBACK,LOW,False,False,NOT_IN_ENRICHMENT
15-58224,Ville d'Angers,ville d angers,,,NONE,NAME:ville d angers,NAME_FALLBACK,,,,NAME:ville d angers,NAME_FALLBACK,LOW,False,False,NOT_IN_ENRICHMENT
15-31076,Ville de La Roche-sur-Yon,ville de la roche-sur-yon,,,NONE,NAME:ville de la roche-sur-yon,NAME_FALLBACK,,218501914,218501914,SIREN:218501914,UNIQUE_NAME_DEPARTMENT_ALIAS,MEDIUM_LOW,False,False,NOT_IN_ENRICHMENT
15-64142,CHU de Nantes,chu de nantes,,,NONE,NAME:chu de nantes,NAME_FALLBACK,,264400136,264400136,SIREN:264400136,UNIQUE_NAME_DEPARTMENT_ALIAS,MEDIUM_LOW,False,False,NOT_IN_ENRICHMENT
15-50278,Cté de Cnes 'Océan-Marais de Monts',cte de cnes ocean-marais de monts,,,NONE,NAME:cte de cnes ocean-marais de monts,NAME_FALLBACK,,,,NAME:cte de cnes ocean-marais de monts,NAME_FALLBACK,LOW,False,False,NOT_IN_ENRICHMENT
15-50732,CHU de Nantes,chu de nantes,,,NONE,NAME:chu de nantes,NAME_FALLBACK,,264400136,264400136,SIREN:264400136,UNIQUE_NAME_DEPARTMENT_ALIAS,MEDIUM_LOW,False,False,NOT_IN_ENRICHMENT
15-51571,RESIDENCES SAINT ALEXANDRE,residences saint alexandre,,,NONE,NAME:residences saint alexandre,NAME_FALLBACK,,,,NAME:residences saint alexandre,NAME_FALLBACK,LOW,False,False,NOT_IN_ENRICHMENT
15-55527,CDC du Pays de Saint Gilles Cx de Vie,cdc du pays de saint gilles cx de vie,,,NONE,NAME:cdc du pays de saint gilles cx de vie,NAME_FALLBACK,,,,NAME:cdc du pays de saint gilles cx de vie,NAME_FALLBACK,LOW,False,False,NOT_IN_ENRICHMENT
15-56776,Ville d'Angers,ville d angers,,,NONE,NAME:ville d angers,NAME_FALLBACK,,,,NAME:ville d angers,NAME_FALLBACK,LOW,False,False,NOT_IN_ENRICHMENT
15-55114,Institution Aménagement de la Vilaine,institution amenagement de la vilaine,,,NONE,NAME:institution amenagement de la vilaine,NAME_FALLBACK,,,,NAME:institution amenagement de la vilaine,NAME_FALLBACK,LOW,False,False,NOT_IN_ENRICHMENT
15-51820,CH LE MANS,ch le mans,,,NONE,NAME:ch le mans,NAME_FALLBACK,,267200160,267200160,SIREN:267200160,UNIQUE_NAME_DEPARTMENT_ALIAS,MEDIUM_LOW,False,False,NOT_IN_ENRICHMENT
15-55973,ESID de Rennes,esid de rennes,,,NONE,NAME:esid de rennes,NAME_FALLBACK,,,,NAME:esid de rennes,NAME_FALLBACK,LOW,False,False,NOT_IN_ENRICHMENT
15-58213,Ville d'Orvault,ville d orvault,,,NONE,NAME:ville d orvault,NAME_FALLBACK,,214401143,214401143,SIREN:214401143,UNIQUE_NAME_DEPARTMENT_ALIAS,MEDIUM_LOW,False,False,NOT_IN_ENRICHMENT
15-63415,SDIS 44,sdis 44,,,NONE,NAME:sdis 44,NAME_FALLBACK,,284400017,284400017,SIREN:284400017,UNIQUE_NAME_DEPARTMENT_ALIAS,MEDIUM_LOW,False,False,NOT_IN_ENRICHMENT
15-50024,Vendée Eau,vendee eau,,,NONE,NAME:vendee eau,NAME_FALLBACK,,258500222,258500222,SIREN:258500222,UNIQUE_NAME_DEPARTMENT_ALIAS,MEDIUM_LOW,False,False,NOT_IN_ENRICHMENT
15-65940,Pole Santé Sarthe et Loire,pole sante sarthe et loire,,,NONE,NAME:pole sante sarthe et loire,NAME_FALLBACK,,,,NAME:pole sante sarthe et loire,NAME_FALLBACK,LOW,False,False,NOT_IN_ENRICHMENT
15-65742,Ville du Mans,ville du mans,,,NONE,NAME:ville du mans,NAME_FALLBACK,,217201813,217201813,SIREN:217201813,UNIQUE_NAME_DEPARTMENT_ALIAS,MEDIUM_LOW,False,False,NOT_IN_ENRICHMENT
15-76604,Le Mans Métropole - Communauté Urbaine,le mans metropole - communaute urbaine,,,NONE,NAME:le mans metropole - communaute urbaine,NAME_FALLBACK,,247200132,247200132,SIREN:247200132,UNIQUE_NAME_DEPARTMENT_ALIAS,MEDIUM_LOW,False,False,NOT_IN_ENRICHMENT
15-76852,Ville de Rezé,ville de reze,,,NONE,NAME:ville de reze,NAME_FALLBACK,,214401432,214401432,SIREN:214401432,UNIQUE_NAME_DEPARTMENT_ALIAS,MEDIUM_LOW,False,False,NOT_IN_ENRICHMENT
15-81652,Ecole des Mines de Nantes,ecole des mines de nantes,,,NONE,NAME:ecole des mines de nantes,NAME_FALLBACK,,,,NAME:ecole des mines de nantes,NAME_FALLBACK,LOW,False,False,NOT_IN_ENRICHMENT
15-74702,CESAME - CH de Sainte Gemmes sur Loire,cesame - ch de sainte gemmes sur loire,,,NONE,NAME:cesame - ch de sainte gemmes sur loire,NAME_FALLBACK,,,,NAME:cesame - ch de sainte gemmes sur loire,NAME_FALLBACK,LOW,False,False,NOT_IN_ENRICHMENT
15-75102,SDIS 85,sdis 85,,,NONE,NAME:sdis 85,NAME_FALLBACK,,288500010,288500010,SIREN:288500010,UNIQUE_NAME_DEPARTMENT_ALIAS,MEDIUM_LOW,False,False,NOT_IN_ENRICHMENT
15-78724,e-Collectivités Vendée,e-collectivites vendee,,,NONE,NAME:e-collectivites vendee,NAME_FALLBACK,,,,NAME:e-collectivites vendee,NAME_FALLBACK,LOW,False,False,NOT_IN_ENRICHMENT
15-78916,CHU de Nantes,chu de nantes,,,NONE,NAME:chu de nantes,NAME_FALLBACK,,264400136,264400136,SIREN:264400136,UNIQUE_NAME_DEPARTMENT_ALIAS,MEDIUM_LOW,False,False,NOT_IN_ENRICHMENT
15-68078,DIR Ouest,dir ouest,,,NONE,NAME:dir ouest,NAME_FALLBACK,,130001704,130001704,SIREN:130001704,UNIQUE_NAME_DEPARTMENT_ALIAS,MEDIUM_LOW,False,False,NOT_IN_ENRICHMENT
15-74861,Angers Loire Métropole,angers loire metropole,,,NONE,NAME:angers loire metropole,NAME_FALLBACK,,244900015,244900015,SIREN:244900015,UNIQUE_NAME_DEPARTMENT_ALIAS,MEDIUM_LOW,False,False,NOT_IN_ENRICHMENT
15-79398,SDIS 85,sdis 85,,,NONE,NAME:sdis 85,NAME_FALLBACK,,288500010,288500010,SIREN:288500010,UNIQUE_NAME_DEPARTMENT_ALIAS,MEDIUM_LOW,False,False,NOT_IN_ENRICHMENT
15-81231,SAEM Vendée,saem vendee,,,NONE,NAME:saem vendee,NAME_FALLBACK,,,,NAME:saem vendee,NAME_FALLBACK,LOW,False,False,NOT_IN_ENRICHMENT
15-71764,Conseil régional des Pays de la Loire,conseil regional des pays de la loire,,,NONE,NAME:conseil regional des pays de la loire,NAME_FALLBACK,,234400034,234400034,SIREN:234400034,UNIQUE_NAME_DEPARTMENT_ALIAS,MEDIUM_LOW,False,False,NOT_IN_ENRICHMENT
15-72457,Conseil régional des Pays de la Loire,conseil regional des pays de la loire,,,NONE,NAME:conseil regional des pays de la loire,NAME_FALLBACK,,234400034,234400034,SIREN:234400034,UNIQUE_NAME_DEPARTMENT_ALIAS,MEDIUM_LOW,False,False,NOT_IN_ENRICHMENT
15-67480,Syndicat Départemental d'Energie,syndicat departemental d energie,,,NONE,NAME:syndicat departemental d energie,NAME_FALLBACK,,,,NAME:syndicat departemental d energie,NAME_FALLBACK,LOW,False,False,NOT_IN_ENRICHMENT
15-75567,Nantes Métropole,nantes metropole,,,NONE,NAME:nantes metropole,NAME_FALLBACK,,,,NAME:nantes metropole,NAME_FALLBACK,LOW,False,False,NOT_IN_ENRICHMENT
15-79099,Ministère des Affaires étrangères,ministere des affaires etrangeres,12000601000058,120006010,RAW_SIRET_FIELD,SIRET:12000601000058,RAW_SIRET,,,120006010,SIRET:12000601000058,DIRECT_BOAMP_SIRET,HIGH,False,False,NOT_IN_ENRICHMENT
15-70236,SDIS 85,sdis 85,,,NONE,NAME:sdis 85,NAME_FALLBACK,,288500010,288500010,SIREN:288500010,UNIQUE_NAME_DEPARTMENT_ALIAS,MEDIUM_LOW,False,False,NOT_IN_ENRICHMENT
15-71156,Université d'Angers,universite d angers,19490970100303,194909701,RAW_SIRET_FIELD,SIRET:19490970100303,RAW_SIRET,,194909701,194909701,SIRET:19490970100303,DIRECT_BOAMP_SIRET,HIGH,False,False,NOT_IN_ENRICHMENT
15-74284,Conseil général de Loire-Atlantique,conseil general de loire-atlantique,,,NONE,NAME:conseil general de loire-atlantique,NAME_FALLBACK,,,,NAME:conseil general de loire-atlantique,NAME_FALLBACK,LOW,False,False,NOT_IN_ENRICHMENT
15-81513,Ville de Bayeux,ville de bayeux,,,NONE,NAME:ville de bayeux,NAME_FALLBACK,,,,NAME:ville de bayeux,NAME_FALLBACK,LOW,False,False,NOT_IN_ENRICHMENT
15-81386,GPM de Nantes - St Nazaire,gpm de nantes - st nazaire,,,NONE,NAME:gpm de nantes - st nazaire,NAME_FALLBACK,,775604853,775604853,SIREN:775604853,UNIQUE_NAME_DEPARTMENT_ALIAS,MEDIUM_LOW,False,False,NOT_IN_ENRICHMENT
15-69497,Angers Loire Métropole,angers loire metropole,,,NONE,NAME:angers loire metropole,NAME_FALLBACK,,244900015,244900015,SIREN:244900015,UNIQUE_NAME_DEPARTMENT_ALIAS,MEDIUM_LOW,False,False,NOT_IN_ENRICHMENT
15-82510,CG49,cg49,,,NONE,NAME:cg49,NAME_FALLBACK,,,,NAME:cg49,NAME_FALLBACK,LOW,False,False,NOT_IN_ENRICHMENT
15-89415,CH LE MANS,ch le mans,,,NONE,NAME:ch le mans,NAME_FALLBACK,,267200160,267200160,SIREN:267200160,UNIQUE_NAME_DEPARTMENT_ALIAS,MEDIUM_LOW,False,False,NOT_IN_ENRICHMENT
15-90549,Concarneau Cornouaille Agglomération,concarneau cornouaille agglomeration,,,NONE,NAME:concarneau cornouaille agglomeration,NAME_FALLBACK,,,,NAME:concarneau cornouaille agglomeration,NAME_FALLBACK,LOW,False,False,NOT_IN_ENRICHMENT
15-96870,Angers Loire Métropole,angers loire metropole,,,NONE,NAME:angers loire metropole,NAME_FALLBACK,,244900015,244900015,SIREN:244900015,UNIQUE_NAME_DEPARTMENT_ALIAS,MEDIUM_LOW,False,False,NOT_IN_ENRICHMENT
15-85858,Université de Nantes,universite de nantes,,,NONE,NAME:universite de nantes,NAME_FALLBACK,,130029747,130029747,SIREN:130029747,UNIQUE_NAME_DEPARTMENT_ALIAS,MEDIUM_LOW,False,False,NOT_IN_ENRICHMENT
15-86544,Conseil général de Loire-Atlantique,conseil general de loire-atlantique,,,NONE,NAME:conseil general de loire-atlantique,NAME_FALLBACK,,,,NAME:conseil general de loire-atlantique,NAME_FALLBACK,LOW,False,False,NOT_IN_ENRICHMENT
15-98976,Ministère des Affaires étrangères,ministere des affaires etrangeres,,,NONE,NAME:ministere des affaires etrangeres,NAME_FALLBACK,,,,NAME:ministere des affaires etrangeres,NAME_FALLBACK,LOW,False,False,NOT_IN_ENRICHMENT
15-84438,SNA/ouest,sna ouest,,,NONE,NAME:sna ouest,NAME_FALLBACK,,,,NAME:sna ouest,NAME_FALLBACK,LOW,False,False,NOT_IN_ENRICHMENT
15-84820,Nantes Métropole,nantes metropole,,,NONE,NAME:nantes metropole,NAME_FALLBACK,,,,NAME:nantes metropole,NAME_FALLBACK,LOW,False,False,NOT_IN_ENRICHMENT
15-69493,ADEME,ademe,,,NONE,NAME:ademe,NAME_FALLBACK,,,,NAME:ademe,NAME_FALLBACK,LOW,False,False,NOT_IN_ENRICHMENT
15-98483,SPR Pays de la Loire,spr pays de la loire,,,NONE,NAME:spr pays de la loire,NAME_FALLBACK,,,,NAME:spr pays de la loire,NAME_FALLBACK,LOW,False,False,NOT_IN_ENRICHMENT
15-92216,CHU de Nantes,chu de nantes,,,NONE,NAME:chu de nantes,NAME_FALLBACK,,264400136,264400136,SIREN:264400136,UNIQUE_NAME_DEPARTMENT_ALIAS,MEDIUM_LOW,False,False,NOT_IN_ENRICHMENT
15-96106,CNIEG,cnieg,,,NONE,NAME:cnieg,NAME_FALLBACK,,,,NAME:cnieg,NAME_FALLBACK,LOW,False,False,NOT_IN_ENRICHMENT
15-85320,Ministère des Affaires étrangères,ministere des affaires etrangeres,,,NONE,NAME:ministere des affaires etrangeres,NAME_FALLBACK,,,,NAME:ministere des affaires etrangeres,NAME_FALLBACK,LOW,False,False,NOT_IN_ENRICHMENT
15-95582,SGAMI OUEST,sgami ouest,,,NONE,NAME:sgami ouest,NAME_FALLBACK,,,,NAME:sgami ouest,NAME_FALLBACK,LOW,False,False,NOT_IN_ENRICHMENT
15-98729,SPR Pays de la Loire,spr pays de la loire,,,NONE,NAME:spr pays de la loire,NAME_FALLBACK,,,,NAME:spr pays de la loire,NAME_FALLBACK,LOW,False,False,NOT_IN_ENRICHMENT
15-90148,Concarneau Cornouaille Agglomération,concarneau cornouaille agglomeration,,,NONE,NAME:concarneau cornouaille agglomeration,NAME_FALLBACK,,,,NAME:concarneau cornouaille agglomeration,NAME_FALLBACK,LOW,False,False,NOT_IN_ENRICHMENT
15-97256,Ville de Nantes,ville de nantes,,,NONE,NAME:ville de nantes,NAME_FALLBACK,,,,NAME:ville de nantes,NAME_FALLBACK,LOW,False,False,NOT_IN_ENRICHMENT
15-89263,Vendée Eau,vendee eau,,,NONE,NAME:vendee eau,NAME_FALLBACK,,258500222,258500222,SIREN:258500222,UNIQUE_NAME_DEPARTMENT_ALIAS,MEDIUM_LOW,False,False,NOT_IN_ENRICHMENT
15-92906,CNIEG,cnieg,,,NONE,NAME:cnieg,NAME_FALLBACK,,,,NAME:cnieg,NAME_FALLBACK,LOW,False,False,NOT_IN_ENRICHMENT
15-96786,Conseil Général de la Sarthe,conseil general de la sarthe,,,NONE,NAME:conseil general de la sarthe,NAME_FALLBACK,,,,NAME:conseil general de la sarthe,NAME_FALLBACK,LOW,False,False,NOT_IN_ENRICHMENT
15-98106,Mairie des Sables d'Olonne,mairie des sables d olonne,,,NONE,NAME:mairie des sables d olonne,NAME_FALLBACK,,,,NAME:mairie des sables d olonne,NAME_FALLBACK,LOW,False,False,NOT_IN_ENRICHMENT
15-83632,CHU de Nantes,chu de nantes,,,NONE,NAME:chu de nantes,NAME_FALLBACK,,264400136,264400136,SIREN:264400136,UNIQUE_NAME_DEPARTMENT_ALIAS,MEDIUM_LOW,False,False,NOT_IN_ENRICHMENT
