notice_id,buyer_key,buyer_key_type,publication_date,start_date,estimated_end_date,study_end_date,cpv_division,cpv_category,category_label,is_digital_scope,declared_duration_months,dur_was_imputed,event,time_to_event_or_censor_months,linked_candidate_notice_id,composite_score,confidence_tier,transfer_score,logistic_score,threshold_used,model_name,benchmark_version,threshold_source,top1_top2_margin,n_candidates_for_source,variant
15-32051,NAME:caisse des depots,NAME_FALLBACK,2015-03-04,2015-03-04,2015-09-04,2026-07-13,,,DIGITAL_ICT,True,6.0,True,0,136.30091984231274,,,,,,,,,,,,logistic_regression_synthetic_v0_4_transfer
15-35224,NAME:centre hospitalier de laval,NAME_FALLBACK,2015-03-09,2015-03-09,2015-07-09,2026-07-13,30.0,30236.0,DIGITAL_ICT,True,4.0,True,0,136.13666228646517,,,,,,,,,,,,logistic_regression_synthetic_v0_4_transfer
15-37182,NAME:mindef dga dt scat,NAME_FALLBACK,2015-03-11,2015-03-11,2015-08-11,2026-07-13,35.0,35125.0,DIGITAL_ICT,True,5.0,True,0,136.07095926412615,,,,,,,,,,,,logistic_regression_synthetic_v0_4_transfer
15-45496,NAME:commune de saint-barthelemy-d anjou,NAME_FALLBACK,2015-03-26,2015-03-26,2015-08-26,2026-07-13,35.0,35111.0,DIGITAL_ICT,True,5.0,True,0,135.57818659658344,,,,,,,,,,,,logistic_regression_synthetic_v0_4_transfer
15-42247,NAME:communaute de communes derval,NAME_FALLBACK,2015-03-19,2015-03-19,2015-09-19,2026-07-13,,,DIGITAL_ICT,True,6.0,True,0,135.80814717477003,,,,,,,,,,,,logistic_regression_synthetic_v0_4_transfer
15-44894,NAME:prefecture,NAME_FALLBACK,2015-03-24,2015-03-24,2015-09-24,2026-07-13,,,DIGITAL_ICT,True,6.0,True,1,4.664914586070959,15-126736,0.4293663480418526,HIGH,0.7866792230292622,0.7866792230292622,0.7456781676471622,logistic_regression,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,0.4293663480418526,1.0,logistic_regression_synthetic_v0_4_transfer
15-33241,NAME:chu de nantes,NAME_FALLBACK,2015-03-05,2015-09-17,2016-01-17,2026-07-13,32.0,32510.0,DIGITAL_ICT,True,4.0,True,0,136.26806833114324,,,,,,,,,,,,logistic_regression_synthetic_v0_4_transfer
15-43149,NAME:sdis 85,NAME_FALLBACK,2015-03-20,2015-07-20,2015-11-20,2026-07-13,32.0,32522.0,DIGITAL_ICT,True,4.0,True,0,135.77529566360053,,,,,,,,,,,,logistic_regression_synthetic_v0_4_transfer
15-47696,SIRET:12000601000058,RAW_SIRET,2015-03-30,2015-03-30,2015-09-30,2026-07-13,72.0,72500.0,DIGITAL_ICT,True,6.0,True,1,0.2956636005256242,15-52664,0.7066228536529195,HIGH,0.9951448390967572,0.9951448390967572,0.7456781676471622,logistic_regression,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,0.4389228745889888,4.0,logistic_regression_synthetic_v0_4_transfer
15-40940,NAME:carene,NAME_FALLBACK,2015-03-17,2015-03-17,2015-09-17,2026-07-13,,,DIGITAL_ICT,True,6.0,True,0,135.87385019710908,,,,,,,,,,,,logistic_regression_synthetic_v0_4_transfer
15-32168,SIRET:23440003400026,RAW_SIRET,2015-03-03,2015-09-03,2016-03-03,2026-07-13,72.0,72700.0,DIGITAL_ICT,True,6.0,True,0,136.33377135348226,,,,,,,,,,,,logistic_regression_synthetic_v0_4_transfer
15-34520,NAME:chu d angers,NAME_FALLBACK,2015-03-06,2015-03-06,2015-07-06,2026-07-13,32.0,32360.0,DIGITAL_ICT,True,4.0,True,0,136.23521681997372,,,,,,,,,,,,logistic_regression_synthetic_v0_4_transfer
15-39992,NAME:mairie de la montagne,NAME_FALLBACK,2015-03-16,2015-03-16,2015-09-16,2026-07-13,,,DIGITAL_ICT,True,6.0,True,0,135.90670170827858,,,,,,,,,,,,logistic_regression_synthetic_v0_4_transfer
15-56918,NAME:vallet,NAME_FALLBACK,2015-04-15,2015-04-15,2015-08-15,2026-07-13,32.0,32342.0,DIGITAL_ICT,True,4.0,True,0,134.92115637319316,,,,,,,,,,,,logistic_regression_synthetic_v0_4_transfer
15-59370,NAME:chu de nantes,NAME_FALLBACK,2015-04-20,2015-04-20,2015-10-20,2026-07-13,72.0,72261.0,DIGITAL_ICT,True,6.0,True,1,1.8725361366622864,15-92216,0.4609855660643657,POTENTIAL,0.9832864452079043,0.9832864452079043,0.7456781676471622,logistic_regression,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,0.0172598090061074,11.0,logistic_regression_synthetic_v0_4_transfer
15-59770,NAME:cap atlantique,NAME_FALLBACK,2015-04-20,2015-04-20,2015-10-20,2026-07-13,48.0,48000.0,DIGITAL_ICT,True,6.0,True,1,0.1314060446780552,15-63856,0.7111766242127451,HIGH,0.9993267606833526,0.9993267606833526,0.7456781676471622,logistic_regression,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,0.4456500771263847,2.0,logistic_regression_synthetic_v0_4_transfer
15-60447,NAME:sdis 44,NAME_FALLBACK,2015-04-20,2015-04-20,2015-10-20,2026-07-13,33.0,33190.0,DIGITAL_ICT,True,6.0,True,1,3.7779237844940874,15-126308,0.777146756498597,HIGH,0.9991138054229245,0.9991138054229245,0.7456781676471622,logistic_regression,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,0.4430474703119413,3.0,logistic_regression_synthetic_v0_4_transfer
15-63856,NAME:cap atlantique,NAME_FALLBACK,2015-04-24,2015-04-24,2015-10-24,2026-07-13,48.0,48000.0,DIGITAL_ICT,True,6.0,True,0,134.62549277266754,,,,,,,,,,,,logistic_regression_synthetic_v0_4_transfer
15-50314,NAME:ministere des affaires etrangeres,NAME_FALLBACK,2015-04-02,2015-04-02,2015-10-02,2026-07-13,72.0,72500.0,DIGITAL_ICT,True,6.0,True,0,135.34822601839684,,,,,,,,,,,,logistic_regression_synthetic_v0_4_transfer
15-56649,SIRET:23440003400026,RAW_SIRET,2015-04-14,2015-09-30,2016-03-30,2026-07-13,72.0,72500.0,DIGITAL_ICT,True,6.0,True,0,134.95400788436268,,,,,,,,,,,,logistic_regression_synthetic_v0_4_transfer
15-58339,NAME:cnieg,NAME_FALLBACK,2015-04-17,2015-08-06,2016-02-06,2026-07-13,72.0,72400.0,DIGITAL_ICT,True,6.0,True,1,7.128777923784494,15-175690,0.5982373297281363,HIGH,0.99912786837695,0.99912786837695,0.7456781676471622,logistic_regression,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,0.0788879626340282,5.0,logistic_regression_synthetic_v0_4_transfer
15-53947,NAME:commune de saint-herblain,NAME_FALLBACK,2015-04-10,2015-04-10,2015-10-10,2026-07-13,48.0,48220.0,DIGITAL_ICT,True,6.0,True,1,5.157687253613666,15-140619,0.3891614146490622,POTENTIAL,0.7483860288418706,0.7483860288418706,0.7456781676471622,logistic_regression,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,0.0084953954573356,5.0,logistic_regression_synthetic_v0_4_transfer
15-56571,NAME:caisse des depots,NAME_FALLBACK,2015-04-14,2015-08-10,2016-02-10,2026-07-13,,,DIGITAL_ICT,True,6.0,True,0,134.95400788436268,,,,,,,,,,,,logistic_regression_synthetic_v0_4_transfer
15-54892,NAME:sdis 85,NAME_FALLBACK,2015-04-10,2015-07-20,2015-11-20,2026-07-13,32.0,32522.0,DIGITAL_ICT,True,4.0,True,0,135.08541392904073,,,,,,,,,,,,logistic_regression_synthetic_v0_4_transfer
15-65278,NAME:sna ouest,NAME_FALLBACK,2015-04-28,2015-04-28,2015-08-28,2026-07-13,34.0,34995.0,DIGITAL_ICT,True,4.0,True,0,134.4940867279895,,,,,,,,,,,,logistic_regression_synthetic_v0_4_transfer
15-58971,NAME:cci de maine et loire,NAME_FALLBACK,2015-04-17,2015-04-17,2015-10-17,2026-07-13,,,DIGITAL_ICT,True,6.0,True,1,10.939553219448094,16-36754,0.177912825744729,HIGH,0.8311795506698443,0.8311795506698443,0.7456781676471622,logistic_regression,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,0.177912825744729,1.0,logistic_regression_synthetic_v0_4_transfer
15-62309,NAME:ville d allonnes,NAME_FALLBACK,2015-04-22,2015-06-18,2015-12-18,2026-07-13,,,DIGITAL_ICT,True,6.0,True,0,134.69119579500656,,,,,,,,,,,,logistic_regression_synthetic_v0_4_transfer
15-52664,SIRET:12000601000058,RAW_SIRET,2015-04-08,2015-04-08,2015-10-08,2026-07-13,72.0,72500.0,DIGITAL_ICT,True,6.0,True,0,135.15111695137978,,,,,,,,,,,,logistic_regression_synthetic_v0_4_transfer
15-55213,NAME:ville du croisic,NAME_FALLBACK,2015-04-13,2015-04-13,2015-08-13,2026-07-13,32.0,32424.0,DIGITAL_ICT,True,4.0,True,0,134.9868593955322,,,,,,,,,,,,logistic_regression_synthetic_v0_4_transfer
15-55830,NAME:universite de nantes,NAME_FALLBACK,2015-04-13,2015-04-13,2015-10-13,2026-07-13,48.0,48000.0,DIGITAL_ICT,True,6.0,True,0,134.9868593955322,,,,,,,,,,,,logistic_regression_synthetic_v0_4_transfer
15-58989,NAME:ccir pays de la loire,NAME_FALLBACK,2015-04-17,2015-04-17,2015-10-17,2026-07-13,48.0,48900.0,DIGITAL_ICT,True,6.0,True,1,2.6609724047306176,15-105085,0.4829912419415887,HIGH,0.996933734694048,0.996933734694048,0.7456781676471622,logistic_regression,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,0.1811249667257728,2.0,logistic_regression_synthetic_v0_4_transfer
15-64904,NAME:sdis 85,NAME_FALLBACK,2015-04-28,2015-10-22,2016-04-22,2026-07-13,48.0,48450.0,DIGITAL_ICT,True,6.0,True,0,134.4940867279895,,,,,,,,,,,,logistic_regression_synthetic_v0_4_transfer
15-54712,NAME:ville de donges,NAME_FALLBACK,2015-04-10,2015-04-10,2015-10-10,2026-07-13,,,DIGITAL_ICT,True,6.0,True,0,135.08541392904073,,,,,,,,,,,,logistic_regression_synthetic_v0_4_transfer
15-59425,NAME:conseil general de loire-atlantique,NAME_FALLBACK,2015-04-20,2015-11-16,2016-04-16,2026-07-13,35.0,35120.0,DIGITAL_ICT,True,5.0,True,1,11.957950065703022,16-55322,0.3489463193969681,POTENTIAL,0.8776011070261731,0.8776011070261731,0.7456781676471622,logistic_regression,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,0.0252868782931748,10.0,logistic_regression_synthetic_v0_4_transfer
15-59556,NAME:conseil general de loire-atlantique,NAME_FALLBACK,2015-04-20,2015-08-31,2016-01-31,2026-07-13,35.0,35113.0,DIGITAL_ICT,True,5.0,True,1,11.957950065703022,16-55322,0.2520483589330845,POTENTIAL,0.8399375892392702,0.8399375892392702,0.7456781676471622,logistic_regression,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,0.0032614804118622,7.0,logistic_regression_synthetic_v0_4_transfer
15-55407,NAME:nantes metropole,NAME_FALLBACK,2015-04-20,2015-12-14,2016-05-14,2026-07-13,79.0,79512.0,DIGITAL_ICT,True,5.0,True,0,134.7568988173456,,,,,,,,,,,,logistic_regression_synthetic_v0_4_transfer
15-48967,NAME:centre hospitalier de laval,NAME_FALLBACK,2015-04-01,2015-04-01,2015-08-01,2026-07-13,50.0,50312.0,DIGITAL_ICT,True,4.0,True,0,135.38107752956637,,,,,,,,,,,,logistic_regression_synthetic_v0_4_transfer
15-49442,NAME:ville de saumur,NAME_FALLBACK,2015-04-09,2015-04-09,2015-10-09,2026-07-13,,,DIGITAL_ICT,True,6.0,True,1,5.650459921156373,15-91934,0.3753786677900569,HIGH,0.8096502254609839,0.8096502254609839,0.7456781676471622,logistic_regression,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,0.2170770397174911,2.0,logistic_regression_synthetic_v0_4_transfer
15-58224,NAME:ville d angers,NAME_FALLBACK,2015-04-16,2015-08-10,2016-01-10,2026-07-13,35.0,35125.0,DIGITAL_ICT,True,5.0,True,0,134.88830486202366,,,,,,,,,,,,logistic_regression_synthetic_v0_4_transfer
15-31076,NAME:ville de la roche-sur-yon,NAME_FALLBACK,2015-04-01,2015-04-01,2015-09-01,2026-07-13,35.0,35110.0,DIGITAL_ICT,True,5.0,True,0,135.38107752956637,,,,,,,,,,,,logistic_regression_synthetic_v0_4_transfer
15-64142,NAME:chu de nantes,NAME_FALLBACK,2015-04-24,2015-04-24,2015-10-24,2026-07-13,48.0,48900.0,DIGITAL_ICT,True,6.0,True,0,134.62549277266754,,,,,,,,,,,,logistic_regression_synthetic_v0_4_transfer
15-50278,NAME:cte de cnes ocean-marais de monts,NAME_FALLBACK,2015-04-02,2015-06-04,2015-12-04,2026-07-13,,,DIGITAL_ICT,True,6.0,True,0,135.34822601839684,,,,,,,,,,,,logistic_regression_synthetic_v0_4_transfer
15-50732,NAME:chu de nantes,NAME_FALLBACK,2015-04-02,2015-04-02,2015-10-02,2026-07-13,,,DIGITAL_ICT,True,6.0,True,0,135.34822601839684,,,,,,,,,,,,logistic_regression_synthetic_v0_4_transfer
15-51571,NAME:residences saint alexandre,NAME_FALLBACK,2015-04-07,2015-04-07,2015-10-07,2026-07-13,48.0,48180.0,DIGITAL_ICT,True,6.0,True,0,135.18396846254927,,,,,,,,,,,,logistic_regression_synthetic_v0_4_transfer
15-55527,NAME:cdc du pays de saint gilles cx de vie,NAME_FALLBACK,2015-04-14,2015-04-14,2015-10-14,2026-07-13,48.0,48000.0,DIGITAL_ICT,True,6.0,True,0,134.95400788436268,,,,,,,,,,,,logistic_regression_synthetic_v0_4_transfer
15-56776,NAME:ville d angers,NAME_FALLBACK,2015-04-15,2015-04-15,2015-08-15,2026-07-13,32.0,32342.0,DIGITAL_ICT,True,4.0,True,0,134.92115637319316,,,,,,,,,,,,logistic_regression_synthetic_v0_4_transfer
15-55114,NAME:institution amenagement de la vilaine,NAME_FALLBACK,2015-04-10,2015-04-10,2015-10-10,2026-07-13,,,DIGITAL_ICT,True,6.0,True,0,135.08541392904073,,,,,,,,,,,,logistic_regression_synthetic_v0_4_transfer
15-51820,NAME:ch le mans,NAME_FALLBACK,2015-04-07,2015-04-07,2015-08-07,2026-07-13,30.0,30231.0,DIGITAL_ICT,True,4.0,True,0,135.18396846254927,,,,,,,,,,,,logistic_regression_synthetic_v0_4_transfer
15-55973,NAME:esid de rennes,NAME_FALLBACK,2015-04-13,2015-04-13,2016-04-13,2026-07-13,45.0,45000.0,DIGITAL_ICT,True,12.0,True,0,134.9868593955322,,,,,,,,,,,,logistic_regression_synthetic_v0_4_transfer
15-58213,NAME:ville d orvault,NAME_FALLBACK,2015-04-17,2015-04-17,2015-10-17,2026-07-13,,,DIGITAL_ICT,True,6.0,True,1,9.592641261498027,16-16005,0.2165629994828119,HIGH,0.8308160289359234,0.8308160289359234,0.7456781676471622,logistic_regression,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,0.2165629994828119,1.0,logistic_regression_synthetic_v0_4_transfer
15-63415,NAME:sdis 44,NAME_FALLBACK,2015-04-24,2015-04-24,2015-10-24,2026-07-13,,,DIGITAL_ICT,True,6.0,True,1,9.067017082785808,16-10649,0.3437772146959275,POTENTIAL,0.8562630272211006,0.8562630272211006,0.7456781676471622,logistic_regression,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,0.0476123778058659,2.0,logistic_regression_synthetic_v0_4_transfer
15-50024,NAME:vendee eau,NAME_FALLBACK,2015-04-27,2015-06-30,2015-11-30,2026-07-13,35.0,35261.0,DIGITAL_ICT,True,5.0,True,0,134.526938239159,,,,,,,,,,,,logistic_regression_synthetic_v0_4_transfer
15-65940,NAME:pole sante sarthe et loire,NAME_FALLBACK,2015-04-29,2015-04-29,2015-10-29,2026-07-13,72.0,72611.0,DIGITAL_ICT,True,6.0,True,0,134.46123521681997,,,,,,,,,,,,logistic_regression_synthetic_v0_4_transfer
15-65742,NAME:ville du mans,NAME_FALLBACK,2015-04-29,2015-07-20,2015-11-20,2026-07-13,32.0,32342.0,DIGITAL_ICT,True,4.0,True,0,134.46123521681997,,,,,,,,,,,,logistic_regression_synthetic_v0_4_transfer
15-76604,NAME:le mans metropole - communaute urbaine,NAME_FALLBACK,2015-05-20,2015-05-20,2015-09-20,2026-07-13,30.0,30232.0,DIGITAL_ICT,True,4.0,True,0,133.7713534822602,,,,,,,,,,,,logistic_regression_synthetic_v0_4_transfer
15-76852,NAME:ville de reze,NAME_FALLBACK,2015-05-20,2015-05-20,2015-11-20,2026-07-13,48.0,48730.0,DIGITAL_ICT,True,6.0,True,0,133.7713534822602,,,,,,,,,,,,logistic_regression_synthetic_v0_4_transfer
15-81652,NAME:ecole des mines de nantes,NAME_FALLBACK,2015-05-29,2015-05-29,2015-11-29,2026-07-13,,,DIGITAL_ICT,True,6.0,True,1,7.720105124835742,16-7903,0.3792042069086639,POTENTIAL,0.8163357172016613,0.8163357172016613,0.7456781676471622,logistic_regression,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,0.0104259051686987,4.0,logistic_regression_synthetic_v0_4_transfer
15-74702,NAME:cesame - ch de sainte gemmes sur loire,NAME_FALLBACK,2015-05-15,2015-05-15,2015-11-15,2026-07-13,,,DIGITAL_ICT,True,6.0,True,0,133.93561103810777,,,,,,,,,,,,logistic_regression_synthetic_v0_4_transfer
15-75102,NAME:sdis 85,NAME_FALLBACK,2015-05-18,2015-09-10,2016-01-10,2026-07-13,32.0,32400.0,DIGITAL_ICT,True,4.0,True,0,133.83705650459922,,,,,,,,,,,,logistic_regression_synthetic_v0_4_transfer
15-78724,NAME:e-collectivites vendee,NAME_FALLBACK,2015-05-22,2015-05-22,2015-11-22,2026-07-13,72.0,72500.0,DIGITAL_ICT,True,6.0,True,0,133.70565045992115,,,,,,,,,,,,logistic_regression_synthetic_v0_4_transfer
15-78916,NAME:chu de nantes,NAME_FALLBACK,2015-05-22,2015-05-22,2015-11-22,2026-07-13,72.0,72267.0,DIGITAL_ICT,True,6.0,True,1,12.02365308804205,16-72442,0.3515216904802962,POTENTIAL,0.9891857977488783,0.9891857977488783,0.7456781676471622,logistic_regression,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,0.0302498263118499,10.0,logistic_regression_synthetic_v0_4_transfer
15-68078,NAME:dir ouest,NAME_FALLBACK,2015-05-04,2015-05-04,2015-09-04,2026-07-13,32.0,32584.0,DIGITAL_ICT,True,4.0,True,0,134.2969776609724,,,,,,,,,,,,logistic_regression_synthetic_v0_4_transfer
15-74861,NAME:angers loire metropole,NAME_FALLBACK,2015-05-18,2015-05-18,2015-11-18,2026-07-13,48.0,48820.0,DIGITAL_ICT,True,6.0,True,0,133.83705650459922,,,,,,,,,,,,logistic_regression_synthetic_v0_4_transfer
15-79398,NAME:sdis 85,NAME_FALLBACK,2015-05-26,2015-08-05,2016-02-05,2026-07-13,,,DIGITAL_ICT,True,6.0,True,0,133.5742444152431,,,,,,,,,,,,logistic_regression_synthetic_v0_4_transfer
15-81231,NAME:saem vendee,NAME_FALLBACK,2015-05-29,2015-10-02,2016-04-02,2026-07-13,72.0,72000.0,DIGITAL_ICT,True,6.0,True,0,133.47568988173455,,,,,,,,,,,,logistic_regression_synthetic_v0_4_transfer
15-71764,NAME:conseil regional des pays de la loire,NAME_FALLBACK,2015-05-11,2015-09-28,2016-02-28,2026-07-13,92.0,92400.0,DIGITAL_ICT,True,5.0,True,0,134.0670170827858,,,,,,,,,,,,logistic_regression_synthetic_v0_4_transfer
15-72457,NAME:conseil regional des pays de la loire,NAME_FALLBACK,2015-05-12,2015-05-12,2015-11-12,2026-07-13,72.0,72500.0,DIGITAL_ICT,True,6.0,True,0,134.03416557161628,,,,,,,,,,,,logistic_regression_synthetic_v0_4_transfer
15-67480,NAME:syndicat departemental d energie,NAME_FALLBACK,2015-05-04,2015-05-04,2015-11-04,2026-07-13,48.0,48000.0,DIGITAL_ICT,True,6.0,True,1,10.446780551905388,16-39068,0.2386129303548805,POTENTIAL,0.972440423144333,0.972440423144333,0.7456781676471622,logistic_regression,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,0.0040123154490812,2.0,logistic_regression_synthetic_v0_4_transfer
15-75567,NAME:nantes metropole,NAME_FALLBACK,2015-05-19,2015-05-19,2015-11-19,2026-07-13,48.0,48000.0,DIGITAL_ICT,True,6.0,True,1,5.157687253613666,15-159244,0.6666185365260533,HIGH,0.9990744269242935,0.9990744269242935,0.7456781676471622,logistic_regression,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,0.2364477886419017,19.0,logistic_regression_synthetic_v0_4_transfer
15-79099,SIRET:12000601000058,RAW_SIRET,2015-05-26,2015-05-26,2015-11-26,2026-07-13,72.0,72000.0,DIGITAL_ICT,True,6.0,True,1,9.85545335085414,16-40003,0.2776518612888354,HIGH,0.8940764730611687,0.8940764730611687,0.7456781676471622,logistic_regression,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,0.0690062726995839,2.0,logistic_regression_synthetic_v0_4_transfer
15-70236,NAME:sdis 85,NAME_FALLBACK,2015-05-06,2015-08-05,2016-02-05,2026-07-13,72.0,72600.0,DIGITAL_ICT,True,6.0,True,0,134.23127463863338,,,,,,,,,,,,logistic_regression_synthetic_v0_4_transfer
15-71156,SIRET:19490970100303,RAW_SIRET,2015-05-07,2015-10-20,2016-04-20,2026-07-13,48.0,48730.0,DIGITAL_ICT,True,6.0,True,1,13.896189224704337,16-98698,0.3087078405606658,POTENTIAL,0.8100013924411168,0.8100013924411168,0.7456781676471622,logistic_regression,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,0.034034507588233,3.0,logistic_regression_synthetic_v0_4_transfer
15-74284,NAME:conseil general de loire-atlantique,NAME_FALLBACK,2015-05-15,2015-10-28,2016-04-28,2026-07-13,72.0,72600.0,DIGITAL_ICT,True,6.0,True,1,11.136662286465176,16-55322,0.3479379049113935,POTENTIAL,0.8453832209207724,0.8453832209207724,0.7456781676471622,logistic_regression,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,0.023341866820681,10.0,logistic_regression_synthetic_v0_4_transfer
15-81513,NAME:ville de bayeux,NAME_FALLBACK,2015-05-28,2015-05-28,2015-11-28,2026-07-13,,,DIGITAL_ICT,True,6.0,True,0,133.50854139290408,,,,,,,,,,,,logistic_regression_synthetic_v0_4_transfer
