buyer_name_normalized,n_notices,n_sirets,n_sirens,n_departments,n_buyer_keys,n_active_years,first_year,last_year,activity_level,example_sirets,example_sirens,example_departments,example_buyer_keys,is_generic_name,same_siren_different_sirets,different_sirens,department_consistent_mapping,department_conflicting_mapping,ambiguity_class
podeliha,135,7,6,5,8,6,2021,2026,21+,05720113900029;05720113900045;05820059300026;17350005900014;17350111500161;33960966101244;41239723400177,057201139;058200593;173500059;173501115;339609661;412397234,44;49;53;72;85,NAME:podeliha;SIRET:05720113900029;SIRET:05720113900045;SIRET:05820059300026;SIRET:17350005900014;SIRET:17350111500161;SIRET:33960966101244;SIRET:41239723400177,False,False,True,False,True,different_sirens
angers loire metropole 49,256,7,4,1,8,3,2024,2026,21+,21130042100016;21490007800012;24490001500011;24490001500029;24490001500045;24490001500078;72206048000042,211300421;214900078;244900015;722060480,49,NAME:angers loire metropole 49;SIRET:21130042100016;SIRET:21490007800012;SIRET:24490001500011;SIRET:24490001500029;SIRET:24490001500045;SIRET:24490001500078;SIRET:72206048000042,False,False,True,True,False,different_sirens
redon agglomeration,61,7,2,1,8,4,2023,2026,21+,17350005900014;24350074100224;24350074100232;24350074100240;24350074100257;24350074100265;24350074100273,173500059;243500741,35,NAME:redon agglomeration;SIRET:17350005900014;SIRET:24350074100224;SIRET:24350074100232;SIRET:24350074100240;SIRET:24350074100257;SIRET:24350074100265;SIRET:24350074100273,False,False,True,True,False,different_sirens
departement de maine-et-loire,1031,6,6,1,7,11,2016,2026,21+,17440005100010;22490001900015;39145592000044;44356638500011;53131878000016;57172266900264,174400051;224900019;391455920;443566385;531318780;571722669,49,NAME:departement de maine-et-loire;SIRET:17440005100010;SIRET:22490001900015;SIRET:39145592000044;SIRET:44356638500011;SIRET:53131878000016;SIRET:57172266900264,True,False,True,True,False,different_sirens
mairie de saint-herblain,95,6,6,1,7,3,2024,2026,21+,17440005100010;21440162200011;50810215900029;80204413100042;86380037100123;86880034300063,174400051;214401622;508102159;802044131;863800371;868800343,44,NAME:mairie de saint-herblain;SIRET:17440005100010;SIRET:21440162200011;SIRET:50810215900029;SIRET:80204413100042;SIRET:86380037100123;SIRET:86880034300063,True,False,True,True,False,different_sirens
ars pays de la loire,71,6,6,1,7,12,2015,2026,21+,13000600800061;13000800300061;13000800600061;17440005100010;47806779600084;83508302300027,130006008;130008003;130008006;174400051;478067796;835083023,44,NAME:ars pays de la loire;SIRET:13000600800061;SIRET:13000800300061;SIRET:13000800600061;SIRET:17440005100010;SIRET:47806779600084;SIRET:83508302300027,False,False,True,True,False,different_sirens
ministere des affaires etrangeres,79,6,5,2,7,9,2015,2023,21+,11000601200014;12000601000041;12000601000058;12000604400016;12000605100060;75108163900021,110006012;120006010;120006044;120006051;751081639,44;75,NAME:ministere des affaires etrangeres;SIRET:11000601200014;SIRET:12000601000041;SIRET:12000601000058;SIRET:12000604400016;SIRET:12000605100060;SIRET:75108163900021,False,False,True,False,True,different_sirens
cte de communes d erdre et gesvres,138,6,2,1,7,12,2015,2026,21+,17440005100010;24440050300110;24440050300201;24440050300243;24440050300250;24440050300292,174400051;244400503,44,NAME:cte de communes d erdre et gesvres;SIRET:17440005100010;SIRET:24440050300110;SIRET:24440050300201;SIRET:24440050300243;SIRET:24440050300250;SIRET:24440050300292,True,False,True,True,False,different_sirens
angers loire metropole,1083,6,1,1,7,10,2015,2024,21+,24490001500011;24490001500029;24490001500045;24490001500060;24490001500078;24490001500094,244900015,49,NAME:angers loire metropole;SIRET:24490001500011;SIRET:24490001500029;SIRET:24490001500045;SIRET:24490001500060;SIRET:24490001500078;SIRET:24490001500094,False,True,False,True,False,same_siren_different_sirets
chd vendee,549,5,5,3,6,11,2016,2026,21+,17440005100010;26850242400016;50937719800023;52859061500035;89323595200023,174400051;268502424;509377198;528590615;893235952,17;44;85,NAME:chd vendee;SIRET:17440005100010;SIRET:26850242400016;SIRET:50937719800023;SIRET:52859061500035;SIRET:89323595200023,False,False,True,False,True,different_sirens
region bretagne,62,5,5,3,6,12,2015,2026,21+,17350005900014;23350001600040;32028144700039;39065944900016;41247152600050,173500059;233500016;320281447;390659449;412471526,22;35;56,NAME:region bretagne;SIRET:17350005900014;SIRET:23350001600040;SIRET:32028144700039;SIRET:39065944900016;SIRET:41247152600050,False,False,True,False,True,different_sirens
ville de saumur,286,5,5,1,6,10,2015,2024,21+,17440005100010;21490328800014;50165250700010;51531513300022;84979283300030,174400051;214903288;501652507;515315133;849792833,49,NAME:ville de saumur;SIRET:17440005100010;SIRET:21490328800014;SIRET:50165250700010;SIRET:51531513300022;SIRET:84979283300030,True,False,True,True,False,different_sirens
saeml vendee energie,49,5,5,1,6,10,2016,2026,21+,75256187800014;79096913300012;83117829800012;88065262300013;90169097400018,752561878;790969133;831178298;880652623;901690974,85,NAME:saeml vendee energie;SIRET:75256187800014;SIRET:79096913300012;SIRET:83117829800012;SIRET:88065262300013;SIRET:90169097400018,False,False,True,True,False,different_sirens
chu de nantes,1404,5,4,1,6,12,2015,2026,21+,17440005100010;26440013600018;26440013600471;48076109700017;91131892100010,174400051;264400136;480761097;911318921,44,NAME:chu de nantes;SIRET:17440005100010;SIRET:26440013600018;SIRET:26440013600471;SIRET:48076109700017;SIRET:91131892100010,False,False,True,True,False,different_sirens
cci nantes saint-nazaire,110,5,3,2,6,12,2015,2026,21+,13000810500012;13000810500178;13000810500186;42417546100021;80841707500013,130008105;424175461;808417075,44;85,NAME:cci nantes saint-nazaire;SIRET:13000810500012;SIRET:13000810500178;SIRET:13000810500186;SIRET:42417546100021;SIRET:80841707500013,False,False,True,False,True,different_sirens
ca saumur val de loire,264,5,3,1,6,9,2017,2025,21+,17440005100010;20007187600011;20007187600052;20007187600086;92084215000012,174400051;200071876;920842150,49,NAME:ca saumur val de loire;SIRET:17440005100010;SIRET:20007187600011;SIRET:20007187600052;SIRET:20007187600086;SIRET:92084215000012,False,False,True,True,False,different_sirens
spl laval mayenne amenagements,51,5,3,1,6,8,2018,2026,21+,17350111500161;17440005100010;79924570900016;79924570900024;79924570900032,173501115;174400051;799245709,53,NAME:spl laval mayenne amenagements;SIRET:17350111500161;SIRET:17440005100010;SIRET:79924570900016;SIRET:79924570900024;SIRET:79924570900032,False,False,True,True,False,different_sirens
cte de cnes du pays d ancenis,453,5,1,1,6,10,2017,2026,21+,24440055200026;24440055200034;24440055200042;24440055200067;24440055200091,244400552,44,NAME:cte de cnes du pays d ancenis;SIRET:24440055200026;SIRET:24440055200034;SIRET:24440055200042;SIRET:24440055200067;SIRET:24440055200091,False,True,False,True,False,same_siren_different_sirets
gie sesam-vitale,10,5,5,1,5,3,2024,2026,21+,17440005100010;32021714401229;38012986646850;39172288100052;43181558800014,174400051;320217144;380129866;391722881;431815588,72,SIRET:17440005100010;SIRET:32021714401229;SIRET:38012986646850;SIRET:39172288100052;SIRET:43181558800014,False,False,True,True,False,different_sirens
ministere de la justice,31,4,4,10,5,11,2015,2026,21+,11000201100044;11001001400014;12001201800111;13000509300112,110002011;110010014;120012018;130005093,17;2;28;37;41;44;49;72,NAME:ministere de la justice;SIRET:11000201100044;SIRET:11001001400014;SIRET:12001201800111;SIRET:13000509300112,False,False,True,False,True,different_sirens
mairie,20,4,4,9,5,7,2015,2025,6-20,17860004500029;21720133400018;21720324900016;21850304300018,178600045;217201334;217203249;218503043,17;22;29;44;72;76;85;92,NAME:mairie;SIRET:17860004500029;SIRET:21720133400018;SIRET:21720324900016;SIRET:21850304300018,True,False,True,False,True,different_sirens
region pays de la loire,97,4,4,5,5,3,2024,2026,21+,13002928300012;17440005100010;23440003400026;81272019100046,130029283;174400051;234400034;812720191,44;49;53;72;85,NAME:region pays de la loire;SIRET:13002928300012;SIRET:17440005100010;SIRET:23440003400026;SIRET:81272019100046,False,False,True,False,True,different_sirens
sdis 44,266,4,4,2,5,11,2015,2026,21+,17350111500864;28440001700018;28760001900049;54722013700012,173501115;284400017;287600019;547220137,35;44,NAME:sdis 44;SIRET:17350111500864;SIRET:28440001700018;SIRET:28760001900049;SIRET:54722013700012,False,False,True,False,True,different_sirens
ville de nantes,1312,4,4,1,5,12,2015,2026,21+,17440005100010;21440109300015;24440040400129;92084215000012,174400051;214401093;244400404;920842150,44,NAME:ville de nantes;SIRET:17440005100010;SIRET:21440109300015;SIRET:24440040400129;SIRET:92084215000012,True,False,True,True,False,different_sirens
ecole centrale de nantes,352,4,4,1,5,12,2015,2026,21+,17440005100010;19440100600011;40028668800074;79139697100016,174400051;194401006;400286688;791396971,44,NAME:ecole centrale de nantes;SIRET:17440005100010;SIRET:19440100600011;SIRET:40028668800074;SIRET:79139697100016,False,False,True,True,False,different_sirens
ville d alencon,251,4,4,1,5,12,2015,2026,21+,21610001600015;26610001500012;26610579000015;81896955200012,216100016;266100015;266105790;818969552,61,NAME:ville d alencon;SIRET:21610001600015;SIRET:26610001500012;SIRET:26610579000015;SIRET:81896955200012,True,False,True,True,False,different_sirens
loire ocean metropole amenagement,118,4,4,1,5,12,2015,2026,21+,17350111500963;53516441200020;53961650800021;86580076700069,173501115;535164412;539616508;865800767,44,NAME:loire ocean metropole amenagement;SIRET:17350111500963;SIRET:53516441200020;SIRET:53961650800021;SIRET:86580076700069,False,False,True,True,False,different_sirens
la cite des congres de nantes,85,4,4,1,5,11,2015,2026,21+,17350111500161;38105376800028;45072478600030;92084215000012,173501115;381053768;450724786;920842150,44,NAME:la cite des congres de nantes;SIRET:17350111500161;SIRET:38105376800028;SIRET:45072478600030;SIRET:92084215000012,False,False,True,True,False,different_sirens
chu angers etablissement support du groupement hospitalier de territoire de maine et loire,16,4,4,1,5,2,2024,2025,6-20,26490003600015;33371027500061;47786555400091;48211438600048,264900036;333710275;477865554;482114386,49,NAME:chu angers etablissement support du groupement hospitalier de territoire de maine et loire;SIRET:26490003600015;SIRET:33371027500061;SIRET:47786555400091;SIRET:48211438600048,False,False,True,True,False,different_sirens
cc challans gois communaute,38,4,3,1,5,8,2017,2025,21+,20007162900014;20007162900121;21850047800209;21850096500015,200071629;218500478;218500965,85,NAME:cc challans gois communaute;SIRET:20007162900014;SIRET:20007162900121;SIRET:21850047800209;SIRET:21850096500015,False,False,True,True,False,different_sirens
pays de saint gilles croix de vie agglomeration 85,47,4,2,1,5,3,2024,2026,21+,17440005100010;20002377800018;20002377800323;20002377800331,174400051;200023778,85,NAME:pays de saint gilles croix de vie agglomeration 85;SIRET:17440005100010;SIRET:20002377800018;SIRET:20002377800323;SIRET:20002377800331,False,False,True,True,False,different_sirens
cnfpt,56,4,1,4,5,9,2015,2023,21+,18001404500413;18001404501825;18001404502245;18001404502617,180014045,44;49;56;75,NAME:cnfpt;SIRET:18001404500413;SIRET:18001404501825;SIRET:18001404502245;SIRET:18001404502617,False,True,False,False,True,same_siren_different_sirets
etablissement public loire,68,4,1,2,5,12,2015,2026,21+,25450200800025;25450200800033;25450200800058;25450200800066,254502008,37;45,NAME:etablissement public loire;SIRET:25450200800025;SIRET:25450200800033;SIRET:25450200800058;SIRET:25450200800066,False,True,False,False,True,same_siren_different_sirets
metropole nantes metropole,298,4,1,1,5,8,2017,2025,21+,24440040400020;24440040400079;24440040400087;24440040400129,244400404,44,NAME:metropole nantes metropole;SIRET:24440040400020;SIRET:24440040400079;SIRET:24440040400087;SIRET:24440040400129,False,True,False,True,False,same_siren_different_sirets
commune de bain de bretagne,5,4,4,1,4,1,2024,2024,1 (single),17350005900014;21350012700013;34053956800030;38054121900131,173500059;213500127;340539568;380541219,35,SIRET:17350005900014;SIRET:21350012700013;SIRET:34053956800030;SIRET:38054121900131,True,False,True,True,False,different_sirens
sgami ouest,119,3,3,15,4,11,2015,2026,21+,11000201100044;13002036500016;13002928300020,110002011;130020365;130029283,22;27;28;29;35;37;44;45,NAME:sgami ouest;SIRET:11000201100044;SIRET:13002036500016;SIRET:13002928300020,False,False,True,False,True,different_sirens
mindef ema dc sca pfaf co rennes,104,3,3,12,4,9,2015,2023,21+,11000201100044;13001540700013;13015407000013,110002011;130015407;130154070,13;14;18;35;37;44;45;49,NAME:mindef ema dc sca pfaf co rennes;SIRET:11000201100044;SIRET:13001540700013;SIRET:13015407000013,False,False,True,False,True,different_sirens
esid de rennes,160,3,3,7,4,11,2015,2025,21+,11000201100044;13000190200068;85580236900816,110002011;130001902;855802369,18;22;35;44;49;50;72,NAME:esid de rennes;SIRET:11000201100044;SIRET:13000190200068;SIRET:85580236900816,False,False,True,False,True,different_sirens
c s t b,70,3,3,4,4,11,2015,2026,21+,75568822900027;77566822900027;77568822900027,755688229;775668229;775688229,44;6;75;77,NAME:c s t b;SIRET:75568822900027;SIRET:77566822900027;SIRET:77568822900027,False,False,True,False,True,different_sirens
crous de nantes pays de la loire,40,3,3,4,4,7,2020,2026,21+,17440005100010;18440132100015;98066467600015,174400051;184401321;980664676,43;44;49;75,NAME:crous de nantes pays de la loire;SIRET:17440005100010;SIRET:18440132100015;SIRET:98066467600015,False,False,True,False,True,different_sirens
minarm dga do s2a,24,3,3,4,4,4,2018,2021,6-20,15000027100034;15200039400014;15200049300014,150000271;152000394;152000493,18;33;40;49,NAME:minarm dga do s2a;SIRET:15000027100034;SIRET:15200039400014;SIRET:15200049300014,False,False,True,False,True,different_sirens
ville de saint sebastien sur loire,261,3,3,3,4,12,2015,2026,21+,21440190300155;26440033400084;36440033400084,214401903;264400334;364400334,44;49;85,NAME:ville de saint sebastien sur loire;SIRET:21440190300155;SIRET:26440033400084;SIRET:36440033400084,True,False,True,False,True,different_sirens
le mans universite,42,3,3,3,4,3,2024,2026,21+,17350111500864;19720916600010;92084215000012,173501115;197209166;920842150,52;53;72,NAME:le mans universite;SIRET:17350111500864;SIRET:19720916600010;SIRET:92084215000012,True,False,True,False,True,different_sirens
universite de nantes,783,3,3,2,4,10,2015,2024,21+,13002947400016;13002974700016;19440984300019,130029474;130029747;194409843,44;85,NAME:universite de nantes;SIRET:13002947400016;SIRET:13002974700016;SIRET:19440984300019,True,False,True,False,True,different_sirens
france travail pays de la loire,23,3,3,2,4,3,2024,2026,21+,13000348113153;13000548113153;17440005100010,130003481;130005481;174400051,44;85,NAME:france travail pays de la loire;SIRET:13000348113153;SIRET:13000548113153;SIRET:17440005100010,False,False,True,False,True,different_sirens
commune de cholet,12,3,3,2,4,2,2025,2026,6-20,17440005100010;21490099500017;83527101600023,174400051;214900995;835271016,44;49,NAME:commune de cholet;SIRET:17440005100010;SIRET:21490099500017;SIRET:83527101600023,True,False,True,False,True,different_sirens
commune de nantes,782,3,3,1,4,10,2016,2025,21+,21440109300015;24440040400129;26440039100019,214401093;244400404;264400391,44,NAME:commune de nantes;SIRET:21440109300015;SIRET:24440040400129;SIRET:26440039100019,True,False,True,True,False,different_sirens
ville de laval,309,3,3,1,4,12,2015,2026,21+,17440005100010;21530130000012;26530085500193,174400051;215301300;265300855,53,NAME:ville de laval;SIRET:17440005100010;SIRET:21530130000012;SIRET:26530085500193,True,False,True,True,False,different_sirens
communaute d agglomeration du niortais,203,3,3,1,4,10,2016,2026,21+,17860004500029;20004131700013;32340186900017,178600045;200041317;323401869,79,NAME:communaute d agglomeration du niortais;SIRET:17860004500029;SIRET:20004131700013;SIRET:32340186900017,True,False,True,True,False,different_sirens
clisson sevre et maine agglo,152,3,3,1,4,10,2017,2026,21+,17440005100010;20006763500132;40198097400042,174400051;200067635;401980974,44,NAME:clisson sevre et maine agglo;SIRET:17440005100010;SIRET:20006763500132;SIRET:40198097400042,False,False,True,True,False,different_sirens
loire ocean developpement,132,3,3,1,4,10,2015,2024,21+,53516441200020;53961650800021;86580076700069,535164412;539616508;865800767,44,NAME:loire ocean developpement;SIRET:53516441200020;SIRET:53961650800021;SIRET:86580076700069,False,False,True,True,False,different_sirens
commune de loire authion,80,3,3,1,4,7,2016,2023,21+,20005743300018;20005743800018;80385661600013,200057433;200057438;803856616,49,NAME:commune de loire authion;SIRET:20005743300018;SIRET:20005743800018;SIRET:80385661600013,True,False,True,True,False,different_sirens
communaute de communes pays sabolien,78,3,3,1,4,2,2022,2023,21+,21720264700012;24720009000014;25720191300023,217202647;247200090;257201913,72,NAME:communaute de communes pays sabolien;SIRET:21720264700012;SIRET:24720009000014;SIRET:25720191300023,True,False,True,True,False,different_sirens
commune de l ile d yeu,65,3,3,1,4,9,2015,2023,21+,21820113800018;21850113800018;26850051900015,218201138;218501138;268500519,85,NAME:commune de l ile d yeu;SIRET:21820113800018;SIRET:21850113800018;SIRET:26850051900015,True,False,True,True,False,different_sirens
syndicat intercommunal d energies de maine-et-loire sieml,24,3,3,1,4,3,2024,2026,21+,17350111500864;17440005100010;25490130900032,173501115;174400051;254901309,49,NAME:syndicat intercommunal d energies de maine-et-loire sieml;SIRET:17350111500864;SIRET:17440005100010;SIRET:25490130900032,False,False,True,True,False,different_sirens
service departemental d incendie et de secours de maine et loire,20,3,3,1,4,2,2024,2025,21+,17440051000010;28490001600023;92084215000012,174400510;284900016;920842150,49,NAME:service departemental d incendie et de secours de maine et loire;SIRET:17440051000010;SIRET:28490001600023;SIRET:92084215000012,True,False,True,True,False,different_sirens
alter cites,15,3,3,1,4,6,2016,2024,6-20,05820152600090;51766302700038;86680035200068,058201526;517663027;866800352,49,NAME:alter cites;SIRET:05820152600090;SIRET:51766302700038;SIRET:86680035200068,False,False,True,True,False,different_sirens
direction de l administration penitentiaire,13,3,3,1,4,3,2024,2026,6-20,11000201100044;12001201800111;17750005500013,110002011;120012018;177500055,75,NAME:direction de l administration penitentiaire;SIRET:11000201100044;SIRET:12001201800111;SIRET:17750005500013,False,False,True,True,False,different_sirens
chu d angers etablissement support du ght 49,6,3,3,1,4,2,2024,2025,21+,17440005100010;26490003600015;92084215000012,174400051;264900036;920842150,49,NAME:chu d angers etablissement support du ght 49;SIRET:17440005100010;SIRET:26490003600015;SIRET:92084215000012,False,False,True,True,False,different_sirens
dir-nord-ouest,6,3,3,1,4,4,2021,2025,1 (single),11000201100044;13000169600017;17450005800022,110002011;130001696;174500058,41,NAME:dir-nord-ouest;SIRET:11000201100044;SIRET:13000169600017;SIRET:17450005800022,False,False,True,True,False,different_sirens
syndicat departemental d energie 35,5,3,3,1,4,2,2024,2025,1 (single),20005042500012;44239544800057;83471482600056,200050425;442395448;834714826,35,NAME:syndicat departemental d energie 35;SIRET:20005042500012;SIRET:44239544800057;SIRET:83471482600056,True,False,True,True,False,different_sirens
ugecam bretagne pays de la loire,36,3,2,5,4,4,2023,2026,21+,34998526700039;42869200800033;42869200800157,349985267;428692008,29;35;44;56;85,NAME:ugecam bretagne pays de la loire;SIRET:34998526700039;SIRET:42869200800033;SIRET:42869200800157,False,False,True,False,True,different_sirens
universite gustave eiffel,84,3,2,2,4,7,2020,2026,21+,13002612300013;13002612300179;45297264900068,130026123;452972649,44;77,NAME:universite gustave eiffel;SIRET:13002612300013;SIRET:13002612300179;SIRET:45297264900068,True,False,True,False,True,different_sirens
cci metropolitaine bretagne ouest,17,3,2,2,4,4,2019,2022,6-20,13002293200011;13002293200094;89237097400016,130022932;892370974,29;75,NAME:cci metropolitaine bretagne ouest;SIRET:13002293200011;SIRET:13002293200094;SIRET:89237097400016,False,False,True,False,True,different_sirens
ministere de l europe et des affaires etrangeres,6,3,2,2,4,3,2024,2026,2-5,11000201100044;12000601000041;12000601000082,110002011;120006010,44;75,NAME:ministere de l europe et des affaires etrangeres;SIRET:11000201100044;SIRET:12000601000041;SIRET:12000601000082,False,False,True,False,True,different_sirens
commune de cesson sevigne,107,3,2,1,4,6,2020,2025,21+,21350051500019;21350051500049;21550051500019,213500515;215500515,35,NAME:commune de cesson sevigne;SIRET:21350051500019;SIRET:21350051500049;SIRET:21550051500019,True,False,True,True,False,different_sirens
loire atlantique developpement,84,3,2,1,4,6,2018,2023,21+,79386644300047;86080007700023;86080007700098,793866443;860800077,44,NAME:loire atlantique developpement;SIRET:79386644300047;SIRET:86080007700023;SIRET:86080007700098,False,False,True,True,False,different_sirens
spl sonadev,67,3,2,1,4,5,2019,2023,21+,00718051600135;79754898900020;79754898900038,007180516;797548989,44,NAME:spl sonadev;SIRET:00718051600135;SIRET:79754898900020;SIRET:79754898900038,False,False,True,True,False,different_sirens
centre de gestion fpt loire-atlantique,36,3,2,1,4,11,2015,2026,21+,17440005100010;28440002500011;28440002500029,174400051;284400025,44,NAME:centre de gestion fpt loire-atlantique;SIRET:17440005100010;SIRET:28440002500011;SIRET:28440002500029,False,False,True,True,False,different_sirens
ville d angers loire metropole 49,23,3,2,1,4,1,2024,2024,21+,21490007800012;24490001500011;24490001500045,214900078;244900015,49,NAME:ville d angers loire metropole 49;SIRET:21490007800012;SIRET:24490001500011;SIRET:24490001500045,True,False,True,True,False,different_sirens
ville de lucon,22,3,2,1,4,8,2016,2024,21+,21850128600015;21850128600130;26550095600068,218501286;265500956,85,NAME:ville de lucon;SIRET:21850128600015;SIRET:21850128600130;SIRET:26550095600068,True,False,True,True,False,different_sirens
smictom des pays de vilaine,21,3,2,1,4,9,2016,2025,6-20,17350005900014;25350086200029;25350086200037,173500059;253500862,35,NAME:smictom des pays de vilaine;SIRET:17350005900014;SIRET:25350086200029;SIRET:25350086200037,False,False,True,True,False,different_sirens
communaute de communes du pays de saint-fulgent - les essarts 85,10,3,2,1,4,2,2024,2025,6-20,20007191800011;20007191800029;33007580500060,200071918;330075805,85,NAME:communaute de communes du pays de saint-fulgent - les essarts 85;SIRET:20007191800011;SIRET:20007191800029;SIRET:33007580500060,True,False,True,True,False,different_sirens
sonadev gie,9,3,2,1,4,4,2019,2023,2-5,00718051600135;80457957100014;80457957100022,007180516;804579571,44,NAME:sonadev gie;SIRET:00718051600135;SIRET:80457957100014;SIRET:80457957100022,False,False,True,True,False,different_sirens
soclova,47,3,1,1,4,7,2019,2025,21+,06320005900010;06320005900028;06320005900044,063200059,49,NAME:soclova;SIRET:06320005900010;SIRET:06320005900028;SIRET:06320005900044,False,True,False,True,False,same_siren_different_sirets
communaute de communes vendee grand littoral 85,40,3,1,1,4,3,2024,2026,21+,20007190000019;20007190000035;20007190000308,200071900,85,NAME:communaute de communes vendee grand littoral 85;SIRET:20007190000019;SIRET:20007190000035;SIRET:20007190000308,True,True,False,True,False,same_siren_different_sirets
cc pays de loue vegre champagne,36,3,1,1,4,8,2015,2022,6-20,20004047500010;20004047500101;20004047500119,200040475,72,NAME:cc pays de loue vegre champagne;SIRET:20004047500010;SIRET:20004047500101;SIRET:20004047500119,False,True,False,True,False,same_siren_different_sirets
communaute de communes chateaubriant derval 44,30,3,1,1,4,3,2024,2026,21+,20007272600017;20007272600117;20007272600157,200072726,44,NAME:communaute de communes chateaubriant derval 44;SIRET:20007272600017;SIRET:20007272600117;SIRET:20007272600157,True,True,False,True,False,same_siren_different_sirets
ccas de la ville des herbiers,12,3,1,1,4,8,2016,2025,6-20,26850075800019;26850075800076;26850075800084,268500758,85,NAME:ccas de la ville des herbiers;SIRET:26850075800019;SIRET:26850075800076;SIRET:26850075800084,True,True,False,True,False,same_siren_different_sirets
plate-forme commissariat ouest rennes,11,3,3,6,3,2,2024,2025,21+,11000201100044;17350005900014;30449785204226,110002011;173500059;304497852,18;35;37;44;49;72,SIRET:11000201100044;SIRET:17350005900014;SIRET:30449785204226,False,False,True,False,True,different_sirens
