source_notice_id,target_notice_id,edge_type,evidence,source_role,target_role,source_date,target_date,delay_days,same_buyer_key,same_cpv_clean,same_cpv_division,text_similarity
15-35525,15-41865,explicit_linked_notice,annonce_lie_or_annonces_anterieures,CALL,CORRECTION,2015-03-10,2015-03-19,9,True,True,True,
15-35036,15-40763,explicit_linked_notice,annonce_lie_or_annonces_anterieures,CALL,CORRECTION,2015-03-09,2015-03-17,8,True,False,False,
15-46186,15-47756,explicit_linked_notice,annonce_lie_or_annonces_anterieures,CALL,CANCELLATION,2015-03-26,2015-03-30,4,True,False,False,
15-31661,15-34408,explicit_linked_notice,annonce_lie_or_annonces_anterieures,CALL,CORRECTION,2015-03-03,2015-03-06,3,True,False,False,
15-35036,15-40766,explicit_linked_notice,annonce_lie_or_annonces_anterieures,CALL,CORRECTION,2015-03-09,2015-03-17,8,True,False,False,
15-31483,15-35539,explicit_linked_notice,annonce_lie_or_annonces_anterieures,CALL,CORRECTION,2015-03-06,2015-03-09,3,True,True,True,
15-40442,15-47570,explicit_linked_notice,annonce_lie_or_annonces_anterieures,CALL,CORRECTION,2015-03-20,2015-03-30,10,True,True,True,
15-35457,15-43844,award_relationship,annonce_lie_or_annonces_anterieures,CORRECTION,AWARD,2015-03-09,2015-03-24,15,True,True,True,
15-33136,15-43844,award_relationship,annonce_lie_or_annonces_anterieures,AWARD,AWARD,2015-03-05,2015-03-24,19,True,True,True,
15-37694,15-39693,explicit_linked_notice,annonce_lie_or_annonces_anterieures,CALL,CORRECTION,2015-03-13,2015-03-16,3,True,True,True,
15-33129,15-34491,explicit_linked_notice,annonce_lie_or_annonces_anterieures,CALL,CORRECTION,2015-03-04,2015-03-06,2,True,False,False,
15-30334,15-47669,explicit_linked_notice,annonce_lie_or_annonces_anterieures,CALL,CORRECTION,2015-03-02,2015-03-31,29,True,True,True,
15-31961,15-35506,explicit_linked_notice,annonce_lie_or_annonces_anterieures,CALL,CORRECTION,2015-03-04,2015-03-09,5,True,False,False,
15-59770,15-63856,explicit_linked_notice,annonce_lie_or_annonces_anterieures,CALL,CORRECTION,2015-04-20,2015-04-24,4,True,True,True,
15-43782,15-49849,award_relationship,annonce_lie_or_annonces_anterieures,AWARD,AWARD,2015-03-24,2015-04-01,8,True,True,True,
15-32280,15-49849,award_relationship,annonce_lie_or_annonces_anterieures,AWARD,AWARD,2015-03-04,2015-04-01,28,True,True,True,
15-48004,15-50217,explicit_linked_notice,annonce_lie_or_annonces_anterieures,CALL,CORRECTION,2015-04-01,2015-04-02,1,True,True,True,
15-47696,15-50314,explicit_linked_notice,annonce_lie_or_annonces_anterieures,CALL,CANCELLATION,2015-03-30,2015-04-02,3,False,True,True,
15-41216,15-51533,explicit_linked_notice,annonce_lie_or_annonces_anterieures,CALL,CORRECTION,2015-04-03,2015-04-03,0,True,True,True,
15-33383,15-57743,explicit_linked_notice,annonce_lie_or_annonces_anterieures,CALL,CORRECTION,2015-03-30,2015-04-15,16,True,True,True,
15-63540,15-65425,explicit_linked_notice,annonce_lie_or_annonces_anterieures,CALL,CORRECTION,2015-04-24,2015-04-28,4,True,True,True,
15-38476,15-50890,explicit_linked_notice,annonce_lie_or_annonces_anterieures,CALL,CORRECTION,2015-03-16,2015-04-02,17,True,True,True,
15-45070,15-51794,explicit_linked_notice,annonce_lie_or_annonces_anterieures,CALL,CORRECTION,2015-03-25,2015-04-03,9,True,False,False,
15-50838,15-52136,explicit_linked_notice,annonce_lie_or_annonces_anterieures,CALL,CORRECTION,2015-04-03,2015-04-07,4,True,False,False,
15-43149,15-54892,explicit_linked_notice,annonce_lie_or_annonces_anterieures,CALL,CORRECTION,2015-03-20,2015-04-10,21,True,True,True,
15-38633,15-57596,explicit_linked_notice,annonce_lie_or_annonces_anterieures,CALL,CORRECTION,2015-03-16,2015-04-15,30,True,True,True,
15-45880,15-59364,explicit_linked_notice,annonce_lie_or_annonces_anterieures,CALL,CORRECTION,2015-03-26,2015-04-17,22,True,True,True,
15-40442,15-62452,explicit_linked_notice,annonce_lie_or_annonces_anterieures,CALL,CORRECTION,2015-03-20,2015-04-23,34,True,True,True,
15-47570,15-62452,explicit_linked_notice,annonce_lie_or_annonces_anterieures,CORRECTION,CORRECTION,2015-03-30,2015-04-23,24,True,True,True,
15-54002,15-66825,explicit_linked_notice,annonce_lie_or_annonces_anterieures,CALL,CORRECTION,2015-04-10,2015-04-29,19,True,False,False,
15-31866,15-61402,award_relationship,annonce_lie_or_annonces_anterieures,CALL,AWARD,2015-03-04,2015-04-23,50,True,False,False,
15-51585,15-52270,explicit_linked_notice,annonce_lie_or_annonces_anterieures,CALL,CANCELLATION,2015-04-03,2015-04-07,4,True,False,False,
15-38731,15-55268,explicit_linked_notice,annonce_lie_or_annonces_anterieures,CALL,CORRECTION,2015-03-16,2015-04-10,25,True,True,True,
15-57438,15-61096,explicit_linked_notice,annonce_lie_or_annonces_anterieures,CALL,CORRECTION,2015-04-15,2015-04-21,6,True,True,True,
15-65383,15-67088,explicit_linked_notice,annonce_lie_or_annonces_anterieures,CALL,CORRECTION,2015-04-29,2015-04-30,1,True,False,False,
15-33561,15-62381,award_relationship,annonce_lie_or_annonces_anterieures,AWARD,AWARD,2015-03-06,2015-04-23,48,True,True,True,
15-37363,15-56880,award_relationship,annonce_lie_or_annonces_anterieures,AWARD,AWARD,2015-03-12,2015-04-15,34,True,True,True,
15-48041,15-56769,explicit_linked_notice,annonce_lie_or_annonces_anterieures,CALL,CORRECTION,2015-03-30,2015-04-14,15,True,True,True,
15-40053,15-50788,explicit_linked_notice,annonce_lie_or_annonces_anterieures,CALL,CORRECTION,2015-03-17,2015-04-02,16,True,True,True,
15-31636,15-53044,explicit_linked_notice,annonce_lie_or_annonces_anterieures,CALL,CORRECTION,2015-03-23,2015-04-08,16,True,False,False,
15-56021,15-64896,explicit_linked_notice,annonce_lie_or_annonces_anterieures,CALL,CORRECTION,2015-04-14,2015-04-27,13,True,False,False,
15-57342,15-57341,award_relationship,annonce_lie_or_annonces_anterieures,CORRECTION,AWARD,2015-04-15,2015-04-16,1,True,True,True,
15-33799,15-60178,award_relationship,annonce_lie_or_annonces_anterieures,CALL,AWARD,2015-03-06,2015-04-21,46,True,True,True,
15-51573,15-63601,award_relationship,annonce_lie_or_annonces_anterieures,FOLLOW_UP,AWARD,2015-04-03,2015-04-24,21,True,True,True,
15-49896,15-54941,explicit_linked_notice,annonce_lie_or_annonces_anterieures,CALL,CORRECTION,2015-04-02,2015-04-13,11,True,True,True,
15-47818,15-63023,explicit_linked_notice,annonce_lie_or_annonces_anterieures,CALL,CORRECTION,2015-03-31,2015-04-23,23,True,True,True,
15-42240,15-53852,explicit_linked_notice,annonce_lie_or_annonces_anterieures,CALL,CORRECTION,2015-03-19,2015-04-09,21,True,False,False,
15-65829,15-67087,explicit_linked_notice,annonce_lie_or_annonces_anterieures,AWARD,CANCELLATION,2015-04-29,2015-04-30,1,True,False,False,
15-46280,15-58281,explicit_linked_notice,annonce_lie_or_annonces_anterieures,CALL,CORRECTION,2015-04-13,2015-04-16,3,True,True,True,
15-57438,15-60559,explicit_linked_notice,annonce_lie_or_annonces_anterieures,CALL,CORRECTION,2015-04-15,2015-04-22,7,True,True,True,
15-61096,15-60559,explicit_linked_notice,annonce_lie_or_annonces_anterieures,CORRECTION,CORRECTION,2015-04-21,2015-04-22,1,True,True,True,
15-52752,15-53987,explicit_linked_notice,annonce_lie_or_annonces_anterieures,CALL,CORRECTION,2015-04-07,2015-04-09,2,True,False,False,
15-48692,15-60288,explicit_linked_notice,annonce_lie_or_annonces_anterieures,CALL,CORRECTION,2015-03-31,2015-04-20,20,True,False,False,
15-56180,15-68718,explicit_linked_notice,annonce_lie_or_annonces_anterieures,CALL,CORRECTION,2015-04-20,2015-05-04,14,True,False,False,
15-58439,15-79196,award_relationship,annonce_lie_or_annonces_anterieures,CALL,AWARD,2015-04-17,2015-05-27,40,True,True,True,
15-43535,15-61558,award_relationship,annonce_lie_or_annonces_anterieures,CALL,AWARD,2015-03-23,2015-05-06,44,True,False,False,
15-42946,15-71502,award_relationship,annonce_lie_or_annonces_anterieures,CALL,AWARD,2015-03-20,2015-05-07,48,True,False,False,
15-26762,15-80261,award_relationship,annonce_lie_or_annonces_anterieures,CALL,AWARD,2015-03-10,2015-05-28,79,True,True,True,
15-35731,15-81479,explicit_linked_notice,annonce_lie_or_annonces_anterieures,CALL,CORRECTION,2015-03-10,2015-05-29,80,True,True,True,
15-42326,15-76621,award_relationship,annonce_lie_or_annonces_anterieures,CALL,AWARD,2015-03-19,2015-05-20,62,True,False,False,
15-48873,15-79340,award_relationship,annonce_lie_or_annonces_anterieures,CALL,AWARD,2015-03-31,2015-05-26,56,True,False,False,
15-46614,15-68844,explicit_linked_notice,annonce_lie_or_annonces_anterieures,CALL,CORRECTION,2015-03-30,2015-05-05,36,True,True,True,
15-76690,15-79290,explicit_linked_notice,annonce_lie_or_annonces_anterieures,CALL,CORRECTION,2015-05-22,2015-05-26,4,True,True,True,
15-59238,15-72901,explicit_linked_notice,annonce_lie_or_annonces_anterieures,CALL,CORRECTION,2015-04-20,2015-05-12,22,True,True,True,
15-78539,15-80973,explicit_linked_notice,annonce_lie_or_annonces_anterieures,CALL,CORRECTION,2015-05-26,2015-05-28,2,True,False,False,
15-37956,15-77775,award_relationship,annonce_lie_or_annonces_anterieures,CALL,AWARD,2015-03-13,2015-05-22,70,True,True,True,
15-33561,15-72502,explicit_linked_notice,annonce_lie_or_annonces_anterieures,AWARD,CORRECTION,2015-03-06,2015-05-12,67,True,True,True,
15-62381,15-72502,explicit_linked_notice,annonce_lie_or_annonces_anterieures,AWARD,CORRECTION,2015-04-23,2015-05-12,19,True,True,True,
15-65071,15-77178,explicit_linked_notice,annonce_lie_or_annonces_anterieures,CALL,CORRECTION,2015-05-12,2015-05-21,9,True,True,True,
15-70236,15-79398,explicit_linked_notice,annonce_lie_or_annonces_anterieures,CALL,CORRECTION,2015-05-06,2015-05-26,20,True,False,False,
15-36823,15-75980,award_relationship,annonce_lie_or_annonces_anterieures,CALL,AWARD,2015-03-12,2015-05-19,68,True,True,True,
15-75611,15-80940,explicit_linked_notice,annonce_lie_or_annonces_anterieures,CALL,CORRECTION,2015-05-18,2015-05-28,10,True,False,False,
14-16252,15-73040,award_relationship,annonce_lie_or_annonces_anterieures,CALL,AWARD,2015-04-10,2015-05-12,32,True,False,False,
15-44849,15-80265,award_relationship,annonce_lie_or_annonces_anterieures,CALL,AWARD,2015-04-07,2015-05-28,51,True,True,True,
15-37818,15-75302,award_relationship,annonce_lie_or_annonces_anterieures,CALL,AWARD,2015-03-12,2015-05-18,67,True,False,False,
15-47310,15-77390,explicit_linked_notice,annonce_lie_or_annonces_anterieures,CALL,CORRECTION,2015-03-27,2015-05-21,55,True,True,True,
15-49368,15-77982,award_relationship,annonce_lie_or_annonces_anterieures,CALL,AWARD,2015-03-31,2015-05-21,51,True,False,False,
15-68337,15-80734,award_relationship,annonce_lie_or_annonces_anterieures,CALL,AWARD,2015-05-04,2015-05-28,24,True,False,False,
15-73906,15-76178,explicit_linked_notice,annonce_lie_or_annonces_anterieures,CALL,CORRECTION,2015-05-13,2015-05-19,6,True,True,True,
15-35231,15-76475,award_relationship,annonce_lie_or_annonces_anterieures,CALL,AWARD,2015-03-09,2015-05-20,72,True,True,True,
15-45936,15-77896,award_relationship,annonce_lie_or_annonces_anterieures,CALL,AWARD,2015-03-26,2015-05-22,57,True,True,True,
15-58006,15-58088,award_relationship,annonce_lie_or_annonces_anterieures,FOLLOW_UP,AWARD,2015-04-28,2015-05-29,31,True,True,True,
15-46576,15-78963,award_relationship,annonce_lie_or_annonces_anterieures,CALL,AWARD,2015-03-26,2015-05-22,57,True,False,False,
15-50939,15-68859,explicit_linked_notice,annonce_lie_or_annonces_anterieures,CALL,CORRECTION,2015-04-03,2015-05-05,32,True,True,True,
15-70802,15-77817,explicit_linked_notice,annonce_lie_or_annonces_anterieures,CALL,CORRECTION,2015-05-07,2015-05-21,14,True,True,True,
15-62376,15-72123,explicit_linked_notice,annonce_lie_or_annonces_anterieures,CALL,CORRECTION,2015-04-23,2015-05-11,18,True,True,True,
15-32027,15-74806,award_relationship,annonce_lie_or_annonces_anterieures,CALL,AWARD,2015-03-03,2015-05-18,76,True,True,True,
15-33531,15-68634,award_relationship,annonce_lie_or_annonces_anterieures,CALL,AWARD,2015-03-04,2015-05-04,61,True,False,False,
15-42416,15-77374,award_relationship,annonce_lie_or_annonces_anterieures,CALL,AWARD,2015-03-19,2015-05-21,63,True,False,False,
15-66859,15-70184,explicit_linked_notice,annonce_lie_or_annonces_anterieures,CALL,CORRECTION,2015-05-06,2015-05-06,0,True,True,True,
15-65691,15-74552,explicit_linked_notice,annonce_lie_or_annonces_anterieures,CALL,CORRECTION,2015-04-29,2015-05-15,16,True,True,True,
15-53498,15-75447,explicit_linked_notice,annonce_lie_or_annonces_anterieures,CALL,CORRECTION,2015-04-09,2015-05-18,39,False,True,True,
15-76144,15-79209,explicit_linked_notice,annonce_lie_or_annonces_anterieures,CALL,CORRECTION,2015-05-22,2015-05-26,4,True,False,False,
15-58007,15-73683,award_relationship,annonce_lie_or_annonces_anterieures,FOLLOW_UP,AWARD,2015-04-28,2015-05-13,15,True,True,True,
15-31199,15-75714,award_relationship,annonce_lie_or_annonces_anterieures,CALL,AWARD,2015-03-02,2015-05-19,78,True,True,True,
15-46006,15-61589,award_relationship,annonce_lie_or_annonces_anterieures,CALL,AWARD,2015-03-26,2015-05-06,41,True,False,False,
15-34156,15-74628,award_relationship,annonce_lie_or_annonces_anterieures,CALL,AWARD,2015-03-05,2015-05-15,71,True,False,False,
15-40958,15-77517,award_relationship,annonce_lie_or_annonces_anterieures,CALL,AWARD,2015-03-17,2015-05-21,65,True,False,False,
15-80247,15-83488,explicit_linked_notice,annonce_lie_or_annonces_anterieures,CALL,CORRECTION,2015-05-27,2015-06-02,6,True,True,True,
15-33210,15-87111,award_relationship,annonce_lie_or_annonces_anterieures,CALL,AWARD,2015-03-04,2015-06-09,97,True,True,True,
15-90613,15-90611,award_relationship,annonce_lie_or_annonces_anterieures,CORRECTION,AWARD,2015-06-12,2015-06-15,3,True,True,True,
15-48409,15-96267,award_relationship,annonce_lie_or_annonces_anterieures,CALL,AWARD,2015-04-01,2015-06-24,84,True,True,True,
15-37967,15-98136,award_relationship,annonce_lie_or_annonces_anterieures,CALL,AWARD,2015-03-13,2015-06-26,105,True,True,True,
15-66778,15-82960,award_relationship,annonce_lie_or_annonces_anterieures,CALL,AWARD,2015-04-29,2015-06-01,33,True,False,False,
15-33910,15-82367,award_relationship,annonce_lie_or_annonces_anterieures,CALL,AWARD,2015-03-05,2015-06-01,88,True,False,False,
15-51530,15-96308,award_relationship,annonce_lie_or_annonces_anterieures,CALL,AWARD,2015-04-08,2015-06-24,77,True,True,True,
15-49045,15-99282,award_relationship,annonce_lie_or_annonces_anterieures,CALL,AWARD,2015-03-31,2015-06-30,91,True,True,True,
15-48148,15-99551,award_relationship,annonce_lie_or_annonces_anterieures,CALL,AWARD,2015-04-01,2015-06-30,90,True,False,False,
15-44974,15-82086,award_relationship,annonce_lie_or_annonces_anterieures,CALL,AWARD,2015-03-24,2015-06-03,71,True,True,True,
15-45837,15-97745,award_relationship,annonce_lie_or_annonces_anterieures,CALL,AWARD,2015-03-26,2015-06-25,91,True,True,True,
15-54083,15-98996,award_relationship,annonce_lie_or_annonces_anterieures,CALL,AWARD,2015-04-10,2015-06-29,80,True,True,True,
15-34844,15-82829,award_relationship,annonce_lie_or_annonces_anterieures,CORRECTION,AWARD,2015-03-06,2015-06-01,87,True,True,True,
15-70943,15-93507,award_relationship,annonce_lie_or_annonces_anterieures,CALL,AWARD,2015-05-07,2015-06-18,42,True,True,True,
15-43147,15-96676,award_relationship,annonce_lie_or_annonces_anterieures,CALL,AWARD,2015-03-20,2015-06-24,96,True,False,False,
15-44289,15-98928,award_relationship,annonce_lie_or_annonces_anterieures,CALL,AWARD,2015-03-23,2015-06-30,99,True,True,True,
15-67703,15-99387,award_relationship,annonce_lie_or_annonces_anterieures,CALL,AWARD,2015-05-04,2015-06-30,57,True,True,True,
15-50024,15-99507,award_relationship,annonce_lie_or_annonces_anterieures,CALL,AWARD,2015-04-27,2015-06-30,64,True,True,True,
15-67434,15-99562,award_relationship,annonce_lie_or_annonces_anterieures,CALL,AWARD,2015-05-04,2015-06-30,57,True,True,True,
15-50278,15-79596,award_relationship,annonce_lie_or_annonces_anterieures,CALL,AWARD,2015-04-02,2015-06-04,63,True,False,False,
15-59899,15-84248,award_relationship,annonce_lie_or_annonces_anterieures,CALL,AWARD,2015-04-20,2015-06-04,45,True,False,False,
15-44644,15-90748,award_relationship,annonce_lie_or_annonces_anterieures,CALL,AWARD,2015-03-24,2015-06-17,85,True,False,False,
15-31716,15-97895,award_relationship,annonce_lie_or_annonces_anterieures,CALL,AWARD,2015-03-27,2015-06-25,90,True,False,False,
15-58521,15-98663,award_relationship,annonce_lie_or_annonces_anterieures,CALL,AWARD,2015-04-24,2015-06-26,63,True,False,False,
15-74689,15-89790,explicit_linked_notice,annonce_lie_or_annonces_anterieures,CALL,CANCELLATION,2015-05-15,2015-06-11,27,True,False,False,
15-90604,15-93615,explicit_linked_notice,annonce_lie_or_annonces_anterieures,CALL,CORRECTION,2015-06-12,2015-06-18,6,True,False,False,
15-28783,15-95929,award_relationship,annonce_lie_or_annonces_anterieures,CALL,AWARD,2015-03-03,2015-06-23,112,True,True,True,
15-38223,15-87103,award_relationship,annonce_lie_or_annonces_anterieures,CALL,AWARD,2015-03-13,2015-06-10,89,True,True,True,
15-49343,15-88282,award_relationship,annonce_lie_or_annonces_anterieures,CALL,AWARD,2015-04-01,2015-06-10,70,True,True,True,
15-58176,15-92159,award_relationship,annonce_lie_or_annonces_anterieures,CALL,AWARD,2015-04-17,2015-06-17,61,True,True,True,
15-66491,15-89206,award_relationship,annonce_lie_or_annonces_anterieures,CALL,AWARD,2015-04-29,2015-06-11,43,True,False,False,
15-34716,15-98469,award_relationship,annonce_lie_or_annonces_anterieures,CALL,AWARD,2015-03-06,2015-06-26,112,True,False,False,
15-55407,15-84820,explicit_linked_notice,annonce_lie_or_annonces_anterieures,CALL,CORRECTION,2015-04-20,2015-06-04,45,True,True,True,
15-84084,15-86280,explicit_linked_notice,annonce_lie_or_annonces_anterieures,CALL,CORRECTION,2015-06-04,2015-06-05,1,True,True,True,
15-72558,15-93512,explicit_linked_notice,annonce_lie_or_annonces_anterieures,CALL,CORRECTION,2015-05-12,2015-06-18,37,True,True,True,
15-83632,15-92216,explicit_linked_notice,annonce_lie_or_annonces_anterieures,CALL,CORRECTION,2015-06-03,2015-06-16,13,True,True,True,
15-83729,15-85320,explicit_linked_notice,annonce_lie_or_annonces_anterieures,CALL,CORRECTION,2015-06-02,2015-06-04,2,True,False,False,
15-95028,15-95552,explicit_linked_notice,annonce_lie_or_annonces_anterieures,CALL,CANCELLATION,2015-06-22,2015-06-22,0,True,False,False,
15-39865,15-87343,award_relationship,annonce_lie_or_annonces_anterieures,CALL,AWARD,2015-03-17,2015-06-09,84,True,True,True,
15-53173,15-93689,award_relationship,annonce_lie_or_annonces_anterieures,CALL,AWARD,2015-04-09,2015-06-18,70,True,True,True,
15-57596,15-96516,award_relationship,annonce_lie_or_annonces_anterieures,CORRECTION,AWARD,2015-04-15,2015-06-24,70,True,True,True,
15-38633,15-96516,award_relationship,annonce_lie_or_annonces_anterieures,CALL,AWARD,2015-03-16,2015-06-24,100,True,True,True,
15-43803,15-99156,award_relationship,annonce_lie_or_annonces_anterieures,CALL,AWARD,2015-03-24,2015-06-30,98,True,True,True,
15-38294,15-86629,award_relationship,annonce_lie_or_annonces_anterieures,CALL,AWARD,2015-03-13,2015-06-08,87,True,True,True,
15-48036,15-89237,award_relationship,annonce_lie_or_annonces_anterieures,CALL,AWARD,2015-03-31,2015-06-11,72,True,True,True,
15-45322,15-93085,award_relationship,annonce_lie_or_annonces_anterieures,CALL,AWARD,2015-03-25,2015-06-18,85,True,True,True,
15-38021,15-90164,award_relationship,annonce_lie_or_annonces_anterieures,CALL,AWARD,2015-03-12,2015-06-12,92,True,False,False,
15-74401,15-84859,explicit_linked_notice,annonce_lie_or_annonces_anterieures,CALL,CORRECTION,2015-05-15,2015-06-03,19,True,True,True,
15-88625,15-95073,explicit_linked_notice,annonce_lie_or_annonces_anterieures,CALL,CANCELLATION,2015-06-10,2015-06-19,9,True,False,False,
15-89207,15-95141,explicit_linked_notice,annonce_lie_or_annonces_anterieures,CALL,CORRECTION,2015-06-11,2015-06-20,9,True,False,False,
15-97907,15-98441,explicit_linked_notice,annonce_lie_or_annonces_anterieures,CALL,CANCELLATION,2015-06-25,2015-06-26,1,True,False,False,
15-38414,15-95911,award_relationship,annonce_lie_or_annonces_anterieures,CORRECTION,AWARD,2015-03-13,2015-06-23,102,True,True,True,
15-56447,15-97831,award_relationship,annonce_lie_or_annonces_anterieures,CALL,AWARD,2015-04-14,2015-06-25,72,True,True,True,
15-52766,15-97791,award_relationship,annonce_lie_or_annonces_anterieures,CALL,AWARD,2015-04-08,2015-06-26,79,True,True,True,
15-49896,15-100273,explicit_linked_notice,annonce_lie_or_annonces_anterieures,CALL,FOLLOW_UP,2015-04-02,2015-06-30,89,True,True,True,
15-54941,15-100273,explicit_linked_notice,annonce_lie_or_annonces_anterieures,CORRECTION,FOLLOW_UP,2015-04-13,2015-06-30,78,True,True,True,
15-32727,15-89753,award_relationship,annonce_lie_or_annonces_anterieures,CALL,AWARD,2015-03-04,2015-06-11,99,True,True,True,
15-64896,15-92646,award_relationship,annonce_lie_or_annonces_anterieures,CORRECTION,AWARD,2015-04-27,2015-06-17,51,True,False,False,
15-56021,15-92646,award_relationship,annonce_lie_or_annonces_anterieures,CALL,AWARD,2015-04-14,2015-06-17,64,True,True,True,
15-56123,15-96362,award_relationship,annonce_lie_or_annonces_anterieures,CALL,AWARD,2015-04-14,2015-06-24,71,True,True,True,
15-47831,15-99337,award_relationship,annonce_lie_or_annonces_anterieures,CALL,AWARD,2015-03-31,2015-06-30,91,True,False,False,
15-44173,15-84411,award_relationship,annonce_lie_or_annonces_anterieures,CALL,AWARD,2015-03-23,2015-06-03,72,True,False,False,
15-67585,15-91756,award_relationship,annonce_lie_or_annonces_anterieures,CALL,AWARD,2015-04-30,2015-06-15,46,True,False,False,
15-65647,15-96087,award_relationship,annonce_lie_or_annonces_anterieures,CALL,AWARD,2015-04-28,2015-06-23,56,True,False,False,
15-80458,15-91117,explicit_linked_notice,annonce_lie_or_annonces_anterieures,CALL,CORRECTION,2015-05-28,2015-06-15,18,True,True,True,
15-73524,15-91508,explicit_linked_notice,annonce_lie_or_annonces_anterieures,CALL,CORRECTION,2015-05-15,2015-06-15,31,True,True,True,
15-91351,15-92479,explicit_linked_notice,annonce_lie_or_annonces_anterieures,CALL,CORRECTION,2015-06-15,2015-06-16,1,True,False,False,
15-87489,15-96054,explicit_linked_notice,annonce_lie_or_annonces_anterieures,CALL,CANCELLATION,2015-06-08,2015-06-23,15,True,False,False,
15-57281,15-82015,award_relationship,annonce_lie_or_annonces_anterieures,CALL,AWARD,2015-04-16,2015-06-02,47,True,True,True,
15-37716,15-85010,award_relationship,annonce_lie_or_annonces_anterieures,CALL,AWARD,2015-03-13,2015-06-04,83,True,True,True,
15-34678,15-87719,award_relationship,annonce_lie_or_annonces_anterieures,CALL,AWARD,2015-03-06,2015-06-09,95,True,True,True,
15-56017,15-93567,award_relationship,annonce_lie_or_annonces_anterieures,CALL,AWARD,2015-04-14,2015-06-19,66,True,True,True,
15-79916,15-97154,award_relationship,annonce_lie_or_annonces_anterieures,CALL,AWARD,2015-05-27,2015-06-25,29,True,True,True,
15-62309,15-94079,award_relationship,annonce_lie_or_annonces_anterieures,CALL,AWARD,2015-04-22,2015-06-18,57,True,False,False,
15-62479,15-94804,award_relationship,annonce_lie_or_annonces_anterieures,CALL,AWARD,2015-04-22,2015-06-24,63,True,False,False,
15-42370,15-99670,award_relationship,annonce_lie_or_annonces_anterieures,CALL,AWARD,2015-03-19,2015-06-29,102,True,False,False,
15-34289,15-81066,award_relationship,annonce_lie_or_annonces_anterieures,CALL,AWARD,2015-03-10,2015-06-03,85,True,True,True,
15-94191,15-99648,explicit_linked_notice,annonce_lie_or_annonces_anterieures,CALL,CORRECTION,2015-06-19,2015-06-30,11,True,True,True,
15-84716,15-99777,explicit_linked_notice,annonce_lie_or_annonces_anterieures,CALL,CANCELLATION,2015-06-04,2015-06-30,26,False,True,True,
15-46808,15-95174,award_relationship,annonce_lie_or_annonces_anterieures,CALL,AWARD,2015-03-27,2015-06-23,88,True,True,True,
15-52011,15-96225,award_relationship,annonce_lie_or_annonces_anterieures,CALL,AWARD,2015-04-08,2015-06-24,77,True,True,True,
15-42214,15-96719,award_relationship,annonce_lie_or_annonces_anterieures,CALL,AWARD,2015-03-23,2015-06-26,95,True,True,True,
15-35898,15-84687,award_relationship,annonce_lie_or_annonces_anterieures,CALL,AWARD,2015-03-13,2015-06-11,90,True,True,True,
15-45999,15-89019,award_relationship,annonce_lie_or_annonces_anterieures,CALL,AWARD,2015-03-30,2015-06-11,73,True,True,True,
