edge_type,source_role,target_role,n_edges,median_delay_days,p_same_buyer_key,p_same_cpv_clean,p_same_cpv_division,median_text_similarity
high_text_similarity,AWARD,CORRECTION,29,7.0,1.0,0.9310344827586207,0.9310344827586207,0.941696711764271
explicit_linked_notice,CALL,MODIFICATION,29,526.0,0.9655172413793104,0.8620689655172413,0.8620689655172413,
exact_text_duplicate,CALL,FOLLOW_UP,26,79.0,1.0,0.6923076923076923,0.6923076923076923,1.0
high_text_similarity,CALL,CANCELLATION,26,13.0,1.0,0.3076923076923077,0.3076923076923077,0.9631029764162709
explicit_linked_notice,MODIFICATION,MODIFICATION,23,254.0,1.0,0.9130434782608695,0.9130434782608695,
exact_text_duplicate,CANCELLATION,CALL,21,2.0,1.0,0.2857142857142857,0.38095238095238093,1.0
exact_text_duplicate,FOLLOW_UP,CALL,13,39.0,1.0,1.0,1.0,1.0
high_text_similarity,CANCELLATION,CALL,11,3.0,1.0,0.2727272727272727,0.36363636363636365,0.9179943768155485
exact_text_duplicate,AWARD,CORRECTION,10,5.5,1.0,0.9,0.9,1.0
award_reverse_lookup,AWARD,CORRECTION,9,4.0,1.0,0.4444444444444444,0.4444444444444444,
explicit_linked_notice,FOLLOW_UP,CORRECTION,9,30.0,1.0,0.8888888888888888,1.0,
high_text_similarity,FOLLOW_UP,AWARD,9,31.0,1.0,1.0,1.0,0.9999999999999997
exact_text_duplicate,AWARD,MODIFICATION,8,75.0,1.0,1.0,1.0,1.0
explicit_linked_notice,FOLLOW_UP,CALL,7,47.0,0.8571428571428571,0.8571428571428571,1.0,
explicit_linked_notice,CORRECTION,MODIFICATION,6,469.0,1.0,0.5,0.5,
explicit_linked_notice,CORRECTION,CANCELLATION,6,95.5,1.0,0.3333333333333333,0.3333333333333333,
exact_text_duplicate,MODIFICATION,MODIFICATION,5,28.0,1.0,1.0,1.0,1.0
award_reverse_lookup,AWARD,CANCELLATION,4,3.5,1.0,0.0,0.0,
high_text_similarity,FOLLOW_UP,CALL,4,53.5,1.0,1.0,1.0,0.9265970671889225
award_reverse_lookup,CORRECTION,CORRECTION,4,94.5,1.0,1.0,1.0,
explicit_linked_notice,CORRECTION,CALL,4,49.0,1.0,0.5,0.5,
explicit_linked_notice,AWARD,CANCELLATION,4,3.5,1.0,0.0,0.0,
explicit_linked_notice,CORRECTION,FOLLOW_UP,3,78.0,1.0,0.6666666666666666,0.6666666666666666,
high_text_similarity,FOLLOW_UP,CORRECTION,3,22.0,1.0,1.0,1.0,0.9937642647465423
award_reverse_lookup,CALL,CORRECTION,3,112.0,1.0,1.0,1.0,
exact_text_duplicate,AWARD,CANCELLATION,3,6.0,1.0,0.0,0.0,1.0
exact_text_duplicate,CORRECTION,CANCELLATION,3,107.0,1.0,0.3333333333333333,0.3333333333333333,1.0
exact_text_duplicate,FOLLOW_UP,FOLLOW_UP,3,6.0,1.0,1.0,1.0,1.0
exact_text_duplicate,FOLLOW_UP,CORRECTION,3,28.0,1.0,1.0,1.0,1.0
award_relationship,CANCELLATION,AWARD,2,47.0,1.0,0.0,0.0,
high_text_similarity,CALL,FOLLOW_UP,2,40.0,1.0,0.5,1.0,0.927920084921954
award_reverse_lookup,CANCELLATION,AWARD,2,47.0,1.0,0.0,0.0,
high_text_similarity,MODIFICATION,MODIFICATION,2,4.5,1.0,1.0,1.0,0.8986117566502314
exact_text_duplicate,CANCELLATION,AWARD,2,41.0,1.0,0.0,0.0,1.0
explicit_linked_notice,FOLLOW_UP,FOLLOW_UP,2,74.5,1.0,1.0,1.0,
award_reverse_lookup,CALL,CANCELLATION,1,79.0,1.0,0.0,0.0,
exact_text_duplicate,CANCELLATION,CORRECTION,1,2.0,1.0,0.0,0.0,1.0
exact_text_duplicate,CORRECTION,FOLLOW_UP,1,79.0,1.0,1.0,1.0,1.0
explicit_linked_notice,AWARD,CALL,1,143.0,1.0,0.0,0.0,
explicit_linked_notice,CANCELLATION,CORRECTION,1,2.0,1.0,0.0,0.0,
high_text_similarity,CANCELLATION,CORRECTION,1,18.0,1.0,0.0,0.0,0.9722111784393979
high_text_similarity,CORRECTION,CANCELLATION,1,18.0,1.0,0.0,0.0,0.9699607123912392
