notice_family_id,notice_id,publication_date,schema_family,buyer_key,cpv_clean,first_call_date,call_to_award_days,call_to_award_months,delay_flag
NF001162,15-79596,2015-06-04,LEGACY,NAME:cte de cnes ocean-marais de monts,,2015-04-02,63,2.0696452036793693,OK
NF000819,15-84248,2015-06-04,LEGACY,NAME:cte de cnes ocean-marais de monts,,2015-04-20,45,1.4783180026281209,OK
NF000589,15-90748,2015-06-17,LEGACY,NAME:conseil regional des pays de la loire,,2015-03-24,85,2.7923784494086727,OK
NF000666,15-97895,2015-06-25,LEGACY,NAME:ville de saumur,,2015-03-27,90,2.9566360052562417,OK
NF001071,15-98663,2015-06-26,LEGACY,NAME:vendee eau,,2015-04-24,63,2.0696452036793693,OK
NF000001,15-95929,2015-06-23,LEGACY,NAME:centre hospitalier de saint-nazaire,15861000,2015-03-03,112,3.679369250985545,OK
NF000397,15-87103,2015-06-10,LEGACY,NAME:cg49,45233120,2015-03-13,89,2.923784494086728,OK
NF001208,15-88282,2015-06-10,LEGACY,NAME:sdis 85,50000000,2015-04-01,70,2.299605781865966,OK
NF000961,15-92159,2015-06-17,LEGACY,NAME:ville des sables d olonne,45261212,2015-04-17,61,2.0039421813403417,OK
NF000822,15-89206,2015-06-11,LEGACY,NAME:direccte,,2015-04-29,43,1.4126149802890933,OK
NF000512,15-98469,2015-06-26,LEGACY,NAME:ch le mans,,2015-03-06,112,3.679369250985545,OK
NF000842,15-82784,2015-06-01,LEGACY,SIRET:24720013200014,34115200,2015-04-17,45,1.4783180026281209,OK
NF000275,15-87343,2015-06-09,LEGACY,NAME:vendee expansion,79341400,2015-03-17,84,2.759526938239159,OK
NF001269,15-93689,2015-06-18,LEGACY,NAME:hopital du baugeois et de la vallee,60100000,2015-04-09,70,2.299605781865966,OK
NF000537,15-96516,2015-06-24,LEGACY,SIRET:24720013200014,45233141,2015-03-16,100,3.2851511169513796,OK
NF000093,15-99156,2015-06-30,LEGACY,SIRET:24720013200014,77310000,2015-03-24,98,3.219448094612352,OK
NF000488,15-86629,2015-06-08,LEGACY,NAME:mairie de saint saturnin,42416120,2015-03-13,87,2.8580814717477003,OK
NF000198,15-89237,2015-06-11,LEGACY,NAME:cpam de loire-atlantique,71300000,2015-03-31,72,2.3653088042049935,OK
NF000369,15-93085,2015-06-18,LEGACY,NAME:le mans metropole - communaute urbaine,45112500,2015-03-25,85,2.7923784494086727,OK
NF000411,15-90164,2015-06-12,LEGACY,NAME:ville d allonnes,,2015-03-12,92,3.0223390275952693,OK
NF001098,15-97831,2015-06-25,LEGACY,SIRET:22720002900014,44113320,2015-04-14,72,2.3653088042049935,OK
NF001010,15-97791,2015-06-26,LEGACY,NAME:cg49,45233120,2015-04-08,79,2.59526938239159,OK
NF000310,15-89753,2015-06-11,LEGACY,NAME:crous de nantes,39220000,2015-03-04,99,3.252299605781866,OK
NF000707,15-92646,2015-06-17,LEGACY,NAME:commune de parigne l eveque,45220000,2015-04-14,64,2.102496714848883,OK
NF000708,15-96362,2015-06-24,LEGACY,NAME:le mans metropole - communaute urbaine,45112500,2015-04-14,71,2.3324572930354797,OK
NF000622,15-99337,2015-06-30,LEGACY,NAME:nantes metropole,,2015-03-31,91,2.9894875164257555,OK
NF000066,15-84411,2015-06-03,LEGACY,NAME:crous de nantes,,2015-03-23,72,2.3653088042049935,OK
NF001182,15-91756,2015-06-15,LEGACY,NAME:cesame - ch de sainte gemmes sur loire,,2015-04-30,46,1.5111695137976346,OK
NF001257,15-96087,2015-06-23,LEGACY,NAME:i f c e,,2015-04-28,56,1.8396846254927726,OK
NF000783,15-82015,2015-06-02,LEGACY,NAME:c h s de la sarthe,30121100,2015-04-16,47,1.5440210249671484,OK
NF000315,15-85010,2015-06-04,LEGACY,NAME:conseil general de la vendee,45233125,2015-03-13,83,2.726675427069645,OK
NF000393,15-87719,2015-06-09,LEGACY,NAME:le mans metropole - communaute urbaine,45261420,2015-03-06,95,3.1208935611038107,OK
NF000958,15-93567,2015-06-19,LEGACY,NAME:le mans metropole - communaute urbaine,45421000,2015-04-14,66,2.1681997371879107,OK
NF001454,15-97154,2015-06-25,LEGACY,NAME:cc de la champagne conlinoise,45211350,2015-05-27,29,0.9526938239159001,OK
NF000901,15-94079,2015-06-18,LEGACY,NAME:ville d allonnes,,2015-04-22,57,1.8725361366622864,OK
NF001338,15-94804,2015-06-24,LEGACY,NAME:conseil regional des pays de la loire,,2015-04-22,63,2.0696452036793693,OK
NF000242,15-99670,2015-06-29,LEGACY,NAME:caf de la loire atlantique,,2015-03-19,102,3.350854139290407,OK
NF000433,15-81066,2015-06-03,LEGACY,NAME:ville de cholet,09123000,2015-03-10,85,2.7923784494086727,OK
NF001823,15-96843,2015-06-25,LEGACY,NAME:cg49,60112000,2015-05-15,41,1.3469119579500657,OK
NF000440,15-95174,2015-06-23,LEGACY,NAME:ville des sables d olonne,09134200,2015-03-27,88,2.890932982917214,OK
NF001268,15-96225,2015-06-24,LEGACY,NAME:syndicat departemental d energie,31682000,2015-04-08,77,2.5295663600525624,OK
NF000607,15-96719,2015-06-26,LEGACY,NAME:commune de le pellerin,44211100,2015-03-23,95,3.1208935611038107,OK
NF000135,15-84687,2015-06-11,LEGACY,NAME:syndicat trivalis,45112500,2015-03-13,90,2.9566360052562417,OK
NF000296,15-89019,2015-06-11,LEGACY,NAME:commune de saint-nazaire,45233140,2015-03-30,73,2.3981603153745072,OK
NF000227,15-90309,2015-06-12,LEGACY,NAME:universite de nantes,45261420,2015-03-06,98,3.219448094612352,OK
NF000963,15-92155,2015-06-17,LEGACY,NAME:ville des sables d olonne,45232130,2015-04-20,58,1.9053876478318001,OK
NF000415,15-84404,2015-06-03,LEGACY,NAME:crous de nantes,,2015-03-17,78,2.562417871222076,OK
NF001067,15-99014,2015-06-26,LEGACY,NAME:commune de saint-nazaire,,2015-04-09,78,2.562417871222076,OK
NF000084,15-92146,2015-06-16,LEGACY,NAME:ville des sables d olonne,55300000,2015-03-09,99,3.252299605781866,OK
NF000371,15-88576,2015-06-11,LEGACY,NAME:cg49,45214200,2015-03-25,78,2.562417871222076,OK
NF000860,15-96253,2015-06-24,LEGACY,NAME:ville du mans,45432130,2015-04-20,65,2.135348226018397,OK
NF000189,15-96314,2015-06-24,LEGACY,NAME:ville de saumur,,2015-03-23,93,3.055190538764783,OK
NF000011,15-101473,2015-07-02,LEGACY,SIRET:22850001300658,45233121,2015-03-13,111,3.6465177398160313,OK
NF000838,15-107911,2015-07-10,LEGACY,NAME:saumur aggloproprete,45232470,2015-04-10,91,2.9894875164257555,OK
NF001809,15-101074,2015-07-13,LEGACY,NAME:centre hospitalier de saumur,09123000,2015-05-04,70,2.299605781865966,OK
NF001690,15-113567,2015-07-22,LEGACY,NAME:conseil general de la mayenne,44320000,2015-05-26,57,1.8725361366622864,OK
NF000760,15-114987,2015-07-24,LEGACY,NAME:conseil regional des pays de la loire,45262660,2015-04-10,105,3.4494086727989486,OK
NF002398,15-118127,2015-07-29,LEGACY,NAME:pole emploi pays de la loire,85312300,2015-06-01,58,1.9053876478318001,OK
NF001277,15-118982,2015-07-30,LEGACY,SIRET:22720002900014,50720000,2015-04-14,107,3.515111695137976,OK
NF000247,15-99650,2015-07-21,LEGACY,NAME:ville de saumur,,2015-03-24,119,3.9093298291721417,OK
NF000964,15-102482,2015-07-03,LEGACY,NAME:commune des brouzils,55512000,2015-04-22,72,2.3653088042049935,OK
NF000646,15-103185,2015-07-07,LEGACY,NAME:commune d olonne sur mer,45112711,2015-03-09,120,3.9421813403416555,OK
NF000365,15-105514,2015-07-10,LEGACY,NAME:conseil regional des pays de la loire,79310000,2015-03-20,112,3.679369250985545,OK
NF001898,15-109175,2015-07-15,LEGACY,NAME:ville du mans,71353200,2015-06-18,27,0.8869908015768725,OK
NF001048,15-112217,2015-07-20,LEGACY,NAME:nantes metropole,,2015-04-30,81,2.6609724047306176,OK
NF000710,15-112720,2015-07-21,LEGACY,NAME:carene,44470000,2015-04-15,97,3.1865965834428382,OK
NF001380,15-114723,2015-07-23,LEGACY,NAME:i f c e,03114100,2015-05-28,56,1.8396846254927726,OK
NF000570,15-116983,2015-07-28,LEGACY,NAME:vendee eau,45261100,2015-03-10,140,4.599211563731932,OK
NF001640,15-117716,2015-07-29,LEGACY,NAME:ville de carquefou,,2015-05-12,78,2.562417871222076,OK
NF001140,15-118231,2015-07-30,LEGACY,NAME:com communes du pays d ancenis,42962100,2015-04-30,91,2.9894875164257555,OK
NF000921,15-101182,2015-07-02,LEGACY,NAME:cte de cnes de la vallee de clisson,66510000,2015-04-08,85,2.7923784494086727,OK
NF000086,15-80039,2015-07-06,LEGACY,NAME:nantes metropole,71241000,2015-03-09,119,3.9093298291721417,OK
NF000353,15-104556,2015-07-07,LEGACY,SIRET:22720002900014,71300000,2015-03-11,118,3.876478318002628,OK
NF000284,15-109519,2015-07-15,LEGACY,SIRET:28720026500018,09132000,2015-03-26,111,3.6465177398160313,OK
NF000540,15-112292,2015-07-20,LEGACY,NAME:sdis 85,32522000,2015-03-20,122,4.0078843626806835,OK
NF000609,15-118613,2015-07-30,LEGACY,SIRET:78599626500035,39130000,2015-03-26,126,4.139290407358739,OK
NF000850,15-101372,2015-07-02,LEGACY,NAME:conseil general de la vendee,45223810,2015-04-01,92,3.0223390275952693,OK
NF001310,15-102824,2015-07-07,LEGACY,NAME:vendee eau,,2015-04-27,71,2.3324572930354797,OK
NF001513,15-113172,2015-07-21,LEGACY,NAME:conseil general de la vendee,71620000,2015-05-11,71,2.3324572930354797,OK
NF001068,15-113306,2015-07-21,LEGACY,NAME:ville du lion d angers,,2015-04-16,96,3.1537450722733245,OK
NF001721,15-118515,2015-07-29,LEGACY,NAME:commune d ecommoy,,2015-05-18,72,2.3653088042049935,OK
NF000765,15-103011,2015-07-06,LEGACY,NAME:cte de cnes de la vallee de clisson,34140000,2015-04-15,82,2.6938239159001314,OK
NF000170,15-107845,2015-07-10,LEGACY,NAME:sdis de la mayenne,35311400,2015-03-02,130,4.270696452036794,OK
NF000265,15-110410,2015-07-16,LEGACY,NAME:ch le mans,33141700,2015-03-03,135,4.434954007884363,OK
NF000085,15-110579,2015-07-17,LEGACY,SIRET:19490970100303,50750000,2015-03-09,130,4.270696452036794,OK
NF001084,15-116659,2015-07-27,LEGACY,SIRET:22850001300658,60112000,2015-04-01,117,3.843626806833114,OK
NF000685,15-117233,2015-07-28,LEGACY,SIRET:13001540700013,60172000,2015-04-15,104,3.416557161629435,OK
NF000002,15-117254,2015-07-28,LEGACY,NAME:mairie de pont st martin,66515200,2015-03-03,147,4.829172141918528,OK
NF000767,15-117401,2015-07-28,LEGACY,NAME:ville de la roche-sur-yon,60140000,2015-04-16,103,3.383705650459921,OK
NF000007,15-118064,2015-07-29,LEGACY,SIRET:22850001300658,45214220,2015-03-06,145,4.763469119579501,OK
NF001817,15-119112,2015-07-30,LEGACY,NAME:semitan,09310000,2015-05-11,80,2.628120893561104,OK
NF000722,15-100201,2015-07-01,LEGACY,NAME:conseil general de loire-atlantique,79311300,2015-04-29,63,2.0696452036793693,OK
NF000443,15-101001,2015-07-02,LEGACY,NAME:ville de laval,,2015-03-19,105,3.4494086727989486,OK
NF002420,15-104478,2015-07-07,LEGACY,NAME:sdis 85,50000000,2015-06-05,32,1.0512483574244416,OK
NF001703,15-110934,2015-07-17,LEGACY,NAME:carene,,2015-05-05,73,2.3981603153745072,OK
NF002264,15-114816,2015-07-23,LEGACY,NAME:vendee eau,72322000,2015-06-12,41,1.3469119579500657,OK
NF001377,15-114954,2015-07-24,LEGACY,NAME:ville d ancenis,38343000,2015-05-27,58,1.9053876478318001,OK
NF001783,15-102608,2015-07-02,LEGACY,NAME:ecole nationale sup d arts et metiers,,2015-05-07,56,1.8396846254927726,OK
NF000904,15-107591,2015-07-10,LEGACY,NAME:ville du mans,,2015-03-10,122,4.0078843626806835,OK
NF001189,15-100102,2015-07-01,LEGACY,NAME:ville de mayenne,60130000,2015-04-10,82,2.6938239159001314,OK
NF000608,15-106266,2015-07-09,LEGACY,NAME:ch le mans,71356100,2015-03-24,107,3.515111695137976,OK
NF000533,15-106661,2015-07-10,LEGACY,SIRET:22720002900014,34100000,2015-03-06,126,4.139290407358739,OK
NF001279,15-100505,2015-07-10,LEGACY,NAME:commune de saint-barthelemy-d anjou,55523100,2015-04-16,85,2.7923784494086727,OK
NF000936,15-110100,2015-07-16,LEGACY,NAME:ch le mans,33696500,2015-04-17,90,2.9566360052562417,OK
NF000359,15-111562,2015-07-20,LEGACY,SIRET:22850001300658,39294100,2015-03-24,118,3.876478318002628,OK
NF001009,15-111790,2015-07-20,LEGACY,NAME:nantes metropole,50510000,2015-04-07,104,3.416557161629435,OK
NF000351,15-112891,2015-07-21,LEGACY,SIRET:78625737800020,90919200,2015-03-09,134,4.402102496714849,OK
NF000083,15-114341,2015-07-23,LEGACY,NAME:pole sante sarthe et loire,85148000,2015-03-06,139,4.566360052562418,OK
NF000360,15-115820,2015-07-24,LEGACY,NAME:mairie,15894210,2015-03-25,121,3.9750328515111693,OK
NF001011,15-116642,2015-07-27,LEGACY,NAME:pole sante sarthe et loire,24111000,2015-04-09,109,3.5808147174770038,OK
NF000546,15-119161,2015-07-30,LEGACY,NAME:semitan mandataire de la cun,50113200,2015-03-31,121,3.9750328515111693,OK
NF001014,15-119438,2015-07-31,LEGACY,SIRET:21720003900014,42921300,2015-04-13,109,3.5808147174770038,OK
NF001123,15-100231,2015-07-01,LEGACY,NAME:carene,45233290,2015-04-16,76,2.4967148488830486,OK
NF000373,15-101205,2015-07-02,LEGACY,NAME:vendee eau,72315100,2015-03-27,97,3.1865965834428382,OK
NF000617,15-105416,2015-07-09,LEGACY,NAME:conseil regional des pays de la loire,79311000,2015-03-23,108,3.54796320630749,OK
NF000954,15-106391,2015-07-09,LEGACY,NAME:ville de carquefou,77310000,2015-04-13,87,2.8580814717477003,OK
NF000951,15-111548,2015-07-20,LEGACY,NAME:nantes metropole,45233140,2015-04-10,101,3.3180026281208934,OK
NF001515,15-112395,2015-07-20,LEGACY,NAME:conseil general de la vendee,45233125,2015-05-11,70,2.299605781865966,OK
NF002175,15-105981,2015-07-08,LEGACY,NAME:lycee de narce,,2015-06-02,36,1.1826544021024967,OK
NF000658,15-114701,2015-07-23,LEGACY,NAME:ville de saumur,,2015-03-16,129,4.23784494086728,OK
NF000842,15-106550,2015-07-10,LEGACY,SIRET:24720013200014,34115200,2015-04-17,84,2.759526938239159,OK
NF000603,15-111057,2015-07-17,LEGACY,NAME:nantes metropole,44110000,2015-03-11,128,4.204993429697766,OK
NF000442,15-112847,2015-07-21,LEGACY,NAME:angers loire metropole,65300000,2015-03-31,112,3.679369250985545,OK
NF000013,15-118333,2015-07-29,LEGACY,SIRET:22720002900014,32584000,2015-03-26,125,4.106438896189225,OK
NF000776,15-101715,2015-07-03,LEGACY,NAME:sidaep des mauges et de la gatine,,2015-04-03,91,2.9894875164257555,OK
NF001314,15-102693,2015-07-06,LEGACY,NAME:s m a e p de la region mancelle,45232150,2015-04-29,68,2.2339027595269383,OK
NF001128,15-115521,2015-07-27,LEGACY,NAME:sdis 49,64200000,2015-04-22,96,3.1537450722733245,OK
NF001040,15-116242,2015-07-27,LEGACY,NAME:ville du mans,45454100,2015-04-21,97,3.1865965834428382,OK
NF000884,15-102932,2015-07-03,LEGACY,NAME:synd mixte du circuit des 24h du mans,,2015-04-01,93,3.055190538764783,OK
NF000333,15-107392,2015-07-09,LEGACY,NAME:sdis de la sarthe,,2015-03-27,104,3.416557161629435,OK
NF001039,15-101696,2015-07-03,LEGACY,NAME:c h d la roche sur yon-lucon-montaigu,45454000,2015-04-20,74,2.431011826544021,OK
NF000697,15-108102,2015-07-10,LEGACY,NAME:commune de saint-nazaire,45112700,2015-04-01,100,3.2851511169513796,OK
NF000446,15-111302,2015-07-17,LEGACY,NAME:nantes metropole,,2015-03-23,116,3.8107752956636003,OK
NF000959,15-113883,2015-07-22,LEGACY,NAME:le mans metropole - communaute urbaine,45261420,2015-04-14,99,3.252299605781866,OK
NF001950,15-114824,2015-07-23,LEGACY,NAME:vendee eau,45111100,2015-06-01,52,1.7082785808147174,OK
NF000194,15-116239,2015-07-27,LEGACY,NAME:ville du mans,45311200,2015-03-25,124,4.073587385019711,OK
NF001253,15-104001,2015-07-15,LEGACY,NAME:prefecture de la vendee,,2015-04-20,86,2.8252299605781865,OK
NF000920,15-100380,2015-07-01,LEGACY,NAME:cg49,44000000,2015-04-07,85,2.7923784494086727,OK
NF000606,15-105782,2015-07-09,LEGACY,NAME:syndicat departemental d energie,34993000,2015-03-19,112,3.679369250985545,OK
NF000613,15-106431,2015-07-10,LEGACY,NAME:syndicat departemental d energie,09123000,2015-03-30,102,3.350854139290407,OK
NF001349,15-109742,2015-07-17,LEGACY,NAME:cg49,45233220,2015-05-07,71,2.3324572930354797,OK
NF000535,15-111561,2015-07-20,LEGACY,SIRET:22850001300658,45233292,2015-03-11,131,4.303547963206308,OK
NF000922,15-113035,2015-07-21,LEGACY,NAME:ville d angers,90611000,2015-04-09,103,3.383705650459921,OK
NF000601,15-116205,2015-07-27,LEGACY,NAME:ch le mans,39221110,2015-03-02,147,4.829172141918528,OK
NF002160,15-81771,2015-07-01,LEGACY,NAME:nantes metropole,31682000,2015-04-07,85,2.7923784494086727,OK
NF001086,15-98845,2015-07-02,LEGACY,NAME:commune de saint-barthelemy-d anjou,66510000,2015-04-03,90,2.9566360052562417,OK
NF000677,15-102866,2015-07-06,LEGACY,SIRET:24490092400055,55523100,2015-04-09,88,2.890932982917214,OK
NF000364,15-108076,2015-07-10,LEGACY,NAME:commune de saint-nazaire,44113320,2015-03-31,101,3.3180026281208934,OK
NF000681,15-111215,2015-07-17,LEGACY,SIRET:24440057800013,90500000,2015-04-13,95,3.1208935611038107,OK
NF000612,15-112704,2015-07-21,LEGACY,SIRET:19490970100303,90910000,2015-03-30,113,3.712220762155059,OK
NF001100,15-112871,2015-07-21,LEGACY,NAME:sarthe habitat,90650000,2015-04-15,97,3.1865965834428382,OK
NF003012,15-113717,2015-07-22,LEGACY,NAME:mancelle d habitation,45453100,2015-04-21,92,3.0223390275952693,OK
NF000430,15-112192,2015-07-23,LEGACY,NAME:com communes du pays d ancenis,90500000,2015-03-06,139,4.566360052562418,OK
NF001205,15-119184,2015-07-30,LEGACY,SIRET:21720124300011,55523100,2015-04-28,93,3.055190538764783,OK
NF000782,15-101938,2015-07-03,LEGACY,NAME:ville du mans,45331100,2015-04-15,79,2.59526938239159,OK
NF000128,15-102684,2015-07-06,LEGACY,NAME:sgami ouest,45421000,2015-03-06,122,4.0078843626806835,OK
NF001042,15-102840,2015-07-07,LEGACY,NAME:carene,79311000,2015-04-27,71,2.3324572930354797,OK
NF000018,15-112140,2015-07-20,LEGACY,NAME:universite d angers,60000000,2015-03-23,119,3.9093298291721417,OK
NF000021,15-117218,2015-07-28,LEGACY,NAME:caisse des depots,,2015-03-25,125,4.106438896189225,OK
NF000653,15-105905,2015-07-08,LEGACY,NAME:communaute de communes ouest anjou,,2015-03-09,121,3.9750328515111693,OK
NF000328,15-115548,2015-07-24,LEGACY,NAME:conseil general de la vendee,,2015-03-18,128,4.204993429697766,OK
NF001598,15-115621,2015-07-24,LEGACY,NAME:sdis 49,,2015-05-13,72,2.3653088042049935,OK
NF000429,15-102758,2015-07-06,LEGACY,NAME:gip groupement technocampus,90910000,2015-03-05,123,4.040735873850197,OK
NF002106,15-108933,2015-07-13,LEGACY,NAME:ecole centrale de nantes,30230000,2015-06-01,42,1.3797634691195795,OK
NF001272,15-110505,2015-07-17,LEGACY,SIRET:22850001300658,45233221,2015-04-10,98,3.219448094612352,OK
NF000689,15-108016,2015-07-22,LEGACY,NAME:mancelle d habitation,64200000,2015-04-21,92,3.0223390275952693,OK
NF000835,15-113500,2015-07-22,LEGACY,NAME:oniris,71000000,2015-04-02,111,3.6465177398160313,OK
NF000172,15-113502,2015-07-23,LEGACY,NAME:carene,39830000,2015-03-04,141,4.6320630749014455,OK
NF001280,15-117456,2015-07-28,LEGACY,NAME:office public de l habitat,71317200,2015-04-16,103,3.383705650459921,OK
NF001029,15-102814,2015-07-07,LEGACY,NAME:nantes metropole,,2015-04-08,90,2.9566360052562417,OK
NF000775,15-104400,2015-07-07,LEGACY,NAME:ville des sables d olonne,34144400,2015-04-02,96,3.1537450722733245,OK
NF001121,15-105882,2015-07-09,LEGACY,NAME:commune de parigne l eveque,45210000,2015-04-14,86,2.8252299605781865,OK
NF001108,15-107456,2015-07-10,LEGACY,NAME:conseil general de la vendee,44190000,2015-04-01,100,3.2851511169513796,OK
NF001315,15-111649,2015-07-20,LEGACY,NAME:ville du mans,32342410,2015-04-29,82,2.6938239159001314,OK
NF000937,15-122902,2015-08-06,LEGACY,NAME:ville de bouguenais,64200000,2015-04-17,111,3.6465177398160313,OK
NF001101,15-124499,2015-08-10,LEGACY,NAME:ville d angers,35125300,2015-04-16,116,3.8107752956636003,OK
NF001869,15-127539,2015-08-17,LEGACY,NAME:conseil general de la mayenne,60112000,2015-06-01,77,2.5295663600525624,OK
NF001506,15-130691,2015-08-24,LEGACY,NAME:carene,71240000,2015-05-20,96,3.1537450722733245,OK
NF002085,15-130930,2015-08-25,LEGACY,NAME:chu d angers,33000000,2015-06-01,85,2.7923784494086727,OK
NF002317,15-131491,2015-08-26,LEGACY,SIRET:22850001300658,64121100,2015-06-01,86,2.8252299605781865,OK
NF001018,15-133445,2015-08-31,LEGACY,NAME:conseil general de loire-atlantique,35113400,2015-04-20,133,4.369250985545335,OK
NF001483,15-132809,2015-08-28,LEGACY,NAME:universite d angers,,2015-05-05,115,3.7779237844940865,OK
NF001707,15-121327,2015-08-05,LEGACY,NAME:sdis 85,,2015-05-06,91,2.9894875164257555,OK
NF002266,15-132958,2015-08-28,LEGACY,NAME:cnieg,,2015-06-17,72,2.3653088042049935,OK
NF001350,15-125953,2015-08-13,LEGACY,NAME:conseil general de la mayenne,60112000,2015-05-11,94,3.088042049934297,OK
