identity_level,identity_value,n_raw_names,n_normalized_names,active_years,n_notices,activity_level,earliest_name_raw,latest_name_raw,earliest_name_normalized,latest_name_normalized,example_raw_names,example_normalized_names
SIRET,13000170400589,11,10,9,55,21+,DIR Ouest,DIR O,dir ouest,dir o,DIR INTERDEPARTEMENTALE DES RTE OUEST;DIR INTERDEPARTEMENTALE ROUTES OUEST;DIR O;DIR OUEST;DIR Ouest;DIR Ouest SMT;DIROuest;Direction Interdépartementale des Routes Ouest,dir interdepartementale des rte ouest;dir interdepartementale routes ouest;dir o;dir ouest;dir ouest smt;direction interdepartementale des routes ouest;direction interdepartementale des routes ouest - dir ouest;direction interdepartementale des routes ouest dir ouest
SIRET,17350111500864,10,10,2,27,21+,SDIS 44,CHU de Nantes agissant au nom et pour le compte du GIE IROISE (GROUPEMENT D'INTERET ECONOMIQUE IMAGERIE PAR RESONANCE SUBSTITUTIVE EVOLUTIVE) dans la passation du présent marché,sdis 44,chu de nantes agissant au nom et pour le compte du gie iroise groupement d interet economique imagerie par resonance substitutive evolutive dans la passation du present marche,"CHU D'ANGERS, Etablissement support du Groupement Territorial Hospitalier de Maine-et-Loire;CHU d'ANGERS, Coordonnateur d'un groupement de commandes régional constitué pour les établissements parties des GHT de la région Pays de la Loire, en application des articles L.2113-6 et L.2113-7 du code de la commande publique pour la passation et l'exécution du marché objet du présent avis.;CHU de Nantes agissant au nom et pour le compte du GIE IROISE (GROUPEMENT D'INTERET ECONOMIQUE IMAGERIE PAR RESONANCE SUBSTITUTIVE EVOLUTIVE) dans la passation du présent marché;Cholet Agglomération;Communauté de communes Baugeois Vallée;LE MANS UNIVERSITE;SDIS 44;SDIS44",cholet agglomeration;chu d angers coordonnateur d un groupement de commandes regional constitue pour les etablissements parties des ght de la region pays de la loire en application des articles l 2113-6 et l 2113-7 du code de la commande publique pour la passation et l execution du marche objet du present avis;chu d angers etablissement support du groupement territorial hospitalier de maine-et-loire;chu de nantes agissant au nom et pour le compte du gie iroise groupement d interet economique imagerie par resonance substitutive evolutive dans la passation du present marche;communaute de communes baugeois vallee;le mans universite;sdis 44;sdis44
SIRET,26850242400016,16,9,5,80,21+,CHD VENDEE,CHD VENDEE,chd vendee,chd vendee,"CHD VENDEE;CHD VENDEE
Etablissement support du GHT Vendée;CHD VENDEE - Etablissement support du GHT Vendée;CHD VENDEE / Etablissement support du GHT Vendée;CHD VENDEE Etablissement support du GHT Vendée;CHD VENDEE,
Etablissement support du GHT Vendée
Coordonnateur du Groupement de Commandes;CHD VENDEE, Etablissement support GHT 85;CHD VENDEE, Etablissement support du GHT 85",chd vendee;chd vendee - etablissement support du ght 85 - coordonnateur du groupement de commandes;chd vendee - etablissement support du ght vendee;chd vendee - etablissement support du ght vendee coordonnateur du groupement de commandes;chd vendee etablissement support du ght 85;chd vendee etablissement support du ght vendee;chd vendee etablissement support du ght vendee coordonnateur du groupement de commandes;chd vendee etablissement support du ght85
SIRET,26440013600471,15,9,5,259,21+,CHU de Nantes,CHU NANTES,chu de nantes,chu nantes,44 CHU;CHU DE NANTES;CHU NANTES;CHU Nantes;CHU de  Nantes;CHU de NANTES;CHU de Nantes;CHU de Nantes agissant au nom et pour le compte du GIP LOGISTIQUE ET RESTAURATION HOSPITALIERE,44 chu;centre hospitalier universitaire de nantes;chu de nantes;chu de nantes agissant au nom et pour le compte du gip logistique et restauration hospitaliere;chu de nnates;chu nantes;groupement d interet public gip logistique et restauration hospitaliere represente par le chu de nantes agissant en son nom et pour son compte;groupement d operateurs economiques compose de sextant architecture
SIRET,24440040400129,14,9,5,617,21+,Nantes Métropole,Nantes Métropole,nantes metropole,nantes metropole,"COMMUNE DE NANTES;METROPOLE NANTES METROPOLE;NANTES METROPOLE;NAntes Métropole;Nantes Metropole;Nantes Métropmole;Nantes Métropole;Nantes Métropole
Direction des services de mobilités
Services transports collectifs",commune de nantes;metropole nantes metropole;nantes metropmole;nantes metropole;nantes metropole - cycle de l eau;nantes metropole direction des services de mobilites services transports collectifs;nantes metropoles;ville de nantes
SIRET,21490099500017,10,9,5,98,21+,Ville de Cholet,Ville de Cholet,ville de cholet,ville de cholet,"COMMUNE DE CHOLET;Groupement de Commandes
Ville de Cholet (coordonnateur);Groupement de Commandes Ville de Cholet (coordonnateur) / Centre Communal d'Action Sociale (CCAS) de Cholet / Cholet Agglomération / Centre Intercommunal d'Action Sociale (CIAS) du Choletais / Cholet Sports Loisirs (CSL);Groupement de commandes Ville de Cholet (coordonnateur) / CCAS de Cholet;Groupement de commandes Ville de Cholet / Cholet Agglomération / CIAS du Choletais / CCAS de Cholet

Coordonnateur : Ville de Cholet;VILLE DE CHOLET;VILLE DE CHOLET (coordonnateur) - GROUPEMENT DE COMMANDE;Ville de Cholet",commune de cholet;groupement de commandes ville de cholet cholet agglomeration cias du choletais ccas de cholet coordonnateur ville de cholet;groupement de commandes ville de cholet coordonnateur;groupement de commandes ville de cholet coordonnateur ccas de cholet;groupement de commandes ville de cholet coordonnateur centre communal d action sociale ccas de cholet cholet agglomeration centre intercommunal d action sociale cias du choletais cholet sports loisirs csl;ville de cholet;ville de cholet coordonnateur - groupement de commande;ville de cholet groupement ville de cholet - cholet agglomeration
SIRET,17350111500161,10,9,3,18,6-20,SAEM VENDEE - Vendée Globe,SPL Laval Mayenne Aménagements,saem vendee - vendee globe,spl laval mayenne amenagements,Brest métropole aménagement SPL;La Cité des Congrès de Nantes;Les Sables d'Olonne Plaisance;PODELIHA;SAEM VENDEE - Vendée Globe;SPL Laval Mayenne Aménagements;SPL UniTri;Tribunal Judiciaire de Rennes,brest metropole amenagement spl;la cite des congres de nantes;les sables d olonne plaisance;podeliha;saem vendee - vendee globe;spl laval mayenne amenagements;spl unitri;tribunal judiciaire de rennes
SIRET,12006401900074,10,9,5,17,6-20,SNA/ouest,DSNA DTI,sna ouest,dsna dti,"DGAC DSNA;DGAC DSNA DSR pôle achats;DGAC/DSNA;DGAC/DSNA/DSR/SDFI/DSA/PAMDO;DSNA DTI;Direction Générale de l'Aviation Civile
Service National d'Ingénierie Aéroportuaire;MEDAD_DGAC_SNIA;Ministère chargé des transports-DGAC",dgac dsna;dgac dsna dsr pole achats;dgac dsna dsr sdfi dsa pamdo;direction generale de l aviation civile service national d ingenierie aeroportuaire;dsna dti;medad_dgac_snia;ministere charge des transports-dgac;service national d ingenierie aeroportuaire
SIRET,51516374900010,11,8,4,16,6-20,CPAM Loire Atlantique,CPAM DE LOIRE ATLANTIQUE,cpam loire atlantique,cpam de loire atlantique,"CPAM DE LOIRE ATLANTIQUE;CPAM DE LOIRE ATLANTIQUE, MAYENNE ET VENDEE;CPAM DE LOIRE-ATLANTIQUE;CPAM DE Loire-Atlantique;CPAM Loire Atlantique;Caisse Primaire d'Assurance Maladie (CPAM) de Loire-Atlantique;Caisse Primaire d'Assurance Maladie de Loire-Atlantique (CPAM).;Caisse Primaire d'Assurance maladie de Loire-Atlantique",caisse primaire d assurance maladie;caisse primaire d assurance maladie cpam de loire-atlantique;caisse primaire d assurance maladie de loire-atlantique;caisse primaire d assurance maladie de loire-atlantique cpam;cpam de loire atlantique;cpam de loire atlantique mayenne et vendee;cpam de loire-atlantique;cpam loire atlantique
SIRET,00558011300040,10,8,3,14,6-20,CISN COOPERATIVE,PROMOTION,cisn cooperative,promotion,CISN COOPERATIVE;CISN COOPERATIVE et CISN RESIDENCES LOCATIVES;Cisn coopérative;Groupement CISN;Groupement de commandes entre plusieurs sociétés du groupe CISN dont le coordonnateur est CISN COOPÉRATIVE;PROMOTION;SERVICE DEVELOPPEMENT;SERVICE MARCHES,cisn cooperative;cisn cooperative et cisn residences locatives;groupement cisn;groupement de commandes entre plusieurs societes du groupe cisn dont le coordonnateur est cisn cooperative;promotion;service developpement;service marches;voir rc
SIRET,17750005500013,8,8,3,12,6-20,"Ministère de la Transition Écologique et de la Cohésion des Territoires chargé des Transports
Direction Générale de l'Aviation Civile
Secrétariat Général 
Service National de l'Ingénierie Aéroportuaire (SNIA)",INST NAL RECHERCHES ARCHEOLOGIQUES PRE,ministere de la transition ecologique et de la cohesion des territoires charge des transports direction generale de l aviation civile secretariat general service national de l ingenierie aeroportuaire snia,inst nal recherches archeologiques pre,"CAISSE DES DEPOTS;Caisse des dépôts et consignations;Direction de l'administration pénitentiaire;INRAP;INST NAL RECHERCHES ARCHEOLOGIQUES PRE;Ministère de l'Économie, des Finances et de la Souveraineté Industrielle et Numérique;Ministère de la Transition Écologique et de la Cohésion des Territoires chargé des Transports
Direction Générale de l'Aviation Civile
Secrétariat Général 
Service National de l'Ingénierie Aéroportuaire (SNIA);Tribunal administratif de Paris",caisse des depots;caisse des depots et consignations;direction de l administration penitentiaire;inrap;inst nal recherches archeologiques pre;ministere de l economie des finances et de la souverainete industrielle et numerique;ministere de la transition ecologique et de la cohesion des territoires charge des transports direction generale de l aviation civile secretariat general service national de l ingenierie aeroportuaire snia;tribunal administratif de paris
SIRET,23440003400026,10,7,12,961,21+,Conseil régional des Pays de la Loire,Région des Pays de la Loire,conseil regional des pays de la loire,region des pays de la loire,"Administration publique générale;Conseil Régional des Pays de la Loire;Conseil régional des Pays de la Loire;Groupement d'autorités concédantes : Régions des Pays de la Loire et Normandie
Coordonnateur : Région des Pays de la Loire;REGION DES PAYS DE LA LOIRE;REGION PAY DE LA LOIRE;REGION PAYS DE LA LOIRE;Région Pays de la Loire",administration publique generale;conseil regional des pays de la loire;groupement d autorites concedantes regions des pays de la loire et normandie coordonnateur region des pays de la loire;region des pays de la loire;region pay de la loire;region pays de la loire;tribunal administratif
SIRET,25490130900032,9,7,12,91,21+,S.I. d' énergies de Maine et Loire,Syndicat intercommunal d'énergies de Maine-et-Loire (Siéml),s i d energies de maine et loire,syndicat intercommunal d energies de maine-et-loire sieml,S.I. d' énergies de Maine et Loire;SI ENERGIES DE MAINE ET LOIRE;SIEML - Syndicat Intercommunal d'Energ;Syndicat Intercommunal d'Energies de Maine-et-Loire;Syndicat Intercommunal d'Energies de Maine-et-Loire (Siéml);Syndicat Intercommunal d'Energies de Maine-et-Loire - Siéml;Syndicat Intercommunal d'Énergies de Maine-et-Loire (Siéml);Syndicat Intercommunal d'Énergies-de-Maine-et-Loire (Siéml),s i d energies de maine et loire;si energies de maine et loire;sieml - syndicat intercommunal d energ;syndicat intercommunal d energies de maine-et-loire;syndicat intercommunal d energies de maine-et-loire - sieml;syndicat intercommunal d energies de maine-et-loire sieml;syndicat intercommunal d energies-de-maine-et-loire sieml
SIRET,34500228100045,9,7,4,14,6-20,Nantes Métropole Amenagement,Nantes Métropole Aménagement agissant au nom et pour le compte de Nantes Métropole,nantes metropole amenagement,nantes metropole amenagement agissant au nom et pour le compte de nantes metropole,"NANTES METROPOLE AMENAGEMENT - Mandataire agissant au nom et pour le compte de la NANTES METROPOLE;Nantes Métropole Amenagement;Nantes Métropole Amenagement

Mandataire agissant au nom et pour le compte du Maître d'ouvrage :
NANTES METROPOLE
Adresse : 2 cours du Champ-de-Mars 44923 Nantes Cedex 9;Nantes Métropole Aménagement (Mandataire agissant au nom et pour le compte de la Ville de REZE);Nantes Métropole Aménagement - Mandataire agissant au nom et pour le compte de la NANTES METROPOLE;Nantes Métropole Aménagement agissant au nom et pour le compte de Nantes Métropole;Nantes Métropole Aménagement agissant au nom et pour le compte de Nantes Métropole - 2 cours du Champ-de-Mars 44923 Nantes Cedex 9;Nantes Métropole Aménagement agissant au nom pour le compte de Nantes
Métropole - 2, Cours du Champ-de-Mars 44923 Nantes cedex 9",nantes metropole amenagement;nantes metropole amenagement - mandataire agissant au nom et pour le compte de la nantes metropole;nantes metropole amenagement agissant au nom et pour le compte de nantes metropole;nantes metropole amenagement agissant au nom et pour le compte de nantes metropole - 2 cours du champ-de-mars 44923 nantes cedex 9;nantes metropole amenagement agissant au nom pour le compte de nantes metropole - 2 cours du champ-de-mars 44923 nantes cedex 9;nantes metropole amenagement mandataire agissant au nom et pour le compte de la ville de reze;nantes metropole amenagement mandataire agissant au nom et pour le compte du maitre d ouvrage nantes metropole adresse 2 cours du champ-de-mars 44923 nantes cedex 9
SIRET,17440000200039,8,7,5,18,6-20,préfet de la région Pays de la Loire,préfet de la région Pays de la Loire,prefet de la region pays de la loire,prefet de la region pays de la loire,"PFRA des Pays de la Loire;Pays de la Loire;Plateforme régionale des achats (PFRA) des Pays de la Loire;Prefet de Région Pays de la Loire;Préfet de Loire-Atlantique, Préfet de la Région Pays de la Loire;Préfet de la région Pays de la Loire;Préfet de la région Pays de la Loire, préfet de loire Atlantique;préfet de la région Pays de la Loire",pays de la loire;pfra des pays de la loire;plateforme regionale des achats pfra des pays de la loire;prefet de la region pays de la loire;prefet de la region pays de la loire prefet de loire atlantique;prefet de loire-atlantique prefet de la region pays de la loire;prefet de region pays de la loire
SIRET,88324710800011,7,7,5,27,21+,MASH,Mutualisation des Achats au Service de l'Habitat -Grand Ouest (MASH-GO),mash,mutualisation des achats au service de l habitat -grand ouest mash-go,MASH;MASH (Mutualisation d'Achat au Service de l'Habitat);Mutualisation des Achats au Service de l'Habitat (MASH);Mutualisation des Achats au Service de l'Habitat - Grand Ouest(MASH-GO);Mutualisation des Achats au Service de l'Habitat -Grand Ouest (MASH-GO);Mutualisation des Achats au Service de l'Habitat du Grand Ouest (MASH - GO);Mutualisation des Achats au Service de l'Habitat du Grand Ouest (MASH-GO),mash;mash mutualisation d achat au service de l habitat;mutualisation des achats au service de l habitat - grand ouest mash-go;mutualisation des achats au service de l habitat -grand ouest mash-go;mutualisation des achats au service de l habitat du grand ouest mash - go;mutualisation des achats au service de l habitat du grand ouest mash-go;mutualisation des achats au service de l habitat mash
SIRET,25440253000011,7,7,3,8,6-20,SYND MIXTE ETUDE DVLPT SCES RESEAUX CO,Commande publique,synd mixte etude dvlpt sces reseaux co,commande publique,"Commande publique;Direction Cybersécurité, Cloud et IA;Giglais;Groupement d'intérêt public - GIP Gigalis;Groupement d'intérêt public GIGALIS;SYND MIXTE ETUDE DVLPT SCES RESEAUX CO;Service Informatique",commande publique;direction cybersecurite cloud et ia;giglais;groupement d interet public - gip gigalis;groupement d interet public gigalis;service informatique;synd mixte etude dvlpt sces reseaux co
SIRET,12001201800111,8,6,3,16,6-20,Direction de l'administration pénitentiaire,DGAP,direction de l administration penitentiaire,dgap,DAP...;DGAP;DGAP..;DIRECTION ADMINISTRATION PENITENTIAIRE;Direction de l'Administration Pénitentaire;Direction de l'Administration Pénitentiaire;Direction de l'administration pénitentiaire;Ministère de la Justice,dap;dgap;direction administration penitentiaire;direction de l administration penitentaire;direction de l administration penitentiaire;ministere de la justice
SIRET,20000043800099,7,6,4,20,6-20,Cté Cne PontChâteau-St Gildas des Bois,Communauté de communes du Pays de Pont-Château - St Gildas des Bois,cte cne pontchateau-st gildas des bois,communaute de communes du pays de pont-chateau - st gildas des bois,"CDC DU PAYS DE PONTCHATEAU ST GILDOIS DES BOIS;COMMUNAUTE DE COMMUNES DU PAYS DE PONTCHATEAU ST
GILDAS DES BOIS;COMMUNAUTE DE COMMUNES DU PAYS DE PONTCHATEAU ST GILDAS DES BOIS;COMMUNAUTÉ DE COMMUNES DU PAYS DE PONT-CHÂTEAU - SAINT-GILDAS-DES-BOIS;Communauté de Communes du Pays de Pont-Château - Saint Gildas des Bois;Communauté de communes du Pays de Pont-Château - St Gildas des Bois;Cté Cne PontChâteau-St Gildas des Bois",cdc du pays de pontchateau st gildois des bois;communaute de communes du pays de pont-chateau - saint gildas des bois;communaute de communes du pays de pont-chateau - saint-gildas-des-bois;communaute de communes du pays de pont-chateau - st gildas des bois;communaute de communes du pays de pontchateau st gildas des bois;cte cne pontchateau-st gildas des bois
SIRET,20007023300016,7,5,5,36,21+,Terres de Montaigu Cté d'agglomération,"Terres de Montaigu, Communauté d'Agglomération",terres de montaigu cte d agglomeration,terres de montaigu communaute d agglomeration,"Communauté d'agglomération et de la commune de Montaigu-Vendée;Terres de Montaigu - Communauté d'agglomération;Terres de Montaigu Cté d'agglomération;Terres de Montaigu, Communauté d'Agglomération;Terres de Montaigu, Communauté d'Agglomération (85);Terres de Montaigu, Communauté d'agglomération;Terres de Montaigu, communauté d'agglomération",communaute d agglomeration et de la commune de montaigu-vendee;terres de montaigu - communaute d agglomeration;terres de montaigu communaute d agglomeration;terres de montaigu communaute d agglomeration 85;terres de montaigu cte d agglomeration
SIRET,21440162200011,6,5,6,139,21+,Commune de Saint-Herblain,Mairie de St  Herblain,commune de saint-herblain,mairie de st herblain,Commune de Saint-Herblain;Mairie de Saint-Herblain;Mairie de Saint-Herblain (coordonnateur du groupement);Mairie de St  Herblain;Mairie de St Herblain;Mairie de St-Herblain,commune de saint-herblain;mairie de saint-herblain;mairie de saint-herblain coordonnateur du groupement;mairie de st herblain;mairie de st-herblain
SIRET,21440154900016,6,5,6,44,21+,Ville de Saint Brévin les Pins,Commune de SAINT-BREVIN-LES-PINS,ville de saint brevin les pins,commune de saint-brevin-les-pins,Commune de SAINT BREVIN LES PINS;Commune de SAINT-BREVIN-LES-PINS;Mairie de Saint-Brévin-les-Pins;VILLE DE SAINT BREVIN LES PINS;Ville DE SAINT BREVIN;Ville de Saint Brévin les Pins,commune de saint brevin les pins;commune de saint-brevin-les-pins;mairie de saint-brevin-les-pins;ville de saint brevin;ville de saint brevin les pins
SIRET,54665016900057,6,5,5,29,21+,Vendée Expansion,Vendée Expansion - SEM,vendee expansion,vendee expansion - sem,AGENCE DE SERVICES AUX COLLECTIVITES;GIE des EPL de Vendée;VENDEE EXPANSION - SEM;Vendée Expansion;Vendée Expansion - SEM;Vendée Expansion-SEM,agence de services aux collectivites;gie des epl de vendee;vendee expansion;vendee expansion - sem;vendee expansion-sem
SIRET,00638015800045,6,5,4,12,6-20,ESPA DOMICILE SA HABITAT LOYER MODERE,Groupe CISN,espa domicile sa habitat loyer modere,groupe cisn,CISN RESIDENCES LOCATIVES;CISN Résidences locatives;ESPA DOMICILE SA HABITAT LOYER MODERE;Groupe CISN;Responsable Assurance amp; Contrats d'exploitation;Service patrimoine,cisn residences locatives;espa domicile sa habitat loyer modere;groupe cisn;responsable assurance amp contrats d exploitation;service patrimoine
SIRET,21490007800012,5,5,5,113,21+,Ville d'Angers,Ville d'Angers (49),ville d angers,ville d angers 49,Angers Loire Metropole (49);Commune d'Angers;Ville d'Angers;Ville d'Angers (49);Ville d'Angers Loire Metropole (49),angers loire metropole 49;commune d angers;ville d angers;ville d angers 49;ville d angers loire metropole 49
SIRET,85580046200027,5,5,9,49,21+,CIF COOPERATIVE,COLLABORATRICE JURIDIQUE,cif cooperative,collaboratrice juridique,CIF COOPERATIVE;COLLABORATRICE JURIDIQUE;Groupe CIF;SERVICE DEVELOPPEMENT;SERVICE JURIDIQUE,cif cooperative;collaboratrice juridique;groupe cif;service developpement;service juridique
SIRET,21440043400012,5,5,9,36,21+,Clisson,Ville de CLISSON,clisson,ville de clisson,"Clisson;Entretiens des espaces verts;Mairie de Clisson;Ville de CLISSON;Ville de Clisson 
3 Grande rue de la trinité 
44190 CLISSON",clisson;entretiens des espaces verts;mairie de clisson;ville de clisson;ville de clisson 3 grande rue de la trinite 44190 clisson
