validation_case_id,review_stratum,layer,variant,composite_score,s_text,s_cpv,s_time,s_buyer,confidence_tier,top1_top2_margin,buyer_match_mechanism,word_tfidf_cosine,same_cpv_division,gap_months,candidate_rank,n_candidates_for_source
WP11-0062,split_or_merge_candidates,boamp_only,,0.2929585988727217,,,,,,0.0440596648838927,,,,,1.0,5.0
WP11-0063,split_or_merge_candidates,boamp_only,,0.2488989339888289,,,,,,0.0440596648838927,,,,,2.0,5.0
WP11-0064,split_or_merge_candidates,boamp_only,,0.2235851613342437,,,,,,0.0440596648838927,,,,,3.0,5.0
WP11-0065,sources_with_no_candidates,"boamp_only (eligible source, zero candidates generated)",,,,,,,,,,,,,,
WP11-0066,sources_with_no_candidates,"boamp_only (eligible source, zero candidates generated)",,,,,,,,,,,,,,
WP11-0067,sources_with_no_candidates,"boamp_only (eligible source, zero candidates generated)",,,,,,,,,,,,,,
WP11-0068,sources_with_no_candidates,"boamp_only (eligible source, zero candidates generated)",,,,,,,,,,,,,,
WP11-0069,sources_with_no_candidates,"boamp_only (eligible source, zero candidates generated)",,,,,,,,,,,,,,
WP11-0070,sources_with_no_candidates,"boamp_only (eligible source, zero candidates generated)",,,,,,,,,,,,,,
WP11-0071,sources_with_no_candidates,"boamp_only (eligible source, zero candidates generated)",,,,,,,,,,,,,,
WP11-0072,sources_with_no_candidates,"boamp_only (eligible source, zero candidates generated)",,,,,,,,,,,,,,
WP11-0073,very_active_buyers,boamp_only,,0.2245396053382783,,,,,,,,,,,,1.0
WP11-0074,very_active_buyers,boamp_only,,0.3135079203862653,,,,,,,,,,,,1.0
WP11-0075,very_active_buyers,boamp_only,,0.2098597270085074,,,,,,,,,,,,6.0
WP11-0076,very_active_buyers,boamp_only,,0.5245888399231603,,,,,,,,,,,,3.0
WP11-0077,very_active_buyers,boamp_only,,0.338992926400309,,,,,,,,,,,,10.0
WP11-0078,very_active_buyers,boamp_only,,0.3174283209459987,,,,,,,,,,,,3.0
WP11-0079,very_active_buyers,boamp_only,,0.3784173876421575,,,,,,,,,,,,2.0
WP11-0080,very_active_buyers,boamp_only,,0.2991106333458483,,,,,,,,,,,,9.0
