buyer_name_normalized,n_notices,n_sirets,n_sirens,n_departments,n_buyer_keys,n_active_years,first_year,last_year,activity_level,example_sirets,example_sirens,example_departments,example_buyer_keys,is_generic_name,same_siren_different_sirets,different_sirens,department_consistent_mapping,department_conflicting_mapping,ambiguity_class
podeliha,135,7,6,5,8,6,2021,2026,21+,05720113900029;05720113900045;05820059300026;17350005900014;17350111500161;33960966101244;41239723400177,057201139;058200593;173500059;173501115;339609661;412397234,44;49;53;72;85,NAME:podeliha;SIRET:05720113900029;SIRET:05720113900045;SIRET:05820059300026;SIRET:17350005900014;SIRET:17350111500161;SIRET:33960966101244;SIRET:41239723400177,False,False,True,False,True,different_sirens
angers loire metropole 49,256,7,4,1,8,3,2024,2026,21+,21130042100016;21490007800012;24490001500011;24490001500029;24490001500045;24490001500078;72206048000042,211300421;214900078;244900015;722060480,49,NAME:angers loire metropole 49;SIRET:21130042100016;SIRET:21490007800012;SIRET:24490001500011;SIRET:24490001500029;SIRET:24490001500045;SIRET:24490001500078;SIRET:72206048000042,False,False,True,True,False,different_sirens
redon agglomeration,61,7,2,1,8,4,2023,2026,21+,17350005900014;24350074100224;24350074100232;24350074100240;24350074100257;24350074100265;24350074100273,173500059;243500741,35,NAME:redon agglomeration;SIRET:17350005900014;SIRET:24350074100224;SIRET:24350074100232;SIRET:24350074100240;SIRET:24350074100257;SIRET:24350074100265;SIRET:24350074100273,False,False,True,True,False,different_sirens
departement de maine-et-loire,1031,6,6,1,7,11,2016,2026,21+,17440005100010;22490001900015;39145592000044;44356638500011;53131878000016;57172266900264,174400051;224900019;391455920;443566385;531318780;571722669,49,NAME:departement de maine-et-loire;SIRET:17440005100010;SIRET:22490001900015;SIRET:39145592000044;SIRET:44356638500011;SIRET:53131878000016;SIRET:57172266900264,True,False,True,True,False,different_sirens
mairie de saint-herblain,95,6,6,1,7,3,2024,2026,21+,17440005100010;21440162200011;50810215900029;80204413100042;86380037100123;86880034300063,174400051;214401622;508102159;802044131;863800371;868800343,44,NAME:mairie de saint-herblain;SIRET:17440005100010;SIRET:21440162200011;SIRET:50810215900029;SIRET:80204413100042;SIRET:86380037100123;SIRET:86880034300063,True,False,True,True,False,different_sirens
ars pays de la loire,71,6,6,1,7,12,2015,2026,21+,13000600800061;13000800300061;13000800600061;17440005100010;47806779600084;83508302300027,130006008;130008003;130008006;174400051;478067796;835083023,44,NAME:ars pays de la loire;SIRET:13000600800061;SIRET:13000800300061;SIRET:13000800600061;SIRET:17440005100010;SIRET:47806779600084;SIRET:83508302300027,False,False,True,True,False,different_sirens
ministere des affaires etrangeres,79,6,5,2,7,9,2015,2023,21+,11000601200014;12000601000041;12000601000058;12000604400016;12000605100060;75108163900021,110006012;120006010;120006044;120006051;751081639,44;75,NAME:ministere des affaires etrangeres;SIRET:11000601200014;SIRET:12000601000041;SIRET:12000601000058;SIRET:12000604400016;SIRET:12000605100060;SIRET:75108163900021,False,False,True,False,True,different_sirens
cte de communes d erdre et gesvres,138,6,2,1,7,12,2015,2026,21+,17440005100010;24440050300110;24440050300201;24440050300243;24440050300250;24440050300292,174400051;244400503,44,NAME:cte de communes d erdre et gesvres;SIRET:17440005100010;SIRET:24440050300110;SIRET:24440050300201;SIRET:24440050300243;SIRET:24440050300250;SIRET:24440050300292,True,False,True,True,False,different_sirens
angers loire metropole,1083,6,1,1,7,10,2015,2024,21+,24490001500011;24490001500029;24490001500045;24490001500060;24490001500078;24490001500094,244900015,49,NAME:angers loire metropole;SIRET:24490001500011;SIRET:24490001500029;SIRET:24490001500045;SIRET:24490001500060;SIRET:24490001500078;SIRET:24490001500094,False,True,False,True,False,same_siren_different_sirets
chd vendee,549,5,5,3,6,11,2016,2026,21+,17440005100010;26850242400016;50937719800023;52859061500035;89323595200023,174400051;268502424;509377198;528590615;893235952,17;44;85,NAME:chd vendee;SIRET:17440005100010;SIRET:26850242400016;SIRET:50937719800023;SIRET:52859061500035;SIRET:89323595200023,False,False,True,False,True,different_sirens
region bretagne,62,5,5,3,6,12,2015,2026,21+,17350005900014;23350001600040;32028144700039;39065944900016;41247152600050,173500059;233500016;320281447;390659449;412471526,22;35;56,NAME:region bretagne;SIRET:17350005900014;SIRET:23350001600040;SIRET:32028144700039;SIRET:39065944900016;SIRET:41247152600050,False,False,True,False,True,different_sirens
ville de saumur,286,5,5,1,6,10,2015,2024,21+,17440005100010;21490328800014;50165250700010;51531513300022;84979283300030,174400051;214903288;501652507;515315133;849792833,49,NAME:ville de saumur;SIRET:17440005100010;SIRET:21490328800014;SIRET:50165250700010;SIRET:51531513300022;SIRET:84979283300030,True,False,True,True,False,different_sirens
saeml vendee energie,49,5,5,1,6,10,2016,2026,21+,75256187800014;79096913300012;83117829800012;88065262300013;90169097400018,752561878;790969133;831178298;880652623;901690974,85,NAME:saeml vendee energie;SIRET:75256187800014;SIRET:79096913300012;SIRET:83117829800012;SIRET:88065262300013;SIRET:90169097400018,False,False,True,True,False,different_sirens
chu de nantes,1404,5,4,1,6,12,2015,2026,21+,17440005100010;26440013600018;26440013600471;48076109700017;91131892100010,174400051;264400136;480761097;911318921,44,NAME:chu de nantes;SIRET:17440005100010;SIRET:26440013600018;SIRET:26440013600471;SIRET:48076109700017;SIRET:91131892100010,False,False,True,True,False,different_sirens
cci nantes saint-nazaire,110,5,3,2,6,12,2015,2026,21+,13000810500012;13000810500178;13000810500186;42417546100021;80841707500013,130008105;424175461;808417075,44;85,NAME:cci nantes saint-nazaire;SIRET:13000810500012;SIRET:13000810500178;SIRET:13000810500186;SIRET:42417546100021;SIRET:80841707500013,False,False,True,False,True,different_sirens
ca saumur val de loire,264,5,3,1,6,9,2017,2025,21+,17440005100010;20007187600011;20007187600052;20007187600086;92084215000012,174400051;200071876;920842150,49,NAME:ca saumur val de loire;SIRET:17440005100010;SIRET:20007187600011;SIRET:20007187600052;SIRET:20007187600086;SIRET:92084215000012,False,False,True,True,False,different_sirens
spl laval mayenne amenagements,51,5,3,1,6,8,2018,2026,21+,17350111500161;17440005100010;79924570900016;79924570900024;79924570900032,173501115;174400051;799245709,53,NAME:spl laval mayenne amenagements;SIRET:17350111500161;SIRET:17440005100010;SIRET:79924570900016;SIRET:79924570900024;SIRET:79924570900032,False,False,True,True,False,different_sirens
cte de cnes du pays d ancenis,453,5,1,1,6,10,2017,2026,21+,24440055200026;24440055200034;24440055200042;24440055200067;24440055200091,244400552,44,NAME:cte de cnes du pays d ancenis;SIRET:24440055200026;SIRET:24440055200034;SIRET:24440055200042;SIRET:24440055200067;SIRET:24440055200091,False,True,False,True,False,same_siren_different_sirets
gie sesam-vitale,10,5,5,1,5,3,2024,2026,21+,17440005100010;32021714401229;38012986646850;39172288100052;43181558800014,174400051;320217144;380129866;391722881;431815588,72,SIRET:17440005100010;SIRET:32021714401229;SIRET:38012986646850;SIRET:39172288100052;SIRET:43181558800014,False,False,True,True,False,different_sirens
ministere de la justice,31,4,4,10,5,11,2015,2026,21+,11000201100044;11001001400014;12001201800111;13000509300112,110002011;110010014;120012018;130005093,17;2;28;37;41;44;49;72,NAME:ministere de la justice;SIRET:11000201100044;SIRET:11001001400014;SIRET:12001201800111;SIRET:13000509300112,False,False,True,False,True,different_sirens
