notice_id,buyer_key,cpv_clean,text_duplicate_group_id,group_size,n_unique_buyers_in_group,n_unique_cpv_in_group,objet_snippet
15-37956,NAME:c h s de la sarthe,71315200,139,2,1,1,missions d'audit technique pour les installations liées aux personnes à mobilité
15-42337,NAME:conseil general de la sarthe,,161,4,2,1,fourniture et livraison de fournitures de conservation pour les besoins des arch
15-42416,NAME:caf de la loire atlantique,,162,2,1,0,maintenance du matériel de mise sous plis de la caf de loire-atlantique
15-29829,NAME:carene,39830000,178,2,1,1,fourniture de produits et de materiels d'entretien des locaux à saint-nazaire
15-32234,NAME:ville de sable sur sarthe,79620000,181,2,1,1,mise à disposition du personnel par des sociétés de travail intérimaire pour le 
15-30979,NAME:ch le mans,71200000,182,2,1,1,mission de maîtrise d'oeuvre pour la construction d'un bâtiment hébergeant diver
15-31483,NAME:ville de nantes,37535200,183,2,1,1,"fournitures comportant 4 lots, relatif au remplacement des jeux de cours pour la"
15-42115,NAME:commune de saint-nazaire,71000000,191,3,1,1,maîtrise d'oeuvre et études programmatiques sur l'évolution des équipements spor
15-31636,NAME:ville de saumur,,198,2,1,0,renouvellement de réseau et modification des sous-stations bâtiment g et ïle des
15-45121,NAME:ville du mans,79212000,202,2,1,1,assistance au contrôle de l'exécution de la concession du stade mmarena au profi
15-45439,NAME:ville du mans,45311200,203,2,1,1,travaux de remplacement des éclairages de sécurité et de la source centrale du p
15-45802,NAME:chu de nantes,33000000,228,2,1,1,fourniture d'objet de pansements pour le chu à nantes
15-33892,NAME:universite de nantes,45261420,237,2,1,1,travaux de réfection d'étanchéité à l'espe launay violette à nantes
15-38424,NAME:commune de saint-jean-de-monts,92000000,242,2,1,1,délégation de service public pour la gestion de l'office de tourisme et l'exploi
15-42370,NAME:caf de la loire atlantique,,253,4,1,0,papier éco-responsable pour l'imprimerie intégrée de la caf de loire-atlantique
15-42946,NAME:universite d angers,,255,2,1,0,location et installation d'équipements pour la transformation ponctuelle de deux
15-43535,NAME:cte de cnes ocean-marais de monts,,256,2,1,0,entretien de voiries intercommunales à saint-jean-de-monts cedex
15-41022,NAME:ville de saumur,,258,2,1,0,fioul domestique
15-46387,NAME:le mans metropole - communaute urbaine,,260,2,1,0,refonte de l'intranet de le mans métropole sous typo3
15-48873,NAME:mairie des sables d olonne,,264,2,1,0,fourniture de chrysanthèmes
15-31608,NAME:ch le mans,33141700,276,2,1,1,"fournitures de grands et petits appareillages orthopédiques, orthèses, attelles "
15-33067,NAME:chu d angers,50324100,277,2,1,1,fourniture de prestations de maintenance pour des équipements d'endoscopie soupl
15-34848,NAME:chu de nantes,33696500,281,2,1,1,"fourniture de réactifs, produits chimiques et consommables au profit du chu à na"
15-35225,NAME:conseil regional des pays de la loire,79111000,282,2,1,1,prestations de conseils juridiques pour le compte du conseil régional à nantes
15-36823,NAME:syndicat departemental d energie,71631400,285,2,1,1,prestation de contrôle technique des ouvrages neufs des réseaux publics d'électr
15-39865,NAME:vendee expansion,79341400,287,2,1,1,réalisation d'une campagne publicitaire durant l'année 2015 pour le compte de ve
15-41938,NAME:angers loire metropole,33711900,290,2,1,1,acquisition de produits d'entretien pour la ville à angers
15-42867,NAME:vallet,55521200,291,2,1,1,fourniture de repas en liaison froide pour le restaurant scolaire de vallet
15-43089,NAME:communaute de communes de pornic,90500000,292,2,1,1,renouvellement du marché d'exploitation de la station de traitement des lixiviat
15-43522,NAME:siaep de la foret de mervent,45300000,294,3,1,2,travaux de modification substantielle du barrage à mervent
15-46295,SIRET:24530038900039,79311100,295,2,1,1,élaboration du schéma de cohérence territoriale (scot) de la communauté de commu
15-46388,SIRET:28720026500018,09132000,296,2,1,1,"fourniture de poly carburants pour le sdis72, à coulaines"
15-44156,NAME:nantes metropole,,304,2,1,0,"création d'une double bâche, station de relèvement du gain à indre, pour le comp"
15-45936,NAME:ugecam bretagne - pays de la loire,45310000,305,2,1,1,travaux de mise en sécurité électrique du centre ssr le chillon au louroux becon
15-45999,NAME:commune de saint-nazaire,45233140,310,2,1,1,requalification des cours maternelle et élémentaire du groupe scolaire ernest re
15-32727,NAME:crous de nantes,39220000,324,2,1,1,"fourniture et livraison de petit matériel de restauration, à nantes"
15-41342,NAME:conseil general de la vendee,,342,2,1,0,atelier de redynamisation pour des personnes bénéficiaires du rsa socle ou major
15-46576,NAME:cesame - ch de sainte gemmes sur loire,,346,2,1,0,aménagement zone de stockage de la pharmacie du centre de santé mentale angevin 
15-47124,NAME:sdis de la sarthe,,347,2,1,0,fourniture et maintenance de 4 photocopieurs connectes (et prestations complémen
15-33470,NAME:conseil regional des pays de la loire,44810000,360,2,1,1,déclinaison de l'identité visuelle régionale sur le matériel roulant pour le com
15-33752,NAME:conseil regional des pays de la loire,72310000,362,2,1,2,"gestion des communautés web, à nantes"
15-35480,SIRET:78625737800020,90919200,365,2,1,1,"nettoyage des bureaux et vitres de la cpam de la mayenne, à laval"
15-36440,SIRET:22720002900014,71300000,367,2,1,1,missions complémentaires liées à l'opération de la reconstruction du collège mau
15-35525,NAME:nantes habitat,71200000,369,3,2,1,mission de maîtrise d'oeuvre pour la requalification de 41 logements collectifs 
15-41865,NAME:nantes habitat,71200000,369,3,2,1,mission de maîtrise d'oeuvre pour la requalification de 41 logements collectifs 
15-43986,SIRET:24720013200014,71241000,372,2,1,1,identification et évaluation des capacités de densification et de mutation des e
15-44999,SIRET:22850001300658,39294100,373,2,1,1,fourniture d'articles répondant aux besoins des associations et des manifestatio
15-44795,NAME:mairie,15894210,374,2,1,1,fabrication et fourniture de repas restaurants scolaires à vieillevigne
15-47470,SIRET:23440003400026,79420000,377,2,1,1,"prestations administratives, financières et techniques pour la gestion et le ver"
15-45861,NAME:commune de saint-nazaire,44113320,378,2,1,1,15s0005- aménagement du front de mer à saint-nazaire
15-42360,NAME:conseil regional des pays de la loire,79310000,379,2,1,1,"élaboration d'études flash en matière d'intelligence économique, au profit du co"
15-45507,NAME:cg49,45214200,385,2,1,1,travaux de restructuration partielle de la demi-pension du collège georges giron
15-45169,NAME:vendee eau,72315100,387,2,1,1,evolution de l'infrastructure informatique - services d'infogérance si au profit
15-47496,NAME:cte d agglo saumur loire developpement,,388,2,1,0,"travaux de remplacement des équipements de traitement d'eau, de menuiserie, de m"
15-33851,NAME:nantes metropole,44613800,394,4,1,1,acquisition de colonnes d'apport volontaire à déchets et de pièces détachées pou
15-31199,NAME:communaute de communes de grand lieu,45233140,406,2,1,1,travaux neufs et d'entretien de la voirie et d'assainissement pour la communauté
15-34678,NAME:le mans metropole - communaute urbaine,45261420,407,2,1,1,"réfection de l'étanchéité de la toiture terrasse, école maternelle georges-braqu"
15-38223,NAME:cg49,45233120,411,2,1,1,travaux d'aménagement d'un giratoire à corze
15-40763,NAME:angers loire metropole,,414,2,1,0,surveillance du réseau d'eau potable - sectorisation du réseau de distribution -
15-33825,NAME:cg49,,421,2,1,0,acquisition de matériels
15-38021,NAME:ville d allonnes,,426,2,1,0,assistance à maitrise d'ouvrage pour l'extension du cimetière situé rue d'argent
15-40945,NAME:crous de nantes,,430,2,1,0,"fourniture, livraison et installation de fours mico ondes et de matelas pour deu"
15-32474,NAME:gie sesam vitale,90511100,444,2,1,1,'identification et destruction des cartes vitale®' pour les besoins de gie sesam
15-33210,NAME:cg49,30197630,445,2,1,1,fourniture de papier blanc et couleur pour reprographie et imprimantes pour les 
15-31631,NAME:com communes du pays d ancenis,90500000,447,2,1,1,"prestations de transfert, transport et valorisation énergétique des ordures ména"
15-42049,NAME:cte de cnes du castelbriantais,22113000,455,2,1,1,"fourniture de livres, bandes dessinées, dvd, cd et revues à châteaubriant"
15-44974,NAME:c h s de la sarthe,03221200,456,2,1,1,fourniture de fruits et légumes frais au profit du chs à allonnes
15-48889,NAME:angers loire metropole,65300000,459,2,1,1,fourniture et acheminement d'énergie électrique soutirée du réseau de distributi
15-42334,NAME:ville de laval,,460,2,1,0,fourniture et livraison de divers matériels de signalisation routière pour les b
15-40239,NAME:nantes metropole,,463,2,1,0,remplacement de l'ouvrage - site de l'aubinière - rue d'helvétie - rue du mottay
15-43159,NAME:habitat 44,71000000,464,2,1,1,maîtrise d'oeuvre des travaux de construction de 14 logements individuels et int
15-40766,NAME:angers loire metropole,,414,2,1,0,surveillance du réseau d'eau potable - sectorisation du réseau de distribution -
15-34156,NAME:cesame - ch de sainte gemmes sur loire,,529,2,1,0,maintenance des équipements téléphoniques du cesame à sainte gemmes sur loire
15-34716,NAME:ch le mans,,530,2,1,0,prestation de formations au raisonnement cliniques
15-36378,NAME:ville du mans,,532,3,1,0,remplacement des menuiseries bois par des menuiseries aluminium et fourniture et
15-37818,NAME:sdis 85,,534,3,1,0,maintenance annuelle et réparation des détecteurs de gaz du sdis de la vendée
15-45884,NAME:com communes du pays d ancenis,,546,2,1,0,mission de conseil et d'étude actions pour l'évaluation et la redéfinition du pr
15-33241,NAME:chu de nantes,32510000,550,2,1,1,acquisition et maintenance d'un système d'appel malade pour la maison de pirmil 
15-30905,NAME:nantes metropole,34928400,551,2,1,1,mise à disposition de mobilier urbain sur le territoire de nantes métropole
15-34552,SIRET:22720002900014,34100000,552,2,1,1,fourniture de véhicules utilitaires et de matériels d'entretien routier pour les
15-36664,SIRET:22850001300658,45233292,555,2,1,1,fourniture et pose de dispositifs de retenue pour le réseau routier départementa
15-35302,NAME:conseil general de la mayenne,90500000,556,2,1,1,prestations de transport et de broyage de pneus agricoles usagés pour le compte 
15-43149,NAME:sdis 85,32522000,560,2,1,1,fourniture et mise en oeuvre des nouveaux équipements et logiciels au cta/codis 
15-44821,NAME:chu de nantes,33122000,563,3,1,1,fourniture de dispositifs médicaux pour l'ophtalmologiee au profit du chu à nant
15-47570,NAME:synd mixte hebergement gens du voyage,79420000,564,2,1,1,gestion et médiation des aires d'accueil des gens du voyage et des terrains fami
15-48406,NAME:semitan mandataire de la cun,50113200,567,2,1,1,programme de prolongation de vie de 59 autobus standards heuliez type gx317d et 
15-43844,NAME:chu de nantes,33000000,582,2,1,1,fourniture de dispositifs médicaux pour endoscopie pour le chu de nantes
15-35231,NAME:conseil general de la vendee,45233128,590,2,1,1,"aménagement du carrefour giratoire de la malbrande, rd 949, sur la commune talmo"
15-38494,NAME:prefecture de la vendee,45000000,600,2,1,1,travaux de création d'un local 'pâtisseries' et de mise aux normes du local 'pou
15-40958,NAME:cesame - ch de sainte gemmes sur loire,,610,2,1,0,rénovation de salles de bain de chambres pôle 1 à ste gemmes sur loire
15-42326,NAME:caf de la loire atlantique,,612,2,1,0,fournitures diverses pour l'imprimerie intégrée
15-44644,NAME:conseil regional des pays de la loire,,613,2,1,0,elaboration du plan pluriannuel d'évaluation des programmes européens 2014-2020 
15-46006,NAME:cte de cnes ocean-marais de monts,,615,2,1,0,travaux de voirie pour la suppression d'un passage à niveau à soullans
15-49368,NAME:sdis 85,,616,2,1,0,"renouvellement des licences checkpoint, juniper et bluecoat pour le sdis de la v"
15-31247,NAME:ch le mans,39221110,625,2,1,1,"produits et fournitures pour le service de restauration, au mans"
15-35893,NAME:nantes metropole,44110000,627,2,1,1,fourniture de matériaux de construction dans le cadre d'un groupement de command
15-39908,NAME:conseil general de loire-atlantique,71316000,628,2,1,1,réalisation d'une mission d'assistance à maîtrise d'ouvrage dans le cadre de la 
15-39314,NAME:commune de saint-nazaire,71000000,191,3,1,1,maîtrise d'oeuvre et études programmatiques sur l'évolution des équipements spor
15-39603,NAME:syndicat departemental d energie,34993000,629,2,1,1,rénovation et optimisation du matériel d'éclairage public sur le territoire de l
15-42214,NAME:commune de le pellerin,44211100,630,2,1,1,fourniture et pose d'une construction en modulaire et aménagements connexes à le
15-43542,NAME:ch le mans,71356100,631,2,1,1,mission de bureau de contrôle et de coordination sps pour la construction d'un b
15-47321,SIRET:19490970100303,90910000,635,2,1,1,prestations de nettoyage des locaux et de vitrerie dans des conditions respectue
15-46614,NAME:syndicat departemental d energie,09123000,636,2,1,1,acheminement et fourniture de gaz naturel pour les points de livraison des membr
15-40837,NAME:ville de cholet,,640,2,1,0,acquisition de matériels d'entretien des parcs et jardins à cholet
15-43426,NAME:conseil regional des pays de la loire,79311000,642,2,1,1,appareil de formation régional 'travail social': diagnostic et dimensionnement p
15-47831,NAME:nantes metropole,,647,2,1,0,réhabilitation d'assainissement d'eaux usées à vertou
15-49045,NAME:ville de carquefou,71221000,648,2,1,1,"maîtrise d'oeuvre pour rénovation aile nord et orangerie - les renaudières, à ca"
15-33136,NAME:chu de nantes,33000000,582,2,1,1,fourniture de dispositifs médicaux pour endoscopie pour le chu de nantes
15-31866,NAME:cte de cnes du pays fontenay le comte,,663,2,1,0,renouvellement des marquages horizontaux sur le territoire de la communauté de c
15-32576,NAME:commune d olonne sur mer,45112711,670,2,1,1,"aménagement du parc de la jarrie, à olonne-sur-mer"
15-36003,NAME:conseil regional des pays de la loire,44211100,672,3,1,2,mise en place de bâtiments démontables au lycée camille claudel à blain
15-31421,NAME:ville de la roche-sur-yon,,677,2,1,0,"conception, fourniture et production du spectacle pyrotechnique du 14 juillet 20"
15-35011,NAME:communaute de communes ouest anjou,,679,2,1,0,marché de maîtrise d'oeuvre - etude pour établissement du programme d'entretien 
15-29815,NAME:ville de saumur,,684,2,1,0,mairie de st lambert des levees - menuiseries exterieures bois - ce marché fait 
15-31716,NAME:ville de saumur,,692,2,1,0,travaux de couverture sur bâtiment 'rue des carabiniers de monsieur' à saumur
15-31510,NAME:le mans metropole - communaute urbaine,45210000,697,4,1,2,création d'un bâtiment de 2328m2 sur le site de l'usine de production de l'eau d
15-51707,NAME:ministere de la justice,30131200,703,2,1,1,maintenance des machines de mise sous plis pour l'envoi des bulletins du casier 
15-53174,NAME:conseil general de loire-atlantique,45220000,705,2,1,1,rd 117 - liaison clisson / a 83 - construction des passages superieurs du houx e
15-55040,SIRET:24440057800013,90500000,708,2,1,1,exploitation et gestion des déchetteries de la communauté de communes de vallet
15-55823,NAME:ville d angers,34928471,710,2,1,1,fourniture et mise à jour de la signalétique des parcs d'activités communautaire
15-56688,SIRET:21490183700010,55300000,711,2,1,1,assurer une restauration de qualité pour les résidents du foyer logement les gri
15-57255,SIRET:13015407000013,60172000,712,2,2,1,prestation de transport de personnels au profit du groupement de soutien de la b
15-57647,NAME:conseil regional des pays de la loire,79212000,713,2,1,1,"analyse, préconisation et suivi opérationnel de plans de restructuration d'entre"
15-58679,SIRET:21490183700010,55523100,715,2,1,1,service de restauration dans la cantine municipale au louroux béconnais
15-60109,NAME:mancelle d habitation,64200000,716,2,1,1,marché de prestations de services de télécommunications pour le compte mancelle 
15-64194,NAME:conseil general de loire-atlantique,09310000,720,2,1,1,fourniture et acheminement d'électricité pour le compte du conseil général à nan
15-64857,SIRET:21490259500013,55523100,721,2,1,1,gestion sur place du service de restauration scolaire et de restauration du cent
15-66325,NAME:chu d angers,71200000,722,2,1,1,mission de maîtrise d'oeuvre en vue de l'étude et de la réalisation des travaux 
15-65782,NAME:office public de l habitat,64200000,723,4,1,1,"services de télécommunications relatifs à la téléphonie fixe, mobile, aux réseau"
15-47865,NAME:commune de saint-nazaire,45112700,724,2,1,1,aménagement du front de mer (3ème tranche) à saint-nazaire
15-44849,NAME:vendee eau,71620000,727,2,1,1,"prélèvements d'eau chez les abonnés et sur le réseau public d'eau potable , et a"
15-56095,NAME:carene,44470000,737,2,1,1,"fourniture d'éléments de voirie pour les services d'eau, assainissement et patri"
15-65383,NAME:ville de coulaines,45212212,749,3,1,1,"travaux de mise aux normes des bassins de la piscine municipale, à coulaines"
15-49849,NAME:chu de nantes,33183300,113,3,1,1,fourniture de dispositifs médicaux pour chirurgie osseuse au profit du chu à nan
15-54547,NAME:ville de donges,,770,2,1,0,fourniture et installation d'équipements de cuisine à donges
15-61723,NAME:conseil general de loire-atlantique,,773,2,1,0,ville de nantes ecluse saint-felix : ouvrage saupin diagnostic structurel. le pr
15-65829,NAME:universite d angers,39714000,784,3,1,1,fourniture de hottes à flux laminaire horizontal pour le campus du végétal à bea
15-51865,NAME:universite de nantes,50750000,788,2,1,1,maintenance des appareils élévateurs du patrimoine de l'université de nantes
15-53079,SIRET:13000800600061,71620000,790,2,1,1,prestations de prélèvements et d'analyses des eaux destinées à la consommation h
15-54059,NAME:conseil regional des pays de la loire,45262660,791,2,1,1,"rénovation des internats bâtiments d et e - dépose réseaux, démolition intérieur"
15-54553,NAME:office public de l habitat,71200000,792,2,1,1,marché de maîtrise d'oeuvre pour la construction d'un foyer d'accueil médicalisé
15-56611,NAME:cte de cnes de la vallee de clisson,34140000,796,2,1,1,acquisition d'un châssis et d'une benne pour la collecte des déchets ménagers à 
15-57490,NAME:dir ouest,45233121,797,2,1,1,rn171 - aménagement qualitatif du pr 43+670 au pr 45+640 terrassement - assainis
15-52529,NAME:ville de la roche-sur-yon,60140000,799,2,1,1,services de transports non réguliers de personnes pour les écoles yonnaises et p
15-56774,NAME:nantes metropole,44613800,800,2,1,1,fourniture et maintenance des colonnes enterrées sur le territoire de nantes mét
15-58339,NAME:cnieg,72400000,801,2,1,1,refonte du site web pour le compte cnieg à nantes
15-65425,NAME:centre hospitalier cote de lumiere,90524400,806,2,1,1,"collecte, transport, et traitement des déchets non dasri aux sables d'olonne"
15-64571,NAME:araf,79997000,807,2,1,1,prestations d'agence de voyages pour les déplacements des personnes physiques de
15-66331,SIRET:21440158000011,55523100,808,2,1,1,marché de prestations de services pour l'assistance technique et la fourniture d
15-49853,NAME:ville des sables d olonne,34144400,809,2,1,1,acquisition d'engins 2015 pour le compte de la ville des sables d'olonne
15-53119,NAME:nantes metropole,,814,2,1,0,construction d'un local de stockage et d'un réfectoire sur le site de carquefou 
15-62232,NAME:ville de saint berthevin,,825,2,2,1,"mise en page, impression et livraison des différents supports de communication d"
15-65666,NAME:cg49,80530000,829,2,1,1,formation professionnelle obligatoire des assistants maternels pour les années 2
15-55860,NAME:ville de nantes,15330000,836,4,2,3,fourniture de denrées alimentaires et plats cuisinés pour le service municipal d
15-36082,NAME:ville de saumur,,849,2,1,0,"acquisition d'un podium mobile 5 x 2,4 m à saumur"
15-56571,NAME:caisse des depots,,853,2,1,0,saisie informatique de documents de gestion pour le compte de la caisse des dépô
15-59899,NAME:cte de cnes ocean-marais de monts,,856,2,1,0,moe (infrastructure) - travaux de prévention des inondations du secteur de la ga
15-66491,NAME:direccte,,859,2,1,0,rédaction et livraison de rapports de contrôle de service fait d'opérations subv
15-31975,NAME:com communes du pays d ancenis,,861,2,1,0,campagnes de recherche et réduction des substances dangereuses dans l'eau (rsde)
15-58664,NAME:com communes du pays d ancenis,,862,2,1,0,transport des élèves des écoles situées sur le territoire de la compa vers les p
15-49354,NAME:conseil regional des pays de la loire,66515200,871,2,1,1,prestations d'assurances liées aux risques de la région des pays de la loire
15-49896,NAME:oniris,71000000,872,3,1,1,mission de maîtrise d'oeuvre pour la réhabilitation de deux étages d'un bâtiment
15-53758,NAME:saumur aggloproprete,45232470,875,2,1,1,prestation de gestion globale d'un site industriel de transfert de déchets non d
15-55949,SIRET:19490970100303,38433000,878,2,1,1,"spectromètre de résonance magnétique nucléaire 400 mhz, à beaucouzé"
15-56738,SIRET:22720002900014,39800000,879,2,1,1,"fourniture et livraison de produits d'entretien, d'articles ménagers et de petit"
15-59960,NAME:conseil general de la mayenne,45262522,883,2,1,1,travaux de grosses réparations sur les ouvrages de navigation - lot no 7 'etanch
15-61109,NAME:gcs energelog,33157800,884,2,1,1,fourniture de fluides à usages médicaux et services associés dont la maintenance
15-62452,NAME:synd mixte hebergement gens du voyage,79420000,564,2,1,1,gestion et médiation des aires d'accueil des gens du voyage et des terrains fami
15-64137,SIRET:23440003400026,42510000,885,2,1,1,équipements pédagogiques ' groupe froid-climatisation ' liés à la restructuratio
15-65518,NAME:sarthe habitat,90650000,886,2,1,1,repérage amiante avant travaux ou démolition pour le compte de sarthe habitat au
15-66454,NAME:laval spla,71400000,888,2,1,1,mission de maîtrise d'oeuvre urbaine des infrsatructures de la zac 'quartier fer
15-49371,NAME:conseil general de la vendee,45223810,890,2,1,1,"implantation, pose et location de bâtiments modulaires pour le collège pierre ga"
15-58644,NAME:angers loire metropole,33600000,897,2,1,1,achat de produits pharmaceutiques à angers
15-59082,NAME:ville du mans,45432130,900,2,1,1,mise aux normes des traces de basket-ball de cinq gymnases et réfection de sol d
15-59048,NAME:commune de beaufort-en-vallee,45212330,909,2,1,1,construction d'une bibliothèque à beaufort-en-vallée
15-50297,NAME:universite d angers,34152000,915,2,2,1,plateforme de simulation de chirurgie coelioscopique à angers
15-49692,NAME:synd mixte du circuit des 24h du mans,,925,2,1,0,régularisation au titre de la loi sur l'eau. déclaration d'existence
15-54293,NAME:ville du mans,,931,2,1,0,vacations vétérinaires à la fourrière animale de la ville du mans et interventio
15-62309,NAME:ville d allonnes,,942,2,1,0,"fourniture, mise en oeuvre et maintenance de logiciels de gestion relation citoy"
15-64839,NAME:conseil general de loire-atlantique,,944,2,1,0,"r.d. 213 - pont de saint-nazaire - inspection détaillée du haubanage, des pylône"
15-66618,NAME:ville du mans,,532,3,1,0,remplacement des menuiseries bois par des menuiseries aluminium et fourniture et
15-61402,NAME:cte de cnes du pays fontenay le comte,,663,2,1,0,renouvellement des marquages horizontaux sur le territoire de la communauté de c
15-50939,NAME:agence regionale pays de la loire ti,34139300,958,2,1,1,travaux de menuiseries extérieures et de réalisation de châssis de désenfumage à
15-51845,NAME:cg49,44000000,960,2,1,1,fournitures et matériels pour la maintenance des batiments des collèges publics 
15-52741,NAME:cte de cnes de la vallee de clisson,66510000,962,2,1,1,souscription et exécution des contrats d'assurances de la communauté de communes
15-53434,NAME:ville d angers,90611000,963,2,1,1,enlèvement des véhicules pour mise en fourrière à angers
15-53981,NAME:ville de reze,66514110,966,2,1,1,contrats d'assurances de la ville 2012-2017 à rezé
15-54211,NAME:cte de cnes de la region de chemille,71400000,967,2,1,1,elaboration du plan local d'urbanisme intercommunal de la communauté de communes
15-54258,NAME:nantes metropole amenagement,71241000,968,2,1,1,désignation de prestataires chargés de la réalisation d'une étude portant sur la
15-54977,SIRET:22720002900014,64200000,970,2,1,1,prestations de services de télécommunications pour le compte du département de l
15-55624,NAME:nantes metropole,90500000,974,2,1,1,livraison et maintenance des bacs roulants pour la collecte mécanisée des déchet
15-58519,NAME:ch le mans,33696500,977,2,1,1,réactifs de sérologie toxoplasmose et lyme avec mise à disposition d'un automate
15-62441,NAME:communaute de communes des olonnes,90911200,982,2,1,1,"nettoyage des locaux de la communauté de communes, aux sables d'olonne"
15-49969,NAME:conseil regional des pays de la loire,79414000,985,2,1,1,assistance à maîtrise d'ouvrage pour la mise en place de la méthodologie d'évalu
15-51530,NAME:commune de saint-nazaire,71241000,990,2,1,1,réalisation et mise à jour de diagnostics accessibilités et mise à jour d'un age
15-53116,NAME:conseil regional des pays de la loire,80500000,991,2,1,1,formation 'accompagnement des cadres supérieurs' à nantes
15-53772,NAME:nantes metropole,45233140,993,2,1,1,"travaux d'aménagement des liaisons douces - irt jules verne, à bouguenais"
15-54513,NAME:ville de carquefou,77310000,997,2,1,1,entretien des espaces verts à carquefou
15-54635,NAME:cdc de l oree de berce belinois,90400000,998,2,1,1,gestion du service public d'assainissement non collectif à ecommoy
15-56017,NAME:le mans metropole - communaute urbaine,45421000,1001,2,1,1,travaux de réfection des façades pour le restaurant scolaire sablonnière au mans
15-56344,NAME:le mans metropole - communaute urbaine,45261420,1002,2,1,1,mise en conformité de 2 cuves à carburant - setram - 44 avenue pierre piffault a
15-58176,NAME:ville des sables d olonne,45261212,1004,2,1,1,réfection des toitures de bâtiments communaux 2015 aux sables d'olonne
15-58235,NAME:conseil regional des pays de la loire,39162100,1005,2,1,1,acquisition d'equipements pedagogiques lies a l'ouverture du lycee professionnel
15-56788,NAME:chambre d agriculture loire-atlantique,90900000,1015,2,2,2,nettoyage des locaux à nantes
15-56167,NAME:crous de nantes,,1025,2,1,0,fourniture et l'installation d'un kiosque destiné à la restauration rapide à l'i
15-50558,NAME:nantes metropole,34928400,1051,2,1,1,"fourniture de corbeilles de propreté, distributeurs de sacs et sacs pour déjecti"
15-51144,NAME:nantes metropole,50510000,1052,2,1,1,entretien et maintenance préventive du miroir d'eau à nantes
15-52766,NAME:cg49,45233120,1053,2,1,1,travaux rd 775 mise à 2x2 voies la membrolle - le lion / echangeur de grieul et 
15-53338,NAME:pole sante sarthe et loire,24111000,1054,2,1,1,fourniture de fluides médicaux en bouteilles ou en vrac avec la mise à dispositi
