identity_level,identity_value,n_raw_names,n_normalized_names,active_years,n_notices,activity_level,earliest_name_raw,latest_name_raw,earliest_name_normalized,latest_name_normalized,example_raw_names,example_normalized_names
SIREN,214401093,13,10,5,256,21+,COMMUNE DE NANTES,Ville de Nantes,commune de nantes,ville de nantes,"CCAS de la Ville de Nantes;COMMUNE DE NANTES;Déconstruction / reconstruction de la Maison de Quartier
Doulon- Consultation des bureaux d’études spécialisés pour
la constitution de l’équipe de maitrise d’œuvre du BATII;Nantes Métropole;Nantes métropole;VILLE DE NANTES;Ville de NANTES;Ville de Nantes",ccas de la ville de nantes;commune de nantes;deconstruction reconstruction de la maison de quartier doulon- consultation des bureaux d etudes specialises pour la constitution de l equipe de maitrise d œuvre du batii;nantes metropole;ville de nantes;ville de nantes en groupement avec le ccas et nantes metropole;ville de nantes en groupement de commande avec nantes metropole et ccas;ville de nantes groupement de commande avec le ccas nantes metropole
SIREN,130001704,11,10,9,55,21+,DIR Ouest,DIR O,dir ouest,dir o,DIR INTERDEPARTEMENTALE DES RTE OUEST;DIR INTERDEPARTEMENTALE ROUTES OUEST;DIR O;DIR OUEST;DIR Ouest;DIR Ouest SMT;DIROuest;Direction Interdépartementale des Routes Ouest,dir interdepartementale des rte ouest;dir interdepartementale routes ouest;dir o;dir ouest;dir ouest smt;direction interdepartementale des routes ouest;direction interdepartementale des routes ouest - dir ouest;direction interdepartementale des routes ouest dir ouest
SIREN,268502424,16,9,5,80,21+,CHD VENDEE,CHD VENDEE,chd vendee,chd vendee,"CHD VENDEE;CHD VENDEE
Etablissement support du GHT Vendée;CHD VENDEE - Etablissement support du GHT Vendée;CHD VENDEE / Etablissement support du GHT Vendée;CHD VENDEE Etablissement support du GHT Vendée;CHD VENDEE,
Etablissement support du GHT Vendée
Coordonnateur du Groupement de Commandes;CHD VENDEE, Etablissement support GHT 85;CHD VENDEE, Etablissement support du GHT 85",chd vendee;chd vendee - etablissement support du ght 85 - coordonnateur du groupement de commandes;chd vendee - etablissement support du ght vendee;chd vendee - etablissement support du ght vendee coordonnateur du groupement de commandes;chd vendee etablissement support du ght 85;chd vendee etablissement support du ght vendee;chd vendee etablissement support du ght vendee coordonnateur du groupement de commandes;chd vendee etablissement support du ght85
SIREN,264400136,15,9,5,281,21+,CHU de Nantes,CHU NANTES,chu de nantes,chu nantes,44 CHU;CHU DE NANTES;CHU NANTES;CHU Nantes;CHU de  Nantes;CHU de NANTES;CHU de Nantes;CHU de Nantes agissant au nom et pour le compte du GIP LOGISTIQUE ET RESTAURATION HOSPITALIERE,44 chu;centre hospitalier universitaire de nantes;chu de nantes;chu de nantes agissant au nom et pour le compte du gip logistique et restauration hospitaliere;chu de nnates;chu nantes;groupement d interet public gip logistique et restauration hospitaliere represente par le chu de nantes agissant en son nom et pour son compte;groupement d operateurs economiques compose de sextant architecture
SIREN,244400404,14,9,5,651,21+,Nantes Métropole,Nantes Métropole,nantes metropole,nantes metropole,"COMMUNE DE NANTES;METROPOLE NANTES METROPOLE;NANTES METROPOLE;NAntes Métropole;Nantes Metropole;Nantes Métropmole;Nantes Métropole;Nantes Métropole
Direction des services de mobilités
Services transports collectifs",commune de nantes;metropole nantes metropole;nantes metropmole;nantes metropole;nantes metropole - cycle de l eau;nantes metropole direction des services de mobilites services transports collectifs;nantes metropoles;ville de nantes
SIREN,214900995,10,9,5,98,21+,Ville de Cholet,Ville de Cholet,ville de cholet,ville de cholet,"COMMUNE DE CHOLET;Groupement de Commandes
Ville de Cholet (coordonnateur);Groupement de Commandes Ville de Cholet (coordonnateur) / Centre Communal d'Action Sociale (CCAS) de Cholet / Cholet Agglomération / Centre Intercommunal d'Action Sociale (CIAS) du Choletais / Cholet Sports Loisirs (CSL);Groupement de commandes Ville de Cholet (coordonnateur) / CCAS de Cholet;Groupement de commandes Ville de Cholet / Cholet Agglomération / CIAS du Choletais / CCAS de Cholet

Coordonnateur : Ville de Cholet;VILLE DE CHOLET;VILLE DE CHOLET (coordonnateur) - GROUPEMENT DE COMMANDE;Ville de Cholet",commune de cholet;groupement de commandes ville de cholet cholet agglomeration cias du choletais ccas de cholet coordonnateur ville de cholet;groupement de commandes ville de cholet coordonnateur;groupement de commandes ville de cholet coordonnateur ccas de cholet;groupement de commandes ville de cholet coordonnateur centre communal d action sociale ccas de cholet cholet agglomeration centre intercommunal d action sociale cias du choletais cholet sports loisirs csl;ville de cholet;ville de cholet coordonnateur - groupement de commande;ville de cholet groupement ville de cholet - cholet agglomeration
SIREN,130001902,10,9,4,29,21+,DCSID,SID Nord-Ouest,dcsid,sid nord-ouest,DCSID;DID-CAYENNE;ESID de Rennes;MINDEF/SGA/DCSID/ESID Bordeaux;Ministère des Armées - SID Nord-Ouest;SID NORD OUEST;SID Nord Ouest;SID Nord-Ouest,dcsid;did-cayenne;esid de rennes;mindef sga dcsid esid bordeaux;ministere des armees - sid nord-ouest;service d infrastructure de la defense sud-ouest;sid nord ouest;sid nord-ouest
SIREN,120064019,10,9,5,17,6-20,SNA/ouest,DSNA DTI,sna ouest,dsna dti,"DGAC DSNA;DGAC DSNA DSR pôle achats;DGAC/DSNA;DGAC/DSNA/DSR/SDFI/DSA/PAMDO;DSNA DTI;Direction Générale de l'Aviation Civile
Service National d'Ingénierie Aéroportuaire;MEDAD_DGAC_SNIA;Ministère chargé des transports-DGAC",dgac dsna;dgac dsna dsr pole achats;dgac dsna dsr sdfi dsa pamdo;direction generale de l aviation civile service national d ingenierie aeroportuaire;dsna dti;medad_dgac_snia;ministere charge des transports-dgac;service national d ingenierie aeroportuaire
SIREN,515163749,11,8,4,16,6-20,CPAM Loire Atlantique,CPAM DE LOIRE ATLANTIQUE,cpam loire atlantique,cpam de loire atlantique,"CPAM DE LOIRE ATLANTIQUE;CPAM DE LOIRE ATLANTIQUE, MAYENNE ET VENDEE;CPAM DE LOIRE-ATLANTIQUE;CPAM DE Loire-Atlantique;CPAM Loire Atlantique;Caisse Primaire d'Assurance Maladie (CPAM) de Loire-Atlantique;Caisse Primaire d'Assurance Maladie de Loire-Atlantique (CPAM).;Caisse Primaire d'Assurance maladie de Loire-Atlantique",caisse primaire d assurance maladie;caisse primaire d assurance maladie cpam de loire-atlantique;caisse primaire d assurance maladie de loire-atlantique;caisse primaire d assurance maladie de loire-atlantique cpam;cpam de loire atlantique;cpam de loire atlantique mayenne et vendee;cpam de loire-atlantique;cpam loire atlantique
SIREN,005580113,10,8,3,14,6-20,CISN COOPERATIVE,PROMOTION,cisn cooperative,promotion,CISN COOPERATIVE;CISN COOPERATIVE et CISN RESIDENCES LOCATIVES;Cisn coopérative;Groupement CISN;Groupement de commandes entre plusieurs sociétés du groupe CISN dont le coordonnateur est CISN COOPÉRATIVE;PROMOTION;SERVICE DEVELOPPEMENT;SERVICE MARCHES,cisn cooperative;cisn cooperative et cisn residences locatives;groupement cisn;groupement de commandes entre plusieurs societes du groupe cisn dont le coordonnateur est cisn cooperative;promotion;service developpement;service marches;voir rc
SIREN,254402530,8,8,7,18,6-20,SYND MIXTE ETUDE DVLPT SCES RESEAUX CO,Commande publique,synd mixte etude dvlpt sces reseaux co,commande publique,"Commande publique;Direction Cybersécurité, Cloud et IA;Giglais;Groupement d'intérêt public - GIP Gigalis;Groupement d'intérêt public GIGALIS;SYND MIXTE ETUDE DVLPT SCES RESEAUX CO;SYNDICAT MIXTE GIGALIS;Service Informatique",commande publique;direction cybersecurite cloud et ia;giglais;groupement d interet public - gip gigalis;groupement d interet public gigalis;service informatique;synd mixte etude dvlpt sces reseaux co;syndicat mixte gigalis
SIREN,177500055,8,8,3,12,6-20,"Ministère de la Transition Écologique et de la Cohésion des Territoires chargé des Transports
Direction Générale de l'Aviation Civile
Secrétariat Général 
Service National de l'Ingénierie Aéroportuaire (SNIA)",INST NAL RECHERCHES ARCHEOLOGIQUES PRE,ministere de la transition ecologique et de la cohesion des territoires charge des transports direction generale de l aviation civile secretariat general service national de l ingenierie aeroportuaire snia,inst nal recherches archeologiques pre,"CAISSE DES DEPOTS;Caisse des dépôts et consignations;Direction de l'administration pénitentiaire;INRAP;INST NAL RECHERCHES ARCHEOLOGIQUES PRE;Ministère de l'Économie, des Finances et de la Souveraineté Industrielle et Numérique;Ministère de la Transition Écologique et de la Cohésion des Territoires chargé des Transports
Direction Générale de l'Aviation Civile
Secrétariat Général 
Service National de l'Ingénierie Aéroportuaire (SNIA);Tribunal administratif de Paris",caisse des depots;caisse des depots et consignations;direction de l administration penitentiaire;inrap;inst nal recherches archeologiques pre;ministere de l economie des finances et de la souverainete industrielle et numerique;ministere de la transition ecologique et de la cohesion des territoires charge des transports direction generale de l aviation civile secretariat general service national de l ingenierie aeroportuaire snia;tribunal administratif de paris
SIREN,234400034,10,7,12,961,21+,Conseil régional des Pays de la Loire,Région des Pays de la Loire,conseil regional des pays de la loire,region des pays de la loire,"Administration publique générale;Conseil Régional des Pays de la Loire;Conseil régional des Pays de la Loire;Groupement d'autorités concédantes : Régions des Pays de la Loire et Normandie
Coordonnateur : Région des Pays de la Loire;REGION DES PAYS DE LA LOIRE;REGION PAY DE LA LOIRE;REGION PAYS DE LA LOIRE;Région Pays de la Loire",administration publique generale;conseil regional des pays de la loire;groupement d autorites concedantes regions des pays de la loire et normandie coordonnateur region des pays de la loire;region des pays de la loire;region pay de la loire;region pays de la loire;tribunal administratif
SIREN,254901309,9,7,12,93,21+,S.I. d' énergies de Maine et Loire,Syndicat intercommunal d'énergies de Maine-et-Loire (Siéml),s i d energies de maine et loire,syndicat intercommunal d energies de maine-et-loire sieml,S.I. d' énergies de Maine et Loire;SI ENERGIES DE MAINE ET LOIRE;SIEML - Syndicat Intercommunal d'Energ;Syndicat Intercommunal d'Energies de Maine-et-Loire;Syndicat Intercommunal d'Energies de Maine-et-Loire (Siéml);Syndicat Intercommunal d'Energies de Maine-et-Loire - Siéml;Syndicat Intercommunal d'Énergies de Maine-et-Loire (Siéml);Syndicat Intercommunal d'Énergies-de-Maine-et-Loire (Siéml),s i d energies de maine et loire;si energies de maine et loire;sieml - syndicat intercommunal d energ;syndicat intercommunal d energies de maine-et-loire;syndicat intercommunal d energies de maine-et-loire - sieml;syndicat intercommunal d energies de maine-et-loire sieml;syndicat intercommunal d energies-de-maine-et-loire sieml
SIREN,345002281,9,7,4,14,6-20,Nantes Métropole Amenagement,Nantes Métropole Aménagement agissant au nom et pour le compte de Nantes Métropole,nantes metropole amenagement,nantes metropole amenagement agissant au nom et pour le compte de nantes metropole,"NANTES METROPOLE AMENAGEMENT - Mandataire agissant au nom et pour le compte de la NANTES METROPOLE;Nantes Métropole Amenagement;Nantes Métropole Amenagement

Mandataire agissant au nom et pour le compte du Maître d'ouvrage :
NANTES METROPOLE
Adresse : 2 cours du Champ-de-Mars 44923 Nantes Cedex 9;Nantes Métropole Aménagement (Mandataire agissant au nom et pour le compte de la Ville de REZE);Nantes Métropole Aménagement - Mandataire agissant au nom et pour le compte de la NANTES METROPOLE;Nantes Métropole Aménagement agissant au nom et pour le compte de Nantes Métropole;Nantes Métropole Aménagement agissant au nom et pour le compte de Nantes Métropole - 2 cours du Champ-de-Mars 44923 Nantes Cedex 9;Nantes Métropole Aménagement agissant au nom pour le compte de Nantes
Métropole - 2, Cours du Champ-de-Mars 44923 Nantes cedex 9",nantes metropole amenagement;nantes metropole amenagement - mandataire agissant au nom et pour le compte de la nantes metropole;nantes metropole amenagement agissant au nom et pour le compte de nantes metropole;nantes metropole amenagement agissant au nom et pour le compte de nantes metropole - 2 cours du champ-de-mars 44923 nantes cedex 9;nantes metropole amenagement agissant au nom pour le compte de nantes metropole - 2 cours du champ-de-mars 44923 nantes cedex 9;nantes metropole amenagement mandataire agissant au nom et pour le compte de la ville de reze;nantes metropole amenagement mandataire agissant au nom et pour le compte du maitre d ouvrage nantes metropole adresse 2 cours du champ-de-mars 44923 nantes cedex 9
SIREN,174400002,8,7,6,25,21+,préfet de la région Pays de la Loire,préfet de la région Pays de la Loire,prefet de la region pays de la loire,prefet de la region pays de la loire,"PFRA des Pays de la Loire;Pays de la Loire;Plateforme régionale des achats (PFRA) des Pays de la Loire;Prefet de Région Pays de la Loire;Préfet de Loire-Atlantique, Préfet de la Région Pays de la Loire;Préfet de la région Pays de la Loire;Préfet de la région Pays de la Loire, préfet de loire Atlantique;préfet de la région Pays de la Loire",pays de la loire;pfra des pays de la loire;plateforme regionale des achats pfra des pays de la loire;prefet de la region pays de la loire;prefet de la region pays de la loire prefet de loire atlantique;prefet de loire-atlantique prefet de la region pays de la loire;prefet de region pays de la loire
SIREN,883247108,7,7,5,27,21+,MASH,Mutualisation des Achats au Service de l'Habitat -Grand Ouest (MASH-GO),mash,mutualisation des achats au service de l habitat -grand ouest mash-go,MASH;MASH (Mutualisation d'Achat au Service de l'Habitat);Mutualisation des Achats au Service de l'Habitat (MASH);Mutualisation des Achats au Service de l'Habitat - Grand Ouest(MASH-GO);Mutualisation des Achats au Service de l'Habitat -Grand Ouest (MASH-GO);Mutualisation des Achats au Service de l'Habitat du Grand Ouest (MASH - GO);Mutualisation des Achats au Service de l'Habitat du Grand Ouest (MASH-GO),mash;mash mutualisation d achat au service de l habitat;mutualisation des achats au service de l habitat - grand ouest mash-go;mutualisation des achats au service de l habitat -grand ouest mash-go;mutualisation des achats au service de l habitat du grand ouest mash - go;mutualisation des achats au service de l habitat du grand ouest mash-go;mutualisation des achats au service de l habitat mash
SIREN,120012018,8,6,3,16,6-20,Direction de l'administration pénitentiaire,DGAP,direction de l administration penitentiaire,dgap,DAP...;DGAP;DGAP..;DIRECTION ADMINISTRATION PENITENTIAIRE;Direction de l'Administration Pénitentaire;Direction de l'Administration Pénitentiaire;Direction de l'administration pénitentiaire;Ministère de la Justice,dap;dgap;direction administration penitentiaire;direction de l administration penitentaire;direction de l administration penitentiaire;ministere de la justice
SIREN,184401289,7,6,7,23,21+,CCIR Pays de la Loire,CCI Région Pays de la Loire,ccir pays de la loire,cci region pays de la loire,44800 Saint-Herblain;CCI Pays de la Loire;CCI REGION PAYS DE LA LOIRE;CCI Région Pays de la Loire;CCI de la région Pays de la Loire;CCIR Pays de la Loire;Chambre de Commerce et d'Industrie Région Pays de la Loire,44800 saint-herblain;cci de la region pays de la loire;cci pays de la loire;cci region pays de la loire;ccir pays de la loire;chambre de commerce et d industrie region pays de la loire
SIREN,200000438,7,6,4,20,6-20,Cté Cne PontChâteau-St Gildas des Bois,Communauté de communes du Pays de Pont-Château - St Gildas des Bois,cte cne pontchateau-st gildas des bois,communaute de communes du pays de pont-chateau - st gildas des bois,"CDC DU PAYS DE PONTCHATEAU ST GILDOIS DES BOIS;COMMUNAUTE DE COMMUNES DU PAYS DE PONTCHATEAU ST
GILDAS DES BOIS;COMMUNAUTE DE COMMUNES DU PAYS DE PONTCHATEAU ST GILDAS DES BOIS;COMMUNAUTÉ DE COMMUNES DU PAYS DE PONT-CHÂTEAU - SAINT-GILDAS-DES-BOIS;Communauté de Communes du Pays de Pont-Château - Saint Gildas des Bois;Communauté de communes du Pays de Pont-Château - St Gildas des Bois;Cté Cne PontChâteau-St Gildas des Bois",cdc du pays de pontchateau st gildois des bois;communaute de communes du pays de pont-chateau - saint gildas des bois;communaute de communes du pays de pont-chateau - saint-gildas-des-bois;communaute de communes du pays de pont-chateau - st gildas des bois;communaute de communes du pays de pontchateau st gildas des bois;cte cne pontchateau-st gildas des bois
SIREN,006380158,7,6,4,15,6-20,ESPA DOMICILE SA HABITAT LOYER MODERE,Groupe CISN,espa domicile sa habitat loyer modere,groupe cisn,CISN REISDENCES LOCATIVES;CISN RESIDENCES LOCATIVES;CISN Résidences locatives;ESPA DOMICILE SA HABITAT LOYER MODERE;Groupe CISN;Responsable Assurance amp; Contrats d'exploitation;Service patrimoine,cisn reisdences locatives;cisn residences locatives;espa domicile sa habitat loyer modere;groupe cisn;responsable assurance amp contrats d exploitation;service patrimoine
SIREN,200070233,7,5,5,39,21+,Terres de Montaigu Cté d'agglomération,"Terres de Montaigu, Communauté d'Agglomération (85)",terres de montaigu cte d agglomeration,terres de montaigu communaute d agglomeration 85,"Communauté d'agglomération et de la commune de Montaigu-Vendée;Terres de Montaigu - Communauté d'agglomération;Terres de Montaigu Cté d'agglomération;Terres de Montaigu, Communauté d'Agglomération;Terres de Montaigu, Communauté d'Agglomération (85);Terres de Montaigu, Communauté d'agglomération;Terres de Montaigu, communauté d'agglomération",communaute d agglomeration et de la commune de montaigu-vendee;terres de montaigu - communaute d agglomeration;terres de montaigu communaute d agglomeration;terres de montaigu communaute d agglomeration 85;terres de montaigu cte d agglomeration
SIREN,428822852,7,5,5,19,6-20,Etablissement Français du Sang,ETABLISSEMENT FRANCAIS DU SANG,etablissement francais du sang,etablissement francais du sang,Centre Hospitalier de Laval (53);EFS-CPDL;ETABLISSEMENT FRANCAIS DU SANG;Etablissement Français du Sang;Etablissement Français du Sang Centre Pays de la Loire;Etablissement Français du Sang Centre-Pays de la Loire;Etablissement Français du Sang Centre­ Pays de la Loire,centre hospitalier de laval 53;efs-cpdl;etablissement francais du sang;etablissement francais du sang centre pays de la loire;etablissement francais du sang centre-pays de la loire
SIREN,214401622,6,5,6,139,21+,Commune de Saint-Herblain,Mairie de St  Herblain,commune de saint-herblain,mairie de st herblain,Commune de Saint-Herblain;Mairie de Saint-Herblain;Mairie de Saint-Herblain (coordonnateur du groupement);Mairie de St  Herblain;Mairie de St Herblain;Mairie de St-Herblain,commune de saint-herblain;mairie de saint-herblain;mairie de saint-herblain coordonnateur du groupement;mairie de st herblain;mairie de st-herblain
SIREN,218501914,6,5,5,76,21+,VILLE DE LA ROCHE SUR YON,Ville de La Roche-sur-Yon,ville de la roche sur yon,ville de la roche-sur-yon,LA ROCHE-SUR-YON AGGLOMERATION;VILLE DE LA ROCHE SUR YON;VILLE DE LA ROCHE-SUR-YON;Ville de La Roche sur Yon (85);Ville de La Roche-sur-Yon;Ville de La Roche-sur-Yon (85),la roche-sur-yon agglomeration;ville de la roche sur yon;ville de la roche sur yon 85;ville de la roche-sur-yon;ville de la roche-sur-yon 85
SIREN,214401549,6,5,6,44,21+,Ville de Saint Brévin les Pins,Commune de SAINT-BREVIN-LES-PINS,ville de saint brevin les pins,commune de saint-brevin-les-pins,Commune de SAINT BREVIN LES PINS;Commune de SAINT-BREVIN-LES-PINS;Mairie de Saint-Brévin-les-Pins;VILLE DE SAINT BREVIN LES PINS;Ville DE SAINT BREVIN;Ville de Saint Brévin les Pins,commune de saint brevin les pins;commune de saint-brevin-les-pins;mairie de saint-brevin-les-pins;ville de saint brevin;ville de saint brevin les pins
