buyer_key,n_templated_notices
SIRET:45151864100035,29
SIRET:21440109300015,29
NAME:departement de la mayenne,28
SIRET:26530023600014,28
NAME:communaute de communes de sable,28
NAME:vendee,27
NAME:comcom des vallees du haut-anjou,26
NAME:commune de nantes,26
NAME:ville de sable sur sarthe,26
NAME:esid de rennes,25
NAME:ecole centrale de nantes,25
SIRET:13002036500016,25
NAME:etablissement francais du sang,25
NAME:ville d avrille,24
NAME:cte de communes de la region de blain,24
NAME:conservatoire du littoral,23
SIRET:21850191400566,23
NAME:communaute de communes baugeois vallee,23
NAME:cap atlantique,22
NAME:sec gal pour l adm min interieur ouest,22
NAME:cenovia cites,22
NAME:chu nantes,22
SIRET:25490130900032,22
NAME:spr pays de la loire,22
NAME:communaute communes pays de redon,22
NAME:cnfpt - delegation pays de la loire,22
SIRET:21490007800012,22
NAME:ville de pornichet,22
NAME:cdc du pays de saint gilles cx de vie,21
NAME:commune de vertou,21
NAME:ville de noirmoutier,21
SIRET:22850001300765,20
NAME:alter public,20
SIRET:21720003900014,20
NAME:geves,20
NAME:dir ouest,19
SIRET:21440026900012,19
SIRET:13001232100050,19
NAME:cmar pays de la loire,19
NAME:communaute de communes de grand lieu,19
NAME:ccir pays de la loire,19
NAME:synd dep d energie et d eqpt de vendee,19
SIRET:20008213900011,19
NAME:loire ocean developpement,19
NAME:commune de saint nazaire,19
SIRET:83469240200029,19
SIRET:13002974700016,18
SIRET:21610001600015,18
NAME:communaute de communes sevre et loire,18
NAME:cte de cnes chateaubriant-derval,18
NAME:sdis49,17
NAME:service commun d achats,17
SIRET:21440190300155,17
SIRET:86080007700098,17
SIRET:25850022200033,17
NAME:dir interdepartementale des rte ouest,17
NAME:ville d allonnes,16
NAME:mairie de saint-gilles-croix-de-vie,16
NAME:mairie de suce sur erdre,16
SIRET:21850234200015,16
SIRET:20006895500018,16
SIRET:20005588700018,15
NAME:cc ocean marais de monts,15
SIRET:28720026500018,15
NAME:sdis de la sarthe,15
NAME:comcom estuaire et sillon,15
SIRET:26490003600015,15
NAME:spl sonadev territoires publics,15
SIRET:78645126000024,15
SIRET:21440020200013,15
SIRET:11000201100044,15
NAME:commune les sables d olonne,15
SIRET:24440055200026,15
NAME:vendee expansion,15
SIRET:25850296200040,15
NAME:ville de saumur,15
SIRET:92084215000012,14
NAME:anjou loir et sarthe,14
NAME:cci nantes saint-nazaire,14
NAME:societe d equipement de la touraine,14
NAME:cte de cnes de l ile de noirmoutier,14
SIRET:21490099500017,14
SIRET:20007154600010,14
SIRET:52884815300029,14
SIRET:39172288100052,13
SIRET:19442312500021,13
SIRET:20007186800158,13
SIRET:20006763500132,13
NAME:syndicat d eau de l anjou,13
NAME:sydela,13
NAME:commune de ombree d anjou,13
SIRET:19720916600010,13
NAME:commune de saint-nazaire,13
NAME:loire-atlantique developpement - spl,13
NAME:satt ouest valorisation,12
NAME:commune de pornic,12
NAME:regie dept passages d eau de vendee,12
SIRET:79915633600015,12
NAME:communaute de communes du sud estuaire,12
SIRET:18440132100015,12
NAME:loire ocean metropole amenagement,12
NAME:mairie de coueron,12
NAME:ugecam bretagne - pays de la loire,12
NAME:trivalis 85,12
NAME:conseil general de loire-atlantique,12
SIRET:24440043800127,12
NAME:mairie de bauge en anjou,12
NAME:uc-irsa,12
NAME:ville de thouare-sur-loire,12
SIRET:52926090300016,12
SIRET:21440143200015,11
NAME:communaute de cnes terres de montaigu,11
SIRET:21720154000010,11
SIRET:21350051500019,11
SIRET:21440154900016,11
NAME:ville d ancenis,11
NAME:sgami ouest,11
SIRET:20007167800011,11
SIRET:31468496000045,11
NAME:audencia eesc,11
NAME:caisse des depots,11
NAME:mindef ema dc sca pfaf co rennes,11
SIRET:20004131700013,11
SIRET:20007272600017,11
NAME:ecole national sup d arts et metiers,11
NAME:atlantic eau,10
NAME:commune de chemille en anjou,10
SIRET:20007037300010,10
SIRET:20006724700011,10
SIRET:20000043800099,10
NAME:ars pays de la loire,10
NAME:syndicat departemental d energie,10
NAME:institution amenagement de la vilaine,10
NAME:ademe,10
NAME:grand lieu communaute,10
NAME:ville d aizenay,10
NAME:commune de val d erdre-auxence,10
NAME:ville de guerande,10
NAME:dragages ports,10
NAME:dreal pays de la loire,10
NAME:ville de vertou,10
NAME:societe publique regionale abbaye de fontevraud,10
SIRET:24610066300011,10
NAME:ville de la baule escoublac,10
NAME:chambre de commerce et d industrie,9
NAME:commune de soullans,9
NAME:universite de rennes 1,9
NAME:cte de cnes des alpes mancelles,9
SIRET:20006734600011,9
NAME:caf de la loire atlantique,9
NAME:semitan mandataire de la cun,9
SIRET:20007270000012,9
NAME:ministere des affaires etrangeres,9
NAME:si energies de maine et loire,9
NAME:communaute de communes du pays de craon,9
SIRET:34200781200023,9
SIRET:42869200800157,9
SIRET:21440018600018,9
NAME:voies navigables de france,9
NAME:cte de communes d erdre et gesvres,9
NAME:ccas de la roche-sur-yon,9
NAME:trelaze,9
NAME:samoa,9
NAME:epsm de la sarthe,9
NAME:ville de saint-malo,9
SIRET:21720054200017,9
SIRET:18850049000019,8
SIRET:28490001600023,8
NAME:saint barthelemy d anjou,8
SIRET:20006947400019,8
NAME:residences du val d oudon,8
NAME:saumur aggloproprete,8
NAME:c h s de la sarthe,8
NAME:ca saumur val de loire,8
SIRET:79386644300047,8
NAME:agence de l eau loire-bretagne,8
NAME:ca agglomeration du choletais,8
SIRET:39966390500053,8
NAME:mindef sga dcsid esid bordeaux,8
NAME:commune de cesson sevigne,8
SIRET:21440132500011,8
NAME:commune de parigne l eveque,8
NAME:st gilles croix de vie agglomeration,8
SIRET:21490328800014,8
SIRET:24850058900317,8
NAME:cc du pays de st fulgent les essarts,8
NAME:ville des sables d olonne,8
SIRET:05720113900045,8
NAME:cc loire layon aubance,8
NAME:departement de vendee,8
NAME:comsopgn,8
NAME:cci pays de la loire,8
SIRET:21720095500011,8
NAME:chu d angers,8
SIRET:21720264700012,8
SIRET:54705014600034,8
NAME:lbn communaute,7
SIRET:20007311200019,7
NAME:mairie du cellier,7
NAME:inst nal recherches archeologiques pre,7
NAME:mairie de reze,7
NAME:commune des herbiers,7
NAME:commune de vallet,7
SIRET:21850092400012,7
SIRET:20006001000085,7
SIRET:20004133300267,7
SIRET:20004248900019,7
NAME:angers nantes opera syndicat mixte,7
SIRET:88324710800011,7
NAME:cc du pays des achards,7
NAME:communaute de communes du pays flechois,7
SIRET:25720014700029,7
NAME:spm ddtm44,7
SIRET:05820152600090,7
NAME:cte de communes du pays des herbiers,7
SIRET:24720042100037,7
NAME:ville d alencon,7
NAME:ville de chateaubriant,7
NAME:syvalorm loir-et-sarthe,7
NAME:commune yvre l eveque,7
SIRET:21490015100017,7
NAME:universite de la rochelle,7
SIRET:24490088200097,7
SIRET:21720132600014,7
NAME:chu angers etablissement support du groupement hospitalier de territoire de maine et loire,7
SIRET:20007273400011,7
NAME:montrevault-sur-evre,7
SIRET:77811608700157,7
SIRET:20002377800018,7
NAME:angers loire restauration,7
SIRET:20007162900121,7
NAME:ca pornic agglo pays de retz,7
NAME:c h d la roche sur yon-lucon-montaigu,6
NAME:angers loire metropole 49,6
SIRET:89982886700015,6
SIRET:95147094700015,6
NAME:agce pour l enst fr a l etranger,6
SIRET:21850047800209,6
NAME:mairie de blain,6
NAME:grand lieu communaute 44,6
SIRET:79924570900016,6
SIRET:49517615800014,6
SIRET:58480162500040,6
SIRET:20008322800011,6
SIRET:28790033600044,6
SIRET:85580046200027,6
NAME:mayenne communaute,6
SIRET:20005359300014,6
NAME:commune de bouaye,6
SIRET:20005582000019,6
NAME:regie departementale des passages d eau de la vendee,6
NAME:service marche public,6
SIRET:20006896300129,6
NAME:ville d angers 49,6
NAME:ville de coulaines,6
SIRET:21850226800012,6
NAME:union immob des organismes de secu soc,6
SIRET:28530002600041,6
NAME:spl le mans evenements,6
NAME:smirgeom est sarthe,6
NAME:dir interdepartementale routes ouest,6
SIRET:13001535700010,6
SIRET:13001831000016,6
SIRET:24850053000113,6
NAME:comm comm de doue la fontaine,6
NAME:communaute d agglomeration de saintes,6
NAME:commune de pruille le chetif,6
NAME:cc challans gois communaute,6
NAME:nantes metropole amenagement,6
NAME:prefet de la region pays de la loire,6
NAME:office public de l habitat,6
NAME:rectorat de l academie de nantes,6
NAME:gie fontevraud,6
NAME:cc maine coeur de sarthe,6
NAME:communaute de communes du pays de meslay grez,6
NAME:ville de beaucouze,6
SIRET:24720044700057,6
SIRET:13003148700015,6
NAME:cte de communes du val de sarthe,6
SIRET:21490353600016,6
SIRET:26440013600018,6
NAME:communaute d agglomeration du niortais,6
NAME:syndicat mixte du sud est vendeen pour,6
SIRET:21440135800095,6
NAME:conseil d etat,6
SIRET:21440215800015,6
NAME:vendee eau 85,6
NAME:chambre reg agri pays de la loire,6
NAME:centre hospitalier de cholet,6
SIRET:28440001700018,6
SIRET:27720003600196,6
NAME:saint philbert de bouaine,6
NAME:saeml vendee energie,6
NAME:ehpad mer et pins,6
SIRET:28490002400019,6
SIRET:21440047500015,6
SIRET:19753471200017,6
NAME:commune de la baule,6
NAME:ehpad les chanterelles,6
NAME:sivom bocage cenomans,6
NAME:mancelle d habitation,5
SIRET:48152100300014,5
NAME:arafer,5
SIRET:84097537900016,5
NAME:lycee chevrollier,5
NAME:commune de savigne l eveque,5
NAME:commune du cellier,5
NAME:ville - les ponts-de-ce,5
NAME:groupement cenovia - transamo,5
NAME:mairie de saint-brevin-les-pins,5
NAME:mairie de nort-sur-erdre,5
NAME:mairie de la chapelle sur erdre,5
NAME:centre de gestion fpt loire-atlantique,5
NAME:ville d orvault,5
NAME:centre communal d action sociale,5
SIRET:24440058600065,5
SIRET:21440195200129,5
SIRET:24440043800044,5
NAME:ville d ancenis-saint-gereon,5
NAME:creps des pays de la loire,5
NAME:syndicat mixte du val de loir,5
NAME:dir interregionale sces penitentiaires,5
SIRET:05720113900029,5
NAME:commune de loire authion,5
SIRET:21170274100011,5
NAME:clisson sevre et maine agglo,5
SIRET:21530147400015,5
SIRET:25720137600023,5
SIRET:24850066200015,5
SIRET:21440131700018,5
NAME:ville de bretignolles sur mer,5
NAME:ville de cholet,5
NAME:ville de change,5
NAME:cd 44,5
SIRET:18009202500121,5
NAME:communaute de communes du pays sabolien,5
SIRET:21440036800194,5
NAME:frg02,5
NAME:plate forme achats finances nord est,5
NAME:sidpep,5
NAME:cc pays de fontenay vendee,5
SIRET:21440066500011,5
SIRET:21440071500014,5
SIRET:20006001000051,5
NAME:commune de casson,5
SIRET:20007187600011,5
NAME:communaute de communes vie et boulogne,5
NAME:commune de coulaines,5
SIRET:20001492600030,5
SIRET:28850001000013,5
NAME:cahpp mandataire habilite,5
NAME:commune de chantonnay,5
NAME:commune de challans,5
SIRET:21170449900014,4
SIRET:81896955200012,4
NAME:adoma,4
NAME:commune de beaufort en anjou,4
NAME:ville de le pouliguen,4
SIRET:21720016100016,4
NAME:ville de sainte-luce-sur-loire,4
SIRET:13000548113153,4
SIRET:21490246200016,4
NAME:ville de bouchemaine,4
NAME:commune de perigny,4
NAME:ville de parce sur sarthe,4
SIRET:21440204200110,4
SIRET:21440201800011,4
NAME:commune de montfort le gesnois,4
NAME:commune de mamers,4
NAME:commune de la ferte-bernard,4
SIRET:13001380800014,4
NAME:cholet agglomeration,4
NAME:grand port maritime,4
NAME:caisse allocations familiales morbihan,4
SIRET:28850002800023,4
SIRET:21850151800011,4
NAME:commune de saint-jean-de-boiseau,4
SIRET:17440000200039,4
SIRET:13002928300012,4
SIRET:13002591900015,4
SIRET:13001855900018,4
NAME:cte cnes du pays de chateau de gontier,4
NAME:cpam de la vendee,4
NAME:territoire d energie de mayenne,4
NAME:vendee grand littoral,4
NAME:syndicat mixte atlantic eau,4
NAME:syndicat bassin versant de grand lieu,4
NAME:synd mixte mrai st jean monts beauvoir,4
SIRET:19440288900019,4
SIRET:18007003900557,4
NAME:communaute de communes roche aux fees,4
SIRET:20007288200018,4
NAME:meldomys,4
NAME:mairie de thouare-sur-loire,4
SIRET:26720010300013,4
SIRET:17770704900017,4
SIRET:21440179600088,4
SIRET:21440175400012,4
NAME:e-collectivites vendee,4
NAME:cci de maine et loire,4
NAME:centre hospitalier loire vendee ocean,4
NAME:syndicat mixte centre nord atlantique,4
SIRET:21440045900019,4
NAME:msa loire-atlantique - vendee,4
NAME:ccas ehpad residence yves cougnaud,4
NAME:communaute de communes du sud-estuaire,4
NAME:commune d ancenis-saint-gereon,4
NAME:commune de chauve,4
SIRET:20005438500014,4
NAME:ehpad les roches,4
SIRET:24530044700019,4
SIRET:24530038900039,4
NAME:cenovia,4
NAME:sevre loire habitat,4
NAME:sem cenovia,4
NAME:sdis 49,4
NAME:sce departemental incendie et secours,4
SIRET:25440109400068,4
SIRET:25410220500013,4
SIRET:24850056300031,4
SIRET:24720068600100,4
SIRET:24720062900076,4
NAME:cc sud vendee littoral,4
NAME:cc pays ne de la mer,4
NAME:prefecture de la vendee,4
NAME:pole sante sarthe et loire,4
NAME:podeliha,4
NAME:onpl,4
NAME:nantes universite,4
SIRET:20007023300016,4
SIRET:20003329800015,4
NAME:communaute de communes de l ernee,4
NAME:communaute communes parthenay-gatine,4
NAME:communaute communes huisne sarthoise,4
SIRET:25720146700012,4
NAME:eplefpa edgard pisani,4
SIRET:26440270200106,4
SIRET:21440103600121,4
SIRET:86080007700023,4
NAME:ville de saint barthelemy d anjou 49,4
SIRET:21530247200018,4
NAME:cnieg,4
NAME:cnam,4
NAME:maine coeur de sarthe,4
NAME:la cite des congres de nantes,4
NAME:mairie de pornic,4
SIRET:78877950200012,4
NAME:c c de la region de nozay,4
SIRET:77566822900027,3
SIRET:77568822900027,3
SIRET:79340965700012,3
NAME:acoss,3
NAME:mairie de la montagne,3
NAME:lycee de narce,3
NAME:lycee polyvalent leonard de vinci,3
NAME:lycee rosa parks,3
SIRET:53510475600015,3
SIRET:57585049000021,3
SIRET:77560485100041,3
NAME:cmar pays de loire,3
NAME:com communes du pays d ancenis,3
NAME:com de communes de belle ile en mer,3
NAME:commune de reze,3
NAME:commune de ruaudin,3
NAME:ville de saint berthevin,3
NAME:ville de saint brevin,3
NAME:ville de saint hilaire de riez 85,3
NAME:ville de saint-denis,3
NAME:arifts pays de la loire,3
NAME:brgm,3
SIRET:20005889900010,3
SIRET:20006001000044,3
NAME:commune de beaupreau en mauges,3
SIRET:25850163400046,3
SIRET:26350183500155,3
SIRET:26370272200012,3
SIRET:26410004100013,3
SIRET:26410016500010,3
NAME:proclub,3
NAME:rectorat division scus,3
NAME:redon agglomeration,3
NAME:residences bocage d anjou,3
NAME:shema - au nom et pour le compte de roval,3
NAME:sarthe numerique,3
NAME:enr44,3
NAME:entreprendre humaniser dependance,3
NAME:epa masse des douanes,3
NAME:epcc les quinconces l espal,3
NAME:epf de la vendee,3
SIRET:25720054300029,3
SIRET:25720243200015,3
SIRET:21440125900038,3
SIRET:21440130900031,3
NAME:communaute de communes de coeur de charente,3
SIRET:21440069900143,3
SIRET:20006522500019,3
NAME:pays de blain communaute,3
NAME:cc sud retz atlantique,3
NAME:cc vallons de haute bretagne com,3
SIRET:20007191800011,3
SIRET:20007271800014,3
SIRET:20005812100019,3
SIRET:20004047500119,3
SIRET:20004218200010,3
SIRET:20005042500012,3
SIRET:20005430200019,3
SIRET:24720054600023,3
SIRET:25290187100043,3
NAME:sas vendee grand littoral energie,3
NAME:sdis de la mayenne,3
NAME:shema,3
NAME:centrale d achat du transport public,3
SIRET:24440055200042,3
SIRET:24720034800115,3
NAME:shema au nom et pour le compte du conseil departemental de l orne,3
NAME:ehpad les plaines,3
NAME:energelog du pole sante pays olonnes,3
SIRET:20005512700043,3
SIRET:19791029200014,3
NAME:commune de fontenay le comte,3
NAME:commune de groix,3
NAME:commune de l epine,3
SIRET:21440137400019,3
NAME:spic - arena loire trelaze,3
NAME:cte de cnes loire-layon-aubance,3
NAME:siaep de la foret de mervent,3
NAME:siaep de montfort le gesnois,3
NAME:siaep sarthe et loir,3
NAME:siri 49,3
NAME:sivert de l est anjou,3
NAME:sivom du bocage cenomans,3
NAME:sm des communes riveraines de l huisne,3
NAME:smictom des pays de vilaine,3
NAME:sna ouest,3
NAME:cci metropolitaine bretagne ouest,3
NAME:commune d allonnes,3
NAME:commune de basse-goulaine,3
NAME:communaute de communes du sud est du pays manceau,3
NAME:communaute de communes loir et sarthe,3
NAME:ministere de la justice,3
NAME:ministere de la justice sg dir-sg-go,3
NAME:mission val de loire syndicat mixte i,3
NAME:gcs esante pays de la loire,3
SIRET:21440023600011,3
SIRET:21440036800012,3
SIRET:21440043400012,3
NAME:syndicat mixte des 24 heures du mans,3
NAME:centre hospitalier general de chartres,3
SIRET:24170045900043,3
NAME:dreal bretagne,3
NAME:soc publique reg abe de fontevraud,3
NAME:societe d amenagement du finistere,3
SIRET:17750005500013,3
SIRET:17860004500029,3
SIRET:18002002600019,3
SIRET:26490670200016,3
SIRET:26610057700011,3
SIRET:28350355500015,3
NAME:carene,3
NAME:cc de champagne conlinoise pays sille,3
NAME:mairie de varades,3
NAME:mairie des sables d olonne,3
NAME:communaute de communes ouest anjou,3
NAME:communaute de communes pays de fontenay-vendee,3
NAME:communaute de communes pays sabolien,3
NAME:communaute urbaine d alencon,3
SIRET:18530044900013,3
SIRET:19440100600011,3
SIRET:21850182300015,3
SIRET:21850288800017,3
SIRET:22220001600327,3
NAME:d d r n,3
NAME:delpia,3
NAME:depafi,3
NAME:synd dptal d energies de la manche,3
NAME:synd mixte du circuit des 24h du mans,3
NAME:syndicat bassin versant des 4 rivieres,3
NAME:telecom bretagne,3
NAME:cour d appel de rennes,3
NAME:cour des comptes,3
NAME:cpam de loire-atlantique,3
NAME:crpcen,3
SIRET:19753472000010,3
NAME:commune de montreuil-sur-maine,3
NAME:commune de montrevault sur evre,3
NAME:commune de mouilleron le captif,3
SIRET:13002622200013,3
SIRET:17350111500161,3
SIRET:17350111500864,3
SIRET:13001044000019,3
SIRET:13001078800011,3
NAME:commune de saint-barthelemy-d anjou,3
SIRET:21850035300014,3
SIRET:21850088200012,3
SIRET:21850096500015,3
SIRET:21850109600018,3
SIRET:21850113800018,3
SIRET:21850119500018,3
NAME:ugecam brpl,3
NAME:mairie de bouguenais,3
NAME:mairie de change,3
NAME:mairie de clisson,3
NAME:mindef ema dc sca pfaf se,3
NAME:mindef sga spac s-direction des achats,3
NAME:cc oree de berce-belinois,3
SIRET:30037729800017,3
SIRET:30581500300010,3
SIRET:34500228100045,3
SIRET:35282361100053,3
NAME:c s t b,3
NAME:ca quimperle communaute,3
NAME:gip campus esprit industries,3
NAME:uniha gcs,3
NAME:universite rennes 2,3
SIRET:21780310500014,3
NAME:cesame - ch de sainte gemmes sur loire,3
NAME:chambre d agriculture de region pays de la loire,3
NAME:commune du grand-luce,3
NAME:ville d auvers le hamon,3
NAME:ville d herbignac,3
NAME:commune de sable-sur-sarthe,3
NAME:commune de mauges sur loire,3
NAME:commune de montoir de bretagne,3
SIRET:21490020100010,3
SIRET:21490020100069,3
SIRET:21490035900016,3
NAME:ville de la garenne-colombes,3
SIRET:21720334800016,3
SIRET:21720346200015,3
SIRET:21490129000012,3
SIRET:21490161300015,3
SIRET:21490223100148,3
NAME:ville du pellerin,3
SIRET:06320005900044,3
SIRET:13000170400589,3
SIRET:13000190200027,3
SIRET:13000411200012,3
NAME:ville de talmont saint hilaire,3
SIRET:21720163100017,3
SIRET:21720180500017,3
SIRET:21720228200018,3
SIRET:21720255500017,3
SIRET:21720269600118,3
SIRET:21720329800013,3
NAME:ville de ouistreham,3
SIRET:21290151600014,3
NAME:communaute de communes de vallet,3
SIRET:20008111500012,3
SIRET:20008215400036,3
SIRET:20008339200015,3
SIRET:20008339200064,3
SIRET:20008428300015,3
SIRET:20008465500014,3
SIRET:20007272600117,3
NAME:grand port maritime de nantes st-nazaire,3
NAME:groupement d achats de l herm,3
SIRET:40256198900011,3
SIRET:48825683500023,3
SIRET:51947722800018,3
SIRET:52411092100037,3
SIRET:79820357600029,3
SIRET:79886871700041,3
NAME:agence nationale cohesion territoires,3
NAME:agence regionale pays de la loire ti,3
NAME:altantic eau,3
NAME:3rd anjou,3
SIRET:90409932200011,3
NAME:bretagne mobilite gnv 35,3
NAME:aubigny les clouzeaux,3
NAME:association agrip,3
NAME:ass gestion cantine loisirs parc,3
SIRET:20009100700019,3
SIRET:20009100700043,3
NAME:lycee polyvalent sadi carnot-jean bertin,2
NAME:lycee aristide briand,2
NAME:les sables d olonne agglomeration,2
NAME:le mans universite,2
NAME:institut pour la sante de l ouest,2
NAME:mairie de saint etienne de montluc,2
SIRET:79754898900020,2
SIRET:79488591300010,2
SIRET:78601955400116,2
SIRET:77811608700165,2
NAME:hop intercommunal du baugeois et val,2
NAME:groupement transamo la set,2
SIRET:82862083100010,2
NAME:ville de saint calais,2
SIRET:21530201900017,2
SIRET:21530130000012,2
NAME:ville de montreuil-juigne,2
SIRET:21720251400014,2
SIRET:21720213400011,2
SIRET:21720035100013,2
NAME:ville de sautron,2
SIRET:13000800600061,2
SIRET:13000600800061,2
SIRET:00718051600135,2
SIRET:00638015800045,2
NAME:ville de trignac,2
SIRET:21490127400016,2
NAME:ville de donges,2
NAME:ville de coueron,2
NAME:ville de connerre,2
NAME:commune de saintes,2
NAME:commune de sainte-pazanne,2
NAME:commune de sainte hermine,2
NAME:commune de saint-pierre-la-cour,2
NAME:commune de saint-pierre d oleron,2
NAME:commune de mulsanne,2
NAME:ville de parthenay,2
NAME:commune de mezieres-sous-lavardin,2
NAME:commune de loir en vallee,2
NAME:commune de la tranche sur mer,2
NAME:commune de la plaine sur mer,2
NAME:commune de la chevroliere,2
NAME:commune de saint philbert de grand lie,2
NAME:ville d ecouflant,2
NAME:commune nouvelle de montval sur loir,2
NAME:commune du croisic,2
NAME:commune de verrieres en anjou,2
NAME:cg49,2
NAME:centre hospitalier specialise de blain,2
SIRET:21850003100016,2
NAME:conseil general de la mayenne,2
NAME:conseil departemental de loire-atlanti,2
NAME:commune sevremoine,2
SIRET:21850029600015,2
SIRET:13000853500010,2
SIRET:17350005900014,2
SIRET:13002068800011,2
NAME:cte cne pontchateau-st gildas des bois,2
NAME:crous de nantes pays de la loire,2
NAME:travaux de transformation du laboratoire l2 mycobacterie en laboratoire l3 du batiment ibs pour le chu d angers,2
NAME:transports publics du choletais,2
NAME:territoire energie loire atlantique,2
NAME:terres de montaigu cte d agglomeration,2
NAME:urssaf des pays de la loire,2
NAME:syndicat loire aval,2
NAME:centre hospitalier de chateaubriant,2
NAME:centre hospitalier cote de lumiere,2
NAME:cte d agglomeration du choletais,2
SIRET:18450011400261,2
SIRET:18001404501825,2
SIRET:21440194500016,2
SIRET:21440178800051,2
SIRET:21440169700013,2
SIRET:21440166300015,2
NAME:ehpad,2
SIRET:24440040400236,2
SIRET:24350077400233,2
NAME:centre hospitalier georges daumezon,2
NAME:centre hospitalier f robert,2
NAME:syndicat mixte du scot du pays de retz,2
NAME:cdc de l oree de berce belinois,2
NAME:smaep de l aunay-la touche,2
NAME:siaep des buissons,2
NAME:synd collecte ordures menageres scom e,2
SIRET:21440155600011,2
SIRET:21440149900089,2
NAME:communaute de communes de pornic,2
NAME:commune de haute goulaine,2
NAME:commune de doue-en-anjou,2
SIRET:20000331700027,2
SIRET:20005645500013,2
SIRET:20005456700025,2
NAME:ehpad les tulipes,2
NAME:ehpad les foyers de la fuie,2
NAME:ehpad la petite bruyere,2
NAME:ehpad la douceur de vivre,2
SIRET:24530035500030,2
SIRET:24490001500078,2
SIRET:25440202700018,2
SIRET:25440124300012,2
SIRET:20005361900017,2
SIRET:20004047500101,2
SIRET:20003647300011,2
NAME:commune de la bruffiere,2
SIRET:21440129100015,2
SIRET:25850065100025,2
NAME:eptb vilaine,2
NAME:epsms mayenne,2
NAME:epmp,2
NAME:sarthe habitat,2
NAME:saint germain en cogles,2
NAME:saem oryon,2
NAME:reseau canope,2
NAME:region bretagne,2
SIRET:26490189300042,2
SIRET:26490039000016,2
SIRET:21440114300018,2
SIRET:21440111900018,2
SIRET:21440106900015,2
NAME:commune de cerans-foulletourte,2
NAME:commune de bournezeau,2
NAME:commune de bouin 85,2
SIRET:20006319600014,2
SIRET:20005743800018,2
SIRET:20007155300016,2
NAME:port de nantes saint-nazaire,2
NAME:petr du pays de retz,2
NAME:orchestre national des pays de la loir,2
NAME:olonne sur mer,2
NAME:sarthe culture,2
NAME:saint nazaire agglomeration tourisme,2
SIRET:20006896300012,2
SIRET:20006786600018,2
SIRET:20006734600169,2
SIRET:20006734600045,2
NAME:commune de champagne,2
NAME:commune de cesson-sevigne,2
SIRET:21440089700010,2
SIRET:21440082200083,2
SIRET:21440049100129,2
NAME:gie loire ocean,2
NAME:geo vendee,2
NAME:fournitures de denrees alimentaires pour les adherents du groupement d achats de l herm,2
NAME:etablissement public du marais poitevi,2
NAME:nantes habitat,2
NAME:ccas de vertou,2
NAME:ccas de sable sur sarthe,2
NAME:ccas de la ville des herbiers,2
NAME:cc vendee sevre autise,2
NAME:cc vendee grand littoral,2
NAME:commune d olonne sur mer,2
NAME:commune d indre,2
NAME:commune d avrille,2
SIRET:20007272600157,2
NAME:mairie du croisic,2
NAME:mairie de vigneux de bretagne,2
NAME:mairie de st herblain,2
NAME:cc du pays de mortagne,2
SIRET:26720012900018,2
SIRET:26720009500011,2
NAME:caf de la mayenne,2
SIRET:38105376800028,2
SIRET:28720027300012,2
NAME:mairie de jupilles,2
