validation_case_id,review_stratum,source_notice_id,candidate_notice_id,source_publication_date,source_buyer_name,source_cpv,source_objet,candidate_publication_date,candidate_buyer_name,candidate_cpv,candidate_objet,time_gap_months,reviewer,decision,confidence,evidence,disagreement,final_adjudication
WP11-0011,low_margin_layer1_links,16-54197,16-153330,2016-04-17,nantes metropole,48900000,"Développement, hébergement et maintenance d'un GME et géolocalisé dans le cadre de la création d'une offre de médiation multimédia pour le Musée d'Art au profit de Nantes Métropole",2016-10-26,nantes metropole,48200000,"acquisition et accompagnement au déploiement d'un nouvel ""intranet""",6.307490144546649,,,,,,
WP11-0012,low_margin_layer1_links,16-139147,18-8879,2016-09-25,gie sesam vitale,72212900,réalisation de prestations d'assistance technique relatives à des projets de réalisation logicielle.,2018-01-21,gie sesam vitale,72600000,Assistance technique maintien en condition operationnelle,15.867279894875164,,,,,,
WP11-0013,low_margin_layer1_links,19-74485,20-32203,2019-05-18,nantes metropole,72243000,missions de programmation et d'assistance à maîtrise d'ouvrage pour des opérations de bâtiments et ou des opérations mixtes bâtiment-infrastructure,2020-03-06,nantes metropole,72227000,prestations de conseils et d'assistance et d'intégration autour de la ged nuxeo,9.625492772667542,,,,,,
WP11-0014,low_margin_layer1_links,21-145116,22-94102,2021-10-30,departement de la mayenne,30230000,Fourniture de matériels informatiques et prestations associées,2022-07-05,departement de la mayenne,72267100,Maintenance du portail cartographique externe Géomayenne du Département de la Mayenne et prestations associées,8.147174770039422,,,,,,
WP11-0015,low_margin_layer1_links,24-66818,25-21094,2024-06-09,chu nantes,32412110,"Fourniture, installation et maintenance de réseaux POL (Passive Optical LAN) pour le futur Centre Hospitalier Universitaire « Ile de Nantes »",2025-02-25,chu nantes,42961100,"Fourniture, installation et maintenance des systèmes de sûreté (contrôle d'accès, intrusion, interphonie et vidéosurveillance) pour le CHU de Nantes",8.5742444152431,,,,,,
WP11-0016,low_margin_layer1_links,17-8714,17-102039,2017-01-19,departement de la sarthe,72500000,"FOURNITURE, LIVRAISON, MISE EN SERVICE REGULIER ET MAINTENANCE SUR 5 ANS D'UN PROGICIEL DE GESTION DE LA TARIFICATION DES ETABLISSEMENTS ET SERVICES POUR PERSONNES AGEES, HANDICAPEEES ET ENFANCE",2017-07-17,departement de la sarthe,72212490,"Acquisition, mise en oeuvre d'une solution de dématérialisation des marchés publics et d'une solution de télétransmission des actes au contrôle de légalité et au comptable public y compris p",5.88042049934297,,,,,,
WP11-0017,layer2_only_links,25-66488,26-41056,2025-06-15,mairie de saint-herblain,32342410,"Acquisitions et installation de matériels scéniques, son, lumière et vidéo pour les services de la ville de Saint-Herblain",2026-04-22,mairie de st herblain,48952000,Maintenance courants faibles sonorisation PPMS dans les bâtiments communaux de la ville de Saint-Herblain,10.21681997371879,,,,,,
WP11-0018,layer2_only_links,17-181551,18-152399,2017-12-22,departement de la sarthe,35100000,Maintenance des systèmes de sécurité incendie (SSI) dans les collèges publics sarthois,2018-10-31,departement de la sarthe,35100000,Fourniture Et Controle Annuel Des Equipements De Securite Incendie Du Departement De La Sarthe,10.282522996057818,,,,,,
WP11-0019,layer2_only_links,17-85841,18-71689,2017-06-19,conseil regional des pays de la loire,48200000,Maintenance et développement de l'intranet,2018-05-29,conseil regional des pays de la loire,48000000,OUTIL DE PHOTOTHEQUE EN MODE SAAS,11.300919842312746,,,,,,
WP11-0020,layer2_only_links,19-4677,20-10119,2019-01-10,departement de la vendee,72415000,"Hébergement de ressources numériques des Archives départementales, Maintenance et prestations associées",2020-01-24,conseil general de la vendee,72400000,"Acquisition d'une plateforme technique collaborative de recherche, d'enrichissement et de diffusion de ressources documentaires pour les archives départementales de la Vendée",12.450722733245728,,,,,,
WP11-0021,layer2_only_links,17-44607,18-31687,2017-04-01,conseil regional des pays de la loire,48800000,Application de suivi et de gestion du patrimoine énergétique régional,2018-03-08,conseil regional des pays de la loire,48900000,Mise en place et maintenance d'un systeme d'information géographique (SIG) pour les services de la Région des Pays de la Loire,11.202365308804204,,,,,,
WP11-0022,layer2_only_links,17-140377,18-79401,2017-10-05,conseil regional des pays de la loire,72250000,Prestations d'assistance en administration de systèmes,2018-06-10,conseil regional des pays de la loire,72250000,"Prestation d'assistance sur le système d'information décisionnel, l'open data et l'alimentation et la gestion des bases de données",8.147174770039422,,,,,,
WP11-0023,layer2_only_links,16-20762,17-44607,2016-02-11,conseil regional des pays de la loire,48810000,évolution des systemes d'information pour les lycees publics et e.r.e.a de la region des pays de la Loire à Nantes,2017-04-01,conseil regional des pays de la loire,48800000,Application de suivi et de gestion du patrimoine énergétique régional,13.633377135348226,,,,,,
WP11-0024,layer2_only_links,19-108948,19-174098,2019-07-14,conseil regional des pays de la loire,30213200,"DEMARCHE ORIENTIBUS :Acquisition, paramétrage et maintenance du matériel numérique et multimédia",2019-11-21,conseil regional des pays de la loire,72000000,Gestion de la relation avec les acteurs externes - Paramétrage et intégration du CRM Microsoft Dynamics 365 dans le système d'information de la Région des Pays de la Loire,4.270696452036794,,,,,,
WP11-0025,same_buyer_hard_negatives,25-50797,26-20144,2025-05-07,ville d orvault,39162110,Fournitures scolaires et de bureau pour la Ville d'Orvault.,2026-02-27,ville d orvault,39830000,Fournitures de produits et de petits matériels d'entretien et d'hygiène pour la Ville d'Orvault.,9.724047306176084,,,,,,
WP11-0026,same_buyer_hard_negatives,16-81211,20-104401,2016-06-04,commune de saint jean de monts,09132000,Achat de carburant à la pompe pour la flotte automobile de la Ville.,2020-08-21,commune de saint jean de monts,09132100,Achat de carburant à la pompe pour la flotte automobile de la Ville,50.55847568988173,,,,,,
WP11-0027,same_buyer_hard_negatives,16-17165,20-98686,2016-02-04,ville de saint-denis,60172000,Transport en car pour les centres de vacances de la ville de Saint-Denis,2020-08-06,ville de saint-denis,60000000,Transport en car pour les centres de vacances de la ville de Saint-Denis,54.040735873850196,,,,,,
WP11-0028,same_buyer_hard_negatives,20-12778,22-114825,2020-01-29,pole emploi pays de la loire,55300000,MARCHE PUBLIC DE SERVICES DE PRESTATIONS DE RESTAURATION DES STAGIAIRES DE POLE EMPLOI PAYS DE LA LOIRE,2022-08-26,pole emploi pays de la loire,55521200,MARCHE DE SERVICES DE CONFECTION ET DE LIVRAISON DE PLATEAUX REPAS POUR POLE EMPLOI PAYS DE LA LOIRE,30.880420499342968,,,,,,
WP11-0029,same_buyer_hard_negatives,18-93135,19-49005,2018-07-06,crous de nantes,15300000,"Fourniture et livraison de fruits et légumes de la première, quatrième et cinquième gamme aux restaurants universitaires",2019-03-30,crous de nantes,15811000,Fourniture et livraison de pains frais aux restaurants universitaires,8.771353482260183,,,,,,
WP11-0030,same_buyer_hard_negatives,15-103299,17-103176,2015-07-30,cahpp mandataire habilite,33000000,Fournitures de spécialités pharmaceutiques et de dispositifs médicaux pour le centre hospitalier g. mazurelle à La Roche Sur Yon,2017-08-02,cahpp mandataire habilite,33140000,fourniture de produits pharmaceutiques et de dispositifs médicaux,24.113009198423125,,,,,,
WP11-0031,same_buyer_hard_negatives,23-105638,23-147718,2023-07-25,spl laval mayenne amenagements,45000000,Marché public de construction des halles de Laval de la place du 11 novembre,2023-11-15,spl laval mayenne amenagements,45112700,marché public de travaux pour le réaménagement de la place du 11 novembre à laval,3.712220762155059,,,,,,
WP11-0032,same_buyer_hard_negatives,18-84001,21-8316,2018-06-18,commune de montoir de bretagne,45331100,Numéro de la consultation : 2018-TRX-0005 Mise en place d'un système de chauffage à l'église,2021-01-19,commune de montoir de bretagne,45233141,Numéro de la consultation : 2020 - TRX - 0002 ACCORDS-CADRES VOIRIE,31.077529566360052,,,,,,
WP11-0033,pairs_outside_six_month_window,20-121660,21-53976,2020-10-06,departement de la mayenne,72267100,Mise en oeuvre d'une application de gestion des stocks et de l'approvisionnement,2021-04-22,departement de la mayenne,72267100,"Maintenance, prestations et matériels associés aux outils Skype et Lifesize",6.504599211563732,,,,,,
WP11-0034,pairs_outside_six_month_window,18-61655,19-36958,2018-05-05,nantes metropole,72250000,accord-cadre maintenance des modèles de simulation multimodale des déplacements et de transports de marchandises de nantes métropole,2019-03-14,nantes metropole,72250000,prestations en appui de la modernisation de l'infrastructure géomatique de nantes métropole.,10.282522996057818,,,,,,
WP11-0035,pairs_outside_six_month_window,18-105237,19-32405,2018-07-26,conseil regional des pays de la loire,35113440,Conception et acquisition de gilets jaunes normalisés à destination des élèves empruntant le transport scolaire,2019-03-02,conseil regional des pays de la loire,35113430,Conception et acquisition de gilets haute visibilité normalisés à destination des élèves empruntant le transport scolaire dans la Région des Pays de la Loire,7.194480946123521,,,,,,
WP11-0036,pairs_outside_six_month_window,18-71689,19-137030,2018-05-29,conseil regional des pays de la loire,48000000,OUTIL DE PHOTOTHEQUE EN MODE SAAS,2019-09-12,conseil regional des pays de la loire,48000000,MISE A DISPOSITION D'UNE SOLUTION APPLICATIVE EN MODE SAAS PERMETTANT LA GESTION DES TEMPS ET DES ACTIVITES,15.473061760840999,,,,,,
WP11-0037,pairs_outside_six_month_window,17-73536,18-90097,2017-05-26,nantes metropole,48000000,acquisition et mise en oeuvre d'une solution logicielle de géolocalisation des collectes des déchets embarquée dans les véhicules des opérateurs publics de collecte (nantes et régie du sud-ouest).,2018-06-30,nantes metropole,48000000,acquisition et mise en oeuvre d'une solution logicielle de gestion de l'occupation du domaine public,13.140604467805518,,,,,,
WP11-0038,pairs_outside_six_month_window,22-94809,23-70584,2022-07-08,com d agglo reg nazairienne estuaire,48160000,"Fourniture, mise en oeuvre, maintenance d'un système intégré de gestion de bibliothèque, d'un portail documentaire web,d'un système de gestion des terminaux publics pour le réseau d",2023-05-24,com d agglo reg nazairienne estuaire,48160000,Système de gestion des terminaux publics pour le réseau des bibliothèques de la Carene,10.512483574244415,,,,,,
WP11-0039,pairs_outside_six_month_window,21-156348,22-130851,2021-11-27,departement de la mayenne,72268000,"Acquisition, mise en oeuvre, maintenance d'une solution de parapheur électronique et signature numérique et prestations associées",2022-10-02,departement de la mayenne,72268000,"Acquisition d'abonnement de logiciels, maintenance et prestations associées des outils d'infrastructureLots 09, 11, 12, 21",10.151116951379763,,,,,,
WP11-0040,pairs_outside_six_month_window,21-29818,22-28887,2021-03-07,soc publique reg abe de fontevraud,32342410,Fourniture De Materiel Technique Pour Le Parcours Nocturne Scenographie De L'Abbaye De Fontevraud,2022-02-26,soc publique reg abe de fontevraud,32342410,Fourniture De Materiel Technique Pour Le Parcours Nocturne Scenographie De L'Abbaye De Fontevraud,11.695137976346912,,,,,,
WP11-0041,split_or_merge_candidates,19-16795,19-136955,2019-01-31,angers loire metropole,,"Travaux de mise en sécurité et changement d'un site industriel en une entité erp de 1ère catégorie sur le site de la wise factory, halles 1 et 2, à verrières en anjou - relance de lots",2019-09-10,angers loire metropole,72500000,"Aide à la gestion des DT, DICT, DC, ATU et autres formalités liés à la réforme anti-endommagement des réseaux.",7.293035479632063,,,,,,
WP11-0042,split_or_merge_candidates,19-16795,19-85688,2019-01-31,angers loire metropole,,"Travaux de mise en sécurité et changement d'un site industriel en une entité erp de 1ère catégorie sur le site de la wise factory, halles 1 et 2, à verrières en anjou - relance de lots",2019-06-05,angers loire metropole,72267000,EVOLUTIONS ET MAINTENANCE CORRECTIVE DU SYSTEME ATOUT (CARTE DE VIE QUOTIDIENNE - REFERENTIEL PARTAGE- SERVICES EN LIGNE),4.106438896189225,,,,,,
WP11-0043,split_or_merge_candidates,19-16795,19-169306,2019-01-31,angers loire metropole,,"Travaux de mise en sécurité et changement d'un site industriel en une entité erp de 1ère catégorie sur le site de la wise factory, halles 1 et 2, à verrières en anjou - relance de lots",2019-11-08,angers loire metropole,72319000,Conception et diffusion de de panorama(s) de presse numérique(s) (Lot 1) & Achat à l'unité de contenus écrits (presse) et audiovisuels (Lot 2),9.231274638633376,,,,,,
WP11-0044,split_or_merge_candidates,20-111877,21-19011,2020-09-11,universite de nantes,72268000,"Acquisition de droits d'usage d'une solution logicielle de gestion énergétique, hébergée sur une plate-forme web locale ou déportée, pour l'Université de Nantes",2021-02-10,universite de nantes,72260000,"Intégration et maintenance de la solution open source GLPI (de l'éditeur Teclib'), et prestations associées.",4.993429697766097,,,,,,
WP11-0045,split_or_merge_candidates,20-111877,21-96695,2020-09-11,universite de nantes,72268000,"Acquisition de droits d'usage d'une solution logicielle de gestion énergétique, hébergée sur une plate-forme web locale ou déportée, pour l'Université de Nantes",2021-07-12,universite de nantes,48000000,"Accord-cadre à bons de commande, mono-attributaire, pour la mise en place d'une solution de vote dématérialisé et services associés au sein de l'Université de Nantes",9.986859395532194,,,,,,
WP11-0046,split_or_merge_candidates,20-111877,21-61224,2020-09-11,universite de nantes,72268000,"Acquisition de droits d'usage d'une solution logicielle de gestion énergétique, hébergée sur une plate-forme web locale ou déportée, pour l'Université de Nantes",2021-05-06,universite de nantes,48000000,Acquisition d'une solution numérique dédiée à l'évaluation des risques professionnels et à la rédaction du document unique pour l'Université de Nantes,7.7858081471747695,,,,,,
WP11-0047,split_or_merge_candidates,25-80306,25-129489,2025-07-16,region des pays de la loire,79800000,TRAVAUX D'IMPRESSION OFFSET ET NUMERIQUE (hors réseau de transport régional),2025-11-25,region pays de la loire,72212610,Acquisition et maintenance d’un logiciel de roulement de services ferroviaires,4.336399474375821,,,,,,
WP11-0048,split_or_merge_candidates,25-80306,26-6662,2025-07-16,region des pays de la loire,79800000,TRAVAUX D'IMPRESSION OFFSET ET NUMERIQUE (hors réseau de transport régional),2026-01-21,region des pays de la loire,32322000,"ORIENTIBUS : ACQUISITION, PARAMÉTRAGE ET MAINTENANCE DU MATÉRIEL NUMÉRIQUE ET MULTIMÉDIA",6.2089356110381075,,,,,,
WP11-0049,split_or_merge_candidates,25-80306,25-121114,2025-07-16,region des pays de la loire,79800000,TRAVAUX D'IMPRESSION OFFSET ET NUMERIQUE (hors réseau de transport régional),2025-10-31,region pays de la loire,72212610,Acquisition et maintenance d’un logiciel de roulement de services ferroviaires,3.515111695137976,,,,,,
WP11-0050,split_or_merge_candidates,16-26598,16-127032,2016-02-23,departement de la sarthe,48780000,"Acquisition, mise en oeuvre et maintenance du système d'information archivistique des archives départementales de La Sarthe",2016-08-30,departement de la sarthe,72512000,"Acquisition et mise en oeuvre d'une solution de gestion des factures dématérialisées simples et fiscales y compris prestations associées (formation, assistance technique, maintenance)",6.2089356110381075,,,,,,
WP11-0051,split_or_merge_candidates,16-26598,16-125010,2016-02-23,departement de la sarthe,48780000,"Acquisition, mise en oeuvre et maintenance du système d'information archivistique des archives départementales de La Sarthe",2016-08-25,departement de la sarthe,72600000,Prestation de conseil et d'assistance sur les systèmes d'information (SI),6.044678055190539,,,,,,
WP11-0052,split_or_merge_candidates,16-26598,16-123593,2016-02-23,departement de la sarthe,48780000,"Acquisition, mise en oeuvre et maintenance du système d'information archivistique des archives départementales de La Sarthe",2016-08-22,departement de la sarthe,71241000,Assistance à Maîtrise d'Ouvrage (AMO) pour le déploiement de réseaux informatiques dans les collèges publics sarthois,5.946123521681997,,,,,,
WP11-0053,split_or_merge_candidates,21-26779,22-69952,2021-02-28,conseil regional des pays de la loire,72250000,MAINTENANCE ET EVOLUTIONS DU SYSTEME DE STOCKAGE DES DONNEES,2022-05-16,conseil regional des pays de la loire,72000000,HEBERGEMENT ET MAINTENANCE POUR LE SITE INTERNET DU CONSEIL ECONOMIQUE SOCIAL ET ENVIRONNEMENTAL (CESER),14.520367936925098,,,,,,
WP11-0054,split_or_merge_candidates,21-26779,22-85365,2021-02-28,conseil regional des pays de la loire,72250000,MAINTENANCE ET EVOLUTIONS DU SYSTEME DE STOCKAGE DES DONNEES,2022-06-19,conseil regional des pays de la loire,48000000,RENOUVELLEMENT ET EXPLOITATION DU SYSTEME D'INFORMATION MULTIMODALE DESTINEO EN RÉGION DES PAYS DE LA LOIRE LOT 1 : FOURNITURE DES OUTILS BACK OFFICE ET DE GESTION DU REFERENTIEL DE DONNEES,15.637319316688567,,,,,,
WP11-0055,split_or_merge_candidates,21-26779,22-72517,2021-02-28,conseil regional des pays de la loire,72250000,MAINTENANCE ET EVOLUTIONS DU SYSTEME DE STOCKAGE DES DONNEES,2022-05-22,conseil regional des pays de la loire,48000000,RENOUVELLEMENT ET EXPLOITATION DU SYSTEME D'INFORMATION MULTIMODALE DESTINEO EN RÉGION DES PAYS DE LA LOIRE - LOT 2 : FOURNITURE DU CALCULATEUR D'ITINERAIRES ET DES DIFFERENTS MEDIAS,14.71747700394218,,,,,,
WP11-0056,split_or_merge_candidates,22-39891,22-118191,2022-03-19,nantes metropole,72316000,"Prestations en appui du management de la donnée pour le compte du groupement de commandes informatiques (Nantes Métropole, ville de Nantes, C.C.A.S de Nantes)",2022-09-03,nantes metropole,72000000,"accompagnement et conseil en numérique responsable dans le cadre des sites web, applications mobiles et web pour le compte du groupement de commandes informatiques et prestations associées",5.519053876478318,,,,,,
WP11-0057,split_or_merge_candidates,22-39891,22-108057,2022-03-19,nantes metropole,72316000,"Prestations en appui du management de la donnée pour le compte du groupement de commandes informatiques (Nantes Métropole, ville de Nantes, C.C.A.S de Nantes)",2022-08-06,nantes metropole,72250000,prestations en appui au développement de l'infrastructure géomatique de nantes metropole,4.599211563731932,,,,,,
WP11-0058,split_or_merge_candidates,22-39891,22-111359,2022-03-19,nantes metropole,72316000,"Prestations en appui du management de la donnée pour le compte du groupement de commandes informatiques (Nantes Métropole, ville de Nantes, C.C.A.S de Nantes)",2022-08-20,nantes metropole,72415000,hébergement et infogérance pour des applications de nantes métropole,5.059132720105125,,,,,,
WP11-0059,split_or_merge_candidates,19-176963,20-66280,2020-01-06,angers loire metropole,72212224,"Prestations d'assistance au développement sous typo 3, et maintenance web et prestations complémentaires",2020-05-28,angers loire metropole,72212445,"acquisition, mise en place et maintenance d'une solution logicielle de gestion de relation clientèle",4.697766097240473,,,,,,
WP11-0060,split_or_merge_candidates,19-176963,19-127477,2020-01-06,angers loire metropole,72212224,"Prestations d'assistance au développement sous typo 3, et maintenance web et prestations complémentaires",2020-05-02,angers loire metropole,72212900,refonte du système d'information de la direction de l'eau et de l'assainissement d'angers loire métropole,3.843626806833114,,,,,,
WP11-0061,split_or_merge_candidates,19-176963,20-85492,2020-01-06,angers loire metropole,72212224,"Prestations d'assistance au développement sous typo 3, et maintenance web et prestations complémentaires",2020-07-22,angers loire metropole,32424000,evolution du coeur de réseau,6.504599211563732,,,,,,
WP11-0062,split_or_merge_candidates,17-73536,18-56546,2017-05-26,nantes metropole,48000000,acquisition et mise en oeuvre d'une solution logicielle de géolocalisation des collectes des déchets embarquée dans les véhicules des opérateurs publics de collecte (nantes et régie du sud-ouest).,2018-04-24,nantes metropole,48000000,"Mise en oeuvre d'une solution logicielle de suivi financier des marches de travaux et de maitrise d'oeuvre, maintenance et prestations associées",10.939553219448094,,,,,,
WP11-0063,split_or_merge_candidates,17-73536,18-90097,2017-05-26,nantes metropole,48000000,acquisition et mise en oeuvre d'une solution logicielle de géolocalisation des collectes des déchets embarquée dans les véhicules des opérateurs publics de collecte (nantes et régie du sud-ouest).,2018-06-30,nantes metropole,48000000,acquisition et mise en oeuvre d'une solution logicielle de gestion de l'occupation du domaine public,13.140604467805518,,,,,,
WP11-0064,split_or_merge_candidates,17-73536,17-173663,2017-05-26,nantes metropole,48000000,acquisition et mise en oeuvre d'une solution logicielle de géolocalisation des collectes des déchets embarquée dans les véhicules des opérateurs publics de collecte (nantes et régie du sud-ouest).,2017-12-16,nantes metropole,48000000,acquisition et mise en oeuvre d'une solution logicielle de gestion de l'occupation du domaine public,6.701708278580814,,,,,,
WP11-0065,sources_with_no_candidates,22-143552,,2022-10-27,cmar pays de la loire,32412110,FOURNITURE ET MAINTENANCE DES EQUIPEMENTS DE SECURITE DES RESEAUX INTERNET ET INFORMATIQUES ET PRESTATIONS ASSOCIEES CMA PDL,,,,,,,,,,,
WP11-0066,sources_with_no_candidates,18-98603,,2018-07-15,reseau canope,72250000,18-050 TMA et intégration SIFC SIC,,,,,,,,,,,
WP11-0067,sources_with_no_candidates,15-56571,,2015-04-14,caisse des depots,,Saisie informatique de documents de gestion pour le compte de la Caisse des dépôts et consignations - Etablissement Angers Paris,,,,,,,,,,,
WP11-0068,sources_with_no_candidates,25-7000,,2025-01-20,cenovia cites,72243000,Réalisation des études préalables et du programme dans le cadre de la rénovation énergétique de quatre écoles à Allonnes (72700) et une école à Coulaines (72190),,,,,,,,,,,
WP11-0069,sources_with_no_candidates,24-56081,,2024-05-14,conseil economique social et environnemental ceser des pays de la loire,72000000,Le présent marché ou accord-cadre a pour objet la stratégie digitale et multimédia et accompagnement des réseaux sociaux (X et LinkedIn) pour le CESER des Pays de la Loire.,,,,,,,,,,,
WP11-0070,sources_with_no_candidates,25-32752,,2025-03-25,la roche sur yon agglomeration 85,30230000,Fourniture d'équipements de sécurité informatique et prestations de services associées,,,,,,,,,,,
WP11-0071,sources_with_no_candidates,22-121609,,2022-09-11,agence regionale de sante ars,72000000,Création de contenus de formation digitale,,,,,,,,,,,
WP11-0072,sources_with_no_candidates,23-3611,,2023-01-11,siri 49,30200000,Achat de matériels informatiques et accessoires dédiés pour le Syndicat Intercommunal de Ressources Informatiques et ses adhérents,,,,,,,,,,,
WP11-0073,very_active_buyers,15-59770,15-63856,2015-04-20,cap atlantique,48000000,"fourniture, mise en place et maintenance d'un logiciel de gestion d'un référentiel tiers, interfacé avec différentes applications métiers, à La Baule",2015-04-24,cap atlantique,48000000,"fourniture, mise en place et maintenance d'un logiciel de gestion d'un référentiel tiers, interfacé avec différentes applications métiers à La Baule (rectificatif)",0.1314060446780552,,,,,,
WP11-0074,very_active_buyers,16-161115,17-78402,2016-11-07,sdis 85,35110000,Contrôle annuel et fourniture de pièces pour les casques F1 et F2 du SDIS de la Vendée,2017-06-06,sdis 85,32000000,Fourniture et mise en oeuvre des équipements de transmission Faisceau Hertzien IP et équipements réseaux d'interconnexion IP avec la Préfecture de Vendée,6.931668856767411,,,,,,
WP11-0075,very_active_buyers,25-39459,25-100139,2025-04-09,ecole centrale de nantes,32323300,"Fourniture, installation et mise en service d'une caméra ultra-rapide pour l'Ecole Centrale de Nantes",2025-09-10,ecole centrale de nantes,48325000,"la fourniture, le déploiement et la maintenance d'un logiciel permettant l'évaluation des formations, des enseignements et la réalisation d'enquêtes et de sondages pour l'École Centrale de Nantes",5.059132720105125,,,,,,
WP11-0076,very_active_buyers,20-11000,20-132336,2020-01-25,nantes metropole,48000000,"acquisition, mise en oeuvre et maintenance d'une solution logicielle de gestion du centre de réception des appels institutionnels et d'organisation de la logistique (craiol)",2020-11-08,nantes metropole,48000000,acquisition et mise en oeuvre d'une solution logicielle de gestion de la relation aux usagers,9.461235216819974,,,,,,
WP11-0077,very_active_buyers,20-97584,21-31568,2020-07-31,gie sesam vitale,72700000,"Le présent marché a pour objet la fourniture de sondes physiques installées sur des points d'accès au WAN privé du GIE SESAM-Vitale, l'accompagnement au remplacement des anciennes sondes par",2021-03-11,gie sesam vitale,72267100,Maintenance et acquisition d'équipements cryptographiques,7.3258869908015765,,,,,,
WP11-0078,very_active_buyers,23-163699,24-65111,2023-11-22,conseil departemental de loire-atlanti,72420000,Production et animation de contenus pour les sites internet du Département,2024-06-06,conseil departemental loire atlantique,72611000,Prestations d'assistance à l'adaptation et l'évolution du logiciel de gestion des ressources humaines HR ACCESS,6.471747700394218,,,,,,
WP11-0079,very_active_buyers,19-146419,20-150503,2019-09-28,departement de la sarthe,32584000,travaux de création graphique pour les besoins du Département de la Sarthe,2020-12-11,departement de la sarthe,50312310,Prestations de services de maintien en condition opérationnelle des réseaux informatiques et des installations de téléphonie sur Ip des services du Département et des collèges publ,14.45466491458607,,,,,,
WP11-0080,very_active_buyers,17-62129,17-140377,2017-05-04,conseil regional des pays de la loire,72224000,Assistance à maîtrise d'ouvrage pour accompagner la gestion dématérialisée de l'offre régionale de formation professionnelle - Région Formation,2017-10-05,conseil regional des pays de la loire,72250000,Prestations d'assistance en administration de systèmes,5.059132720105125,,,,,,
