environment_family,environment,horizon_months,horizon_label,source_universe,stratum_dim,stratum_value,n_sources,zero_candidate_rate,mean_candidate_count,median_candidate_count,p75_candidate_count,p90_candidate_count,p95_candidate_count,p99_candidate_count,max_candidate_count,median_time_to_first_candidate_days,p90_time_to_first_candidate_days,median_candidate_notice_family_count,p90_candidate_notice_family_count,cap_reached_rate,median_top1_top2_similarity_margin,buyer_identifier_source,buyer_key_type,buyer_activity_tier,schema_family,publication_year,cpv_division,duration_availability,digital_segment
ambient_future_environment,all_future_notices,24,future_24m,all_appel_offre_sources,buyer_identifier_source,RAW_SIRET_FIELD,14656,0.0,13197.277497270743,15147.0,15653.0,15728.0,15763.0,15820.0,15868,1.0,1.0,,,0.0,,RAW_SIRET_FIELD,,,,,,,
ambient_future_environment,all_future_notices,36,future_36m,all_appel_offre_sources,buyer_identifier_source,NONE,43636,0.0,19942.48943532863,22127.0,22327.0,23261.0,23401.0,23470.0,23520,1.0,1.0,,,0.0,,NONE,,,,,,,
ambient_future_environment,all_future_notices,36,future_36m,all_appel_offre_sources,buyer_identifier_source,RAW_SIRET_FIELD,14656,0.0,17962.201692139737,22043.0,23264.0,23448.0,23469.0,23499.0,23520,1.0,1.0,,,0.0,,RAW_SIRET_FIELD,,,,,,,
ambient_future_environment,all_future_notices,60,future_60m,all_appel_offre_sources,buyer_identifier_source,NONE,43636,0.0,31209.069598496655,36622.0,37789.0,38101.0,38356.0,38530.0,38558,1.0,1.0,,,0.0,,NONE,,,,,,,
ambient_future_environment,all_future_notices,60,future_60m,all_appel_offre_sources,buyer_identifier_source,RAW_SIRET_FIELD,14656,0.0,23023.030294759825,24057.0,33712.0,37753.0,38018.0,38494.0,38558,1.0,1.0,,,0.0,,RAW_SIRET_FIELD,,,,,,,
buyer_compatible_environment,alias_compatible_boamp_key,6,future_6m,all_appel_offre_sources,buyer_identifier_source,NONE,43636,0.10970299752497938,27.4073242277019,11.0,34.0,74.0,109.0,203.0,237,7.0,66.0,,,0.0,,NONE,,,,,,,
buyer_compatible_environment,alias_compatible_boamp_key,6,future_6m,all_appel_offre_sources,buyer_identifier_source,RAW_SIRET_FIELD,14656,0.1306632096069869,22.62643286026201,8.0,33.0,67.0,99.0,133.45000000000073,207,9.0,85.0,,,0.0,,RAW_SIRET_FIELD,,,,,,,
buyer_compatible_environment,alias_compatible_boamp_key,12,future_12m,all_appel_offre_sources,buyer_identifier_source,NONE,43636,0.08458612155101293,52.15766798056651,20.0,65.0,138.0,213.0,391.0,426,8.0,82.0,,,0.0,,NONE,,,,,,,
buyer_compatible_environment,alias_compatible_boamp_key,12,future_12m,all_appel_offre_sources,buyer_identifier_source,RAW_SIRET_FIELD,14656,0.09798034934497817,41.402292576419214,13.0,60.0,126.0,174.0,244.0,304,10.0,104.0,,,0.0,,RAW_SIRET_FIELD,,,,,,,
buyer_compatible_environment,alias_compatible_boamp_key,24,future_24m,all_appel_offre_sources,buyer_identifier_source,NONE,43636,0.07150059583829865,94.87038225318544,33.0,113.0,258.0,417.0,787.0,827,8.0,91.0,,,0.0,,NONE,,,,,,,
buyer_compatible_environment,alias_compatible_boamp_key,24,future_24m,all_appel_offre_sources,buyer_identifier_source,RAW_SIRET_FIELD,14656,0.08324235807860263,69.13503002183405,20.0,101.0,221.0,286.0,416.0,467,11.0,114.0,,,0.0,,RAW_SIRET_FIELD,,,,,,,
buyer_compatible_environment,alias_compatible_boamp_key,36,future_36m,all_appel_offre_sources,buyer_identifier_source,NONE,43636,0.06742139517829315,129.36653222110183,41.0,144.0,355.0,604.0,1149.6500000000015,1212,8.0,95.0,,,0.0,,NONE,,,,,,,
buyer_compatible_environment,alias_compatible_boamp_key,36,future_36m,all_appel_offre_sources,buyer_identifier_source,RAW_SIRET_FIELD,14656,0.07819323144104803,87.74515556768559,24.0,127.0,298.5,364.25,483.0,607,11.0,119.0,,,0.0,,RAW_SIRET_FIELD,,,,,,,
buyer_compatible_environment,alias_compatible_boamp_key,60,future_60m,all_appel_offre_sources,buyer_identifier_source,NONE,43636,0.0643505362544688,178.08765698047483,49.0,189.0,498.0,833.0,1779.6500000000015,1897,8.0,97.0,,,0.0,,NONE,,,,,,,
buyer_compatible_environment,alias_compatible_boamp_key,60,future_60m,all_appel_offre_sources,buyer_identifier_source,RAW_SIRET_FIELD,14656,0.07409934497816593,110.59340884279476,27.0,145.0,387.0,495.25,634.0,831,11.0,123.0,,,0.0,,RAW_SIRET_FIELD,,,,,,,
buyer_compatible_environment,alias_compatible_l2_key,6,future_6m,production_digital_appel_offre_sources,buyer_identifier_source,DIRECT_BOAMP_SIRET,686,0.4956268221574344,1.3819241982507289,1.0,2.0,4.0,6.0,9.0,12,49.0,148.5,,,0.0,,DIRECT_BOAMP_SIRET,,,,,,,
buyer_compatible_environment,alias_compatible_l2_key,6,future_6m,production_digital_appel_offre_sources,buyer_identifier_source,DIRECT_BOAMP_SIRET_CONFLICT_FLAGGED,27,0.37037037037037035,1.7407407407407407,1.0,3.0,4.400000000000002,5.0,5.739999999999998,6,27.0,129.8,,,0.0,,DIRECT_BOAMP_SIRET_CONFLICT_FLAGGED,,,,,,,
buyer_compatible_environment,alias_compatible_l2_key,6,future_6m,production_digital_appel_offre_sources,buyer_identifier_source,DIRECT_ENRICHMENT_NOTICE_JOIN,296,0.5675675675675675,1.0810810810810811,0.0,2.0,4.0,5.0,7.0,8,42.5,124.6,,,0.0,,DIRECT_ENRICHMENT_NOTICE_JOIN,,,,,,,
buyer_compatible_environment,alias_compatible_l2_key,6,future_6m,production_digital_appel_offre_sources,buyer_identifier_source,NAME_FALLBACK,1231,0.5280259951259139,1.9512591389114542,0.0,2.0,7.0,10.0,14.0,18,34.0,125.0,,,0.0,,NAME_FALLBACK,,,,,,,
buyer_compatible_environment,alias_compatible_l2_key,6,future_6m,production_digital_appel_offre_sources,buyer_identifier_source,UNIQUE_NAME_DEPARTMENT_ALIAS,919,0.31229597388465724,2.0076169749727963,1.0,3.0,5.0,6.0,9.0,12,43.0,133.79999999999995,,,0.0,,UNIQUE_NAME_DEPARTMENT_ALIAS,,,,,,,
buyer_compatible_environment,alias_compatible_l2_key,12,future_12m,production_digital_appel_offre_sources,buyer_identifier_source,DIRECT_BOAMP_SIRET,686,0.42128279883381925,2.4679300291545188,1.0,4.0,8.0,9.0,13.0,14,57.0,213.80000000000007,,,0.0,,DIRECT_BOAMP_SIRET,,,,,,,
buyer_compatible_environment,alias_compatible_l2_key,12,future_12m,production_digital_appel_offre_sources,buyer_identifier_source,DIRECT_BOAMP_SIRET_CONFLICT_FLAGGED,27,0.3333333333333333,3.2962962962962963,2.0,7.0,7.400000000000002,8.0,8.0,8,27.0,155.9,,,0.0,,DIRECT_BOAMP_SIRET_CONFLICT_FLAGGED,,,,,,,
buyer_compatible_environment,alias_compatible_l2_key,12,future_12m,production_digital_appel_offre_sources,buyer_identifier_source,DIRECT_ENRICHMENT_NOTICE_JOIN,296,0.4797297297297297,1.75,1.0,3.0,6.0,8.0,9.050000000000011,10,60.0,214.90000000000012,,,0.0,,DIRECT_ENRICHMENT_NOTICE_JOIN,,,,,,,
buyer_compatible_environment,alias_compatible_l2_key,12,future_12m,production_digital_appel_offre_sources,buyer_identifier_source,NAME_FALLBACK,1231,0.44110479285134035,3.712428919577579,1.0,3.0,16.0,20.0,26.0,30,45.0,238.0,,,0.0,,NAME_FALLBACK,,,,,,,
buyer_compatible_environment,alias_compatible_l2_key,12,future_12m,production_digital_appel_offre_sources,buyer_identifier_source,UNIQUE_NAME_DEPARTMENT_ALIAS,919,0.19042437431991294,3.7704026115342764,3.0,6.0,9.0,11.0,14.0,18,56.0,234.0,,,0.0,,UNIQUE_NAME_DEPARTMENT_ALIAS,,,,,,,
buyer_compatible_environment,alias_compatible_l2_key,24,future_24m,production_digital_appel_offre_sources,buyer_identifier_source,DIRECT_BOAMP_SIRET,686,0.36151603498542273,4.290087463556851,1.0,6.75,14.0,16.0,21.0,23,66.5,350.20000000000005,,,0.0,,DIRECT_BOAMP_SIRET,,,,,,,
buyer_compatible_environment,alias_compatible_l2_key,24,future_24m,production_digital_appel_offre_sources,buyer_identifier_source,DIRECT_BOAMP_SIRET_CONFLICT_FLAGGED,27,0.3333333333333333,4.555555555555555,2.0,8.5,12.400000000000002,13.7,14.739999999999998,15,27.0,155.9,,,0.0,,DIRECT_BOAMP_SIRET_CONFLICT_FLAGGED,,,,,,,
buyer_compatible_environment,alias_compatible_l2_key,24,future_24m,production_digital_appel_offre_sources,buyer_identifier_source,DIRECT_ENRICHMENT_NOTICE_JOIN,296,0.42905405405405406,2.516891891891892,1.0,3.0,8.0,11.25,17.05000000000001,20,68.0,329.6,,,0.0,,DIRECT_ENRICHMENT_NOTICE_JOIN,,,,,,,
buyer_compatible_environment,alias_compatible_l2_key,24,future_24m,production_digital_appel_offre_sources,buyer_identifier_source,NAME_FALLBACK,1231,0.3655564581640942,6.694557270511779,1.0,5.0,34.0,41.0,46.0,49,59.0,386.0,,,0.0,,NAME_FALLBACK,,,,,,,
buyer_compatible_environment,alias_compatible_l2_key,24,future_24m,production_digital_appel_offre_sources,buyer_identifier_source,UNIQUE_NAME_DEPARTMENT_ALIAS,919,0.1305767138193689,7.016322089227421,5.0,11.0,17.0,20.0,24.0,28,64.0,300.0,,,0.0,,UNIQUE_NAME_DEPARTMENT_ALIAS,,,,,,,
buyer_compatible_environment,alias_compatible_l2_key,36,future_36m,production_digital_appel_offre_sources,buyer_identifier_source,DIRECT_BOAMP_SIRET,686,0.33090379008746357,5.739067055393586,2.0,9.0,20.0,24.0,27.0,29,73.0,448.59999999999974,,,0.0,,DIRECT_BOAMP_SIRET,,,,,,,
buyer_compatible_environment,alias_compatible_l2_key,36,future_36m,production_digital_appel_offre_sources,buyer_identifier_source,DIRECT_BOAMP_SIRET_CONFLICT_FLAGGED,27,0.3333333333333333,4.555555555555555,2.0,8.5,12.400000000000002,13.7,14.739999999999998,15,27.0,155.9,,,0.0,,DIRECT_BOAMP_SIRET_CONFLICT_FLAGGED,,,,,,,
buyer_compatible_environment,alias_compatible_l2_key,36,future_36m,production_digital_appel_offre_sources,buyer_identifier_source,DIRECT_ENRICHMENT_NOTICE_JOIN,296,0.42905405405405406,2.5777027027027026,1.0,3.0,8.0,12.0,19.05000000000001,22,68.0,329.6,,,0.0,,DIRECT_ENRICHMENT_NOTICE_JOIN,,,,,,,
buyer_compatible_environment,alias_compatible_l2_key,36,future_36m,production_digital_appel_offre_sources,buyer_identifier_source,NAME_FALLBACK,1231,0.3379366368805849,9.109666937449228,2.0,6.0,43.0,60.0,66.0,71,64.0,473.0000000000001,,,0.0,,NAME_FALLBACK,,,,,,,
buyer_compatible_environment,alias_compatible_l2_key,36,future_36m,production_digital_appel_offre_sources,buyer_identifier_source,UNIQUE_NAME_DEPARTMENT_ALIAS,919,0.09793253536452666,9.694232861806311,7.0,15.0,23.0,28.0,33.0,36,69.0,372.20000000000005,,,0.0,,UNIQUE_NAME_DEPARTMENT_ALIAS,,,,,,,
buyer_compatible_environment,alias_compatible_l2_key,60,future_60m,production_digital_appel_offre_sources,buyer_identifier_source,DIRECT_BOAMP_SIRET,686,0.31486880466472306,7.543731778425656,2.0,10.0,25.0,35.0,42.0,44,76.5,526.3000000000001,,,0.0,,DIRECT_BOAMP_SIRET,,,,,,,
buyer_compatible_environment,alias_compatible_l2_key,60,future_60m,production_digital_appel_offre_sources,buyer_identifier_source,DIRECT_BOAMP_SIRET_CONFLICT_FLAGGED,27,0.3333333333333333,4.555555555555555,2.0,8.5,12.400000000000002,13.7,14.739999999999998,15,27.0,155.9,,,0.0,,DIRECT_BOAMP_SIRET_CONFLICT_FLAGGED,,,,,,,
buyer_compatible_environment,alias_compatible_l2_key,60,future_60m,production_digital_appel_offre_sources,buyer_identifier_source,DIRECT_ENRICHMENT_NOTICE_JOIN,296,0.42905405405405406,2.5777027027027026,1.0,3.0,8.0,12.0,19.05000000000001,22,68.0,329.6,,,0.0,,DIRECT_ENRICHMENT_NOTICE_JOIN,,,,,,,
buyer_compatible_environment,alias_compatible_l2_key,60,future_60m,production_digital_appel_offre_sources,buyer_identifier_source,NAME_FALLBACK,1231,0.31762794476035744,12.54021121039805,2.0,7.0,43.0,94.0,106.0,110,70.5,528.6000000000001,,,0.0,,NAME_FALLBACK,,,,,,,
buyer_compatible_environment,alias_compatible_l2_key,60,future_60m,production_digital_appel_offre_sources,buyer_identifier_source,UNIQUE_NAME_DEPARTMENT_ALIAS,919,0.06855277475516866,13.797606093579978,10.0,22.0,34.0,39.0,46.0,48,71.0,496.0,,,0.0,,UNIQUE_NAME_DEPARTMENT_ALIAS,,,,,,,
buyer_compatible_environment,same_normalized_name,6,future_6m,all_appel_offre_sources,buyer_identifier_source,NONE,43636,0.0959299660830507,32.17322852690439,13.0,45.0,86.0,137.0,203.0,237,7.0,63.0,,,0.0,,NONE,,,,,,,
buyer_compatible_environment,same_normalized_name,6,future_6m,all_appel_offre_sources,buyer_identifier_source,RAW_SIRET_FIELD,14656,0.10876091703056769,30.951623908296945,12.0,48.0,87.0,121.0,178.0,206,7.0,70.0,,,0.0,,RAW_SIRET_FIELD,,,,,,,
buyer_compatible_environment,same_normalized_name,12,future_12m,all_appel_offre_sources,buyer_identifier_source,NONE,43636,0.07292144101200844,61.72942066183885,24.0,86.0,161.0,278.0,391.0,426,7.0,76.0,,,0.0,,NONE,,,,,,,
buyer_compatible_environment,same_normalized_name,12,future_12m,all_appel_offre_sources,buyer_identifier_source,RAW_SIRET_FIELD,14656,0.08467521834061136,56.31700327510917,19.0,89.0,159.0,235.0,340.0,379,7.0,85.0,,,0.0,,RAW_SIRET_FIELD,,,,,,,
buyer_compatible_environment,same_normalized_name,24,future_24m,all_appel_offre_sources,buyer_identifier_source,NONE,43636,0.06047758731322761,114.58751947932899,41.0,156.0,292.0,551.0,787.0,827,7.0,84.40000000000146,,,0.0,,NONE,,,,,,,
buyer_compatible_environment,same_normalized_name,24,future_24m,all_appel_offre_sources,buyer_identifier_source,RAW_SIRET_FIELD,14656,0.07430403930131005,94.69336790393012,28.0,143.0,282.0,363.0,621.0,712,7.0,92.0,,,0.0,,RAW_SIRET_FIELD,,,,,,,
buyer_compatible_environment,same_normalized_name,36,future_36m,all_appel_offre_sources,buyer_identifier_source,NONE,43636,0.056765056375469795,159.7423686864057,53.0,203.0,418.0,824.0,1149.6500000000015,1212,7.0,87.0,,,0.0,,NONE,,,,,,,
buyer_compatible_environment,same_normalized_name,36,future_36m,all_appel_offre_sources,buyer_identifier_source,RAW_SIRET_FIELD,14656,0.07225709606986899,119.95517194323143,32.0,169.0,371.0,491.0,842.9000000000015,996,7.0,95.0,,,0.0,,RAW_SIRET_FIELD,,,,,,,
buyer_compatible_environment,same_normalized_name,60,future_60m,all_appel_offre_sources,buyer_identifier_source,NONE,43636,0.05371711430928591,229.64946374553122,67.0,260.0,632.0,1314.0,1779.6500000000015,1897,7.0,90.0,,,0.0,,NONE,,,,,,,
buyer_compatible_environment,same_normalized_name,60,future_60m,all_appel_offre_sources,buyer_identifier_source,RAW_SIRET_FIELD,14656,0.07048307860262008,150.13134552401746,35.0,180.0,478.5,704.25,1238.9000000000015,1403,7.0,96.0,,,0.0,,RAW_SIRET_FIELD,,,,,,,
buyer_compatible_environment,same_siren,6,future_6m,all_appel_offre_sources,buyer_identifier_source,NONE,43636,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,0.0,,NONE,,,,,,,
buyer_compatible_environment,same_siren,6,future_6m,all_appel_offre_sources,buyer_identifier_source,RAW_SIRET_FIELD,14656,0.1218613537117904,23.502592794759824,9.0,34.0,69.0,100.0,133.45000000000073,207,9.0,81.0,,,0.0,,RAW_SIRET_FIELD,,,,,,,
buyer_compatible_environment,same_siren,12,future_12m,all_appel_offre_sources,buyer_identifier_source,NONE,43636,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,0.0,,NONE,,,,,,,
buyer_compatible_environment,same_siren,12,future_12m,all_appel_offre_sources,buyer_identifier_source,RAW_SIRET_FIELD,14656,0.09067958515283843,43.05840611353712,15.0,61.0,130.0,178.0,244.0,304,10.0,99.0,,,0.0,,RAW_SIRET_FIELD,,,,,,,
buyer_compatible_environment,same_siren,24,future_24m,all_appel_offre_sources,buyer_identifier_source,NONE,43636,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,0.0,,NONE,,,,,,,
buyer_compatible_environment,same_siren,24,future_24m,all_appel_offre_sources,buyer_identifier_source,RAW_SIRET_FIELD,14656,0.07648744541484716,72.02804312227074,23.0,105.0,227.0,289.0,416.0,467,10.0,110.0,,,0.0,,RAW_SIRET_FIELD,,,,,,,
buyer_compatible_environment,same_siren,36,future_36m,all_appel_offre_sources,buyer_identifier_source,NONE,43636,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,0.0,,NONE,,,,,,,
buyer_compatible_environment,same_siren,36,future_36m,all_appel_offre_sources,buyer_identifier_source,RAW_SIRET_FIELD,14656,0.07157478165938864,91.60166484716157,27.0,134.0,310.0,377.0,498.0,607,10.0,113.0,,,0.0,,RAW_SIRET_FIELD,,,,,,,
buyer_compatible_environment,same_siren,60,future_60m,all_appel_offre_sources,buyer_identifier_source,NONE,43636,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,0.0,,NONE,,,,,,,
buyer_compatible_environment,same_siren,60,future_60m,all_appel_offre_sources,buyer_identifier_source,RAW_SIRET_FIELD,14656,0.06713973799126638,115.53213700873363,31.0,153.0,398.5,511.0,642.4500000000007,831,10.0,117.0,,,0.0,,RAW_SIRET_FIELD,,,,,,,
buyer_compatible_environment,same_siret,6,future_6m,all_appel_offre_sources,buyer_identifier_source,NONE,43636,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,0.0,,NONE,,,,,,,
buyer_compatible_environment,same_siret,6,future_6m,all_appel_offre_sources,buyer_identifier_source,RAW_SIRET_FIELD,14656,0.1306632096069869,22.62643286026201,8.0,33.0,67.0,99.0,133.45000000000073,207,9.0,85.0,,,0.0,,RAW_SIRET_FIELD,,,,,,,
buyer_compatible_environment,same_siret,12,future_12m,all_appel_offre_sources,buyer_identifier_source,NONE,43636,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,0.0,,NONE,,,,,,,
buyer_compatible_environment,same_siret,12,future_12m,all_appel_offre_sources,buyer_identifier_source,RAW_SIRET_FIELD,14656,0.09798034934497817,41.402292576419214,13.0,60.0,126.0,174.0,244.0,304,10.0,104.0,,,0.0,,RAW_SIRET_FIELD,,,,,,,
buyer_compatible_environment,same_siret,24,future_24m,all_appel_offre_sources,buyer_identifier_source,NONE,43636,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,0.0,,NONE,,,,,,,
