buyer_key,n_notices
NAME:sdis de la sarthe,158
NAME:vendee eau 85,155
NAME:centre hospitalier de cholet,154
NAME:ville de pornichet,154
NAME:esid de rennes,153
NAME:dir ouest,150
SIRET:26530023600014,146
NAME:mairie de saint-gilles-croix-de-vie,140
NAME:ville des sables d olonne,140
SIRET:21440162200011,139
SIRET:21440143200015,139
NAME:cc ocean marais de monts,139
NAME:alter public,139
NAME:i f c e,139
NAME:sec gal pour l adm min interieur ouest,137
NAME:communaute de communes de sable,136
NAME:universite de rennes 1,135
NAME:communaute d agglomeration du niortais,133
NAME:ville de sable sur sarthe,131
SIRET:13002974700016,131
NAME:gie sesam vitale,130
NAME:etablissement public foncier bretagne,129
NAME:cci de maine et loire,129
NAME:institution amenagement de la vilaine,126
SIRET:24440061000055,124
NAME:communaute de communes baugeois vallee,121
NAME:conservatoire du littoral,121
SIRET:31468496000045,120
NAME:angers loire metropole 49,118
NAME:cg49,118
NAME:etablissement francais du sang,118
NAME:loire ocean developpement,115
NAME:ugecam bretagne - pays de la loire,115
NAME:commune de saint jean de monts,113
SIRET:21490007800012,113
NAME:communaute de communes de grand lieu,112
NAME:c h d la roche sur yon-lucon-montaigu,112
NAME:pole emploi pays de la loire,111
NAME:mairie de reze,111
SIRET:25850296200040,111
NAME:communaute communes pays de redon,109
NAME:cnfpt - delegation pays de la loire,108
NAME:spr pays de la loire,108
SIRET:28720026500018,108
SIRET:20007167800011,106
NAME:ca les sables d olonne agglomeration,106
NAME:cte de communes d erdre et gesvres,104
NAME:dir interregionale sces penitentiaires,104
NAME:sdis49,103
NAME:comcom des vallees du haut-anjou,102
NAME:atlantic eau,99
SIRET:21490099500017,98
NAME:comcom estuaire et sillon,97
NAME:cci nantes saint-nazaire,96
NAME:ccir pays de la loire,96
NAME:ville de saint-hilaire-de-riez,96
NAME:cc sud vendee littoral,95
NAME:ville d avrille,94
NAME:clisson sevre et maine agglo,93
NAME:ville d allonnes,93
NAME:vendee grand littoral,93
NAME:loire ocean metropole amenagement,92
SIRET:25490130900032,91
SIRET:20008213900011,90
NAME:montrevault-sur-evre,90
SIRET:05720113900045,88
NAME:com communes du pays d ancenis,88
NAME:ville de saint berthevin,87
NAME:vendee expansion,86
SIRET:45151864100035,86
NAME:ville d angers 49,85
NAME:inra angers nantes,84
NAME:cenovia cites,84
NAME:vendee,84
SIRET:21440190300155,82
SIRET:24440055200026,81
NAME:commune de ombree d anjou,80
SIRET:26850242400016,80
NAME:saint barthelemy d anjou,80
NAME:cnieg,78
NAME:rectorat de l academie de nantes,78
SIRET:21610001600015,76
NAME:ecole national sup d arts et metiers,76
NAME:spl sonadev territoires publics,76
NAME:communaute de communes du sud estuaire,76
NAME:centre hospitalier de saint-nazaire,75
NAME:synd dep d energie et d eqpt de vendee,74
NAME:saumur aggloproprete,74
NAME:meldomys,74
NAME:commune des herbiers,74
NAME:mairie de suce sur erdre,73
NAME:prefet de la region pays de la loire,73
NAME:mindef ema dc sca pfaf co rennes,73
NAME:ville de vertou,73
NAME:communaute communes parthenay-gatine,73
SIRET:21850191400566,72
SIRET:21350051500019,72
NAME:commune de vertou,72
NAME:cte de communes de la region de blain,71
SIRET:18007003900557,70
SIRET:18009202500121,70
NAME:sydela,70
NAME:centre hospitalier de saumur,69
NAME:commune de la baule,69
SIRET:21440055800018,69
NAME:cesame - ch de sainte gemmes sur loire,69
SIRET:20007116500167,69
NAME:mairie de saint etienne de montluc,69
SIRET:20004131700013,68
NAME:sna ouest,68
NAME:sdis 49,67
SIRET:22850001300765,67
SIRET:21440020200013,67
NAME:voies navigables de france,67
SIRET:13003051300019,67
NAME:territoire d energie loire-atlantique,66
NAME:commune de mauges sur loire,66
NAME:commune de parigne l eveque,66
NAME:ccas du mans,66
SIRET:20007273400011,66
NAME:ville de la roche-sur-yon,66
SIRET:13002036500016,66
NAME:ministere des affaires etrangeres,65
SIRET:21720003900014,65
NAME:mindef sga dcsid esid bordeaux,64
NAME:cte de cnes chateaubriant-derval,64
NAME:urssaf des pays de la loire,64
NAME:commune de vallet,64
NAME:service commun d achats,63
NAME:cmar pays de loire,63
SIRET:20002377800018,63
NAME:sgami ouest,63
SIRET:57615027000089,63
SIRET:21440131700018,62
SIRET:83469240200029,62
SIRET:20006763500132,62
SIRET:20007187600011,62
NAME:trivalis 85,61
NAME:st gilles croix de vie agglomeration,61
NAME:chu nantes,61
NAME:ville de quimperle,61
NAME:universite gustave eiffel,61
NAME:comm comm de doue la fontaine,60
NAME:srd,60
NAME:chambre reg agri pays de la loire,60
NAME:centre communal d action sociale,60
SIRET:20003329800015,60
SIRET:18440132100015,59
SIRET:20007326000016,59
NAME:caisse des depots,59
NAME:communaute de communes du pays sabolien,59
NAME:mairie de cordemais,58
NAME:samoa,58
NAME:essarts en bocage,58
NAME:cc estuaire et sillon,57
NAME:commune de loire authion,57
SIRET:86080007700098,57
NAME:cte de communes du pays des herbiers,57
SIRET:24720009000014,57
NAME:region des pays de la loire,57
NAME:commune d ecommoy,56
SIRET:20005588700018,56
SIRET:24440058600065,56
SIRET:24610066300011,56
NAME:caf de la loire atlantique,55
NAME:ville d ancenis,55
SIRET:13000170400589,55
SIRET:20005359300014,55
NAME:centre hospitalier loire vendee ocean,55
NAME:ars pays de la loire,54
NAME:syndicat mixte centre nord atlantique,54
NAME:geves,54
NAME:frg02,54
NAME:ville de thouare-sur-loire,54
NAME:dir interdepartementale des rte ouest,54
NAME:nantes universite,54
NAME:mancelle d habitation,53
NAME:commune de cesson sevigne,53
NAME:arafer,53
NAME:esat foyers,53
SIRET:24440043800127,52
NAME:commune du croisic,52
NAME:la cite des congres de nantes,52
NAME:chambre de commerce et d industrie,52
NAME:syndicat departemental d energie,52
NAME:conseil general de la sarthe,52
NAME:grand lieu communaute,52
NAME:communaute de cnes terres de montaigu,52
NAME:c s t b,51
SIRET:27720003600196,51
NAME:dragages ports,51
NAME:sarthe habitat,51
NAME:epf de la vendee,51
NAME:cholet agglomeration,50
NAME:shema,50
SIRET:21850092400012,50
NAME:cc du pays de st fulgent les essarts,50
NAME:ville de bouchemaine,50
NAME:ville - les ponts-de-ce,50
NAME:inst interdpt bassin sevre niortaise,49
SIRET:21440047500015,49
NAME:cd 44,49
NAME:cte de cnes du pays fontenay le comte,49
NAME:communaute de communes sevre et loire,49
SIRET:85580046200027,49
NAME:pole sante sarthe et loire,49
SIRET:20006947400019,48
NAME:ifsttar,48
SIRET:20006895500018,48
NAME:comsopgn,47
NAME:agence regionale pays de la loire ti,47
NAME:drac pays de la loire,47
SIRET:20007190000019,47
NAME:cci pays de la loire,47
NAME:synd mixte du circuit des 24h du mans,47
NAME:ddt d angers,46
NAME:commune de la tranche-sur-mer,46
NAME:grand lieu communaute 44,46
NAME:reseau canope,46
SIRET:24850066200015,46
NAME:cnam,45
NAME:mairie de blain,45
NAME:agce pour l enst fr a l etranger,45
NAME:ville de le pouliguen,45
SIRET:52884815300029,45
NAME:communaute d agglomeration saumur val de loire 49,45
SIRET:21720154000010,45
NAME:mairie de nort-sur-erdre,45
NAME:region bretagne,45
NAME:sdis de la mayenne,45
NAME:c h s de la sarthe,45
NAME:commune d ancenis-saint-gereon,45
SIRET:25440109400068,45
NAME:cc pays de fontenay vendee,45
NAME:cte d agglo saumur loire developpement,45
NAME:institut mines-telecom atlantique,45
NAME:rectorat division scus,45
NAME:commune de l ile d yeu,44
SIRET:21440154900016,44
NAME:prefecture de la vendee,44
NAME:cnfpt - inset d angers,44
SIRET:21850234200015,44
SIRET:42869200800157,43
SIRET:19720916600010,43
NAME:ville de guerande,43
NAME:ville de corbas,43
NAME:audencia eesc,43
SIRET:21440026900012,43
NAME:commune olonne sur mer,43
NAME:ville de donges,42
SIRET:28440001700018,42
SIRET:20007272600017,42
NAME:ministere de la culture,42
SIRET:24850025800046,42
NAME:syndicat d eau de l anjou,42
SIRET:34200781200023,42
SIRET:21440114300018,42
NAME:ville de reze,41
NAME:dir interdepartementale routes ouest,41
NAME:smirgeom est sarthe,41
SIRET:20007154600010,41
SIRET:21850222700018,41
NAME:saem vendee,41
NAME:lycee de narce,40
NAME:caf de la sarthe,40
NAME:commune de beaupreau en mauges,40
NAME:syndicat mixte valor3e,40
NAME:cpam de loire-atlantique,40
SIRET:20004248900019,40
NAME:redon agglomeration,39
SIRET:19753472000010,39
SIRET:20006734600011,39
SIRET:13001535700010,39
NAME:gie des epl de vendee,39
SIRET:21850226800012,39
SIRET:52411092100037,39
NAME:espacil habitat,39
NAME:syndicat mixte du sud est vendeen pour,39
NAME:saeml vendee energie,39
NAME:agence de l eau loire-bretagne,39
SIRET:13000853500010,39
SIRET:21490328800014,39
NAME:office public de l habitat,38
NAME:mairie de varades,38
NAME:commune de fontenay le comte,38
SIRET:13003148700015,38
NAME:trelaze,38
NAME:commune de reze,38
NAME:commune de soullans,38
NAME:ville de la baule-escoublac,38
SIRET:17350005900014,38
NAME:cte de cnes de l ile de noirmoutier,37
SIRET:13001232100050,37
NAME:ville de saint hilaire de riez,37
SIRET:27850001200184,37
SIRET:20008322800011,37
NAME:commune de chemille en anjou,37
NAME:sonadev,37
NAME:cte de communes du pays de redon,37
SIRET:21440215800015,37
NAME:ville de parthenay,36
SIRET:28850001000013,36
SIRET:28490001600023,36
SIRET:83095506800044,36
NAME:adoma,36
SIRET:20007023300016,36
SIRET:21440043400012,36
SIRET:21530130000012,36
NAME:cdc de l oree de berce belinois,36
NAME:ministeres economiques et financiers,36
NAME:ville d ecouflant,36
NAME:commune de savigne l eveque,36
SIRET:18000501900047,36
SIRET:26720051700089,36
NAME:epsm de la sarthe,36
NAME:societe d equipement de la touraine,36
NAME:commune de challans,36
NAME:caisse primaire assur maladie maine lo,35
NAME:mairie de st herblain,35
NAME:communaute de communes du pays flechois,35
SIRET:20008111500012,35
NAME:si energies de maine et loire,35
SIRET:58480162500040,35
NAME:anjou loir et sarthe,35
SIRET:20007186800158,35
SIRET:20006001000085,34
NAME:uc-irsa,34
NAME:cc loire layon aubance,34
NAME:cc du pays de mortagne,34
NAME:mairie de bauge en anjou,34
NAME:mairie du croisic,34
SIRET:20007193400018,34
SIRET:19440100600011,34
NAME:spl le mans evenements,34
SIRET:24850058900317,33
SIRET:00718051600135,33
NAME:communaute d agglomeration de saintes,33
NAME:grand port maritime de nantes saint-nazaire,33
SIRET:13002068800011,33
NAME:aubigny les clouzeaux,33
NAME:spm ddtm44,33
NAME:mayenne communaute,33
NAME:nantes metropole amenagement,33
SIRET:20007155300016,33
SIRET:18850049000019,33
NAME:saint philbert de bouaine,32
NAME:nantes metropole habitat,32
NAME:chambre agriculture pays de la loire,32
SIRET:21530147400015,32
NAME:commune de basse-goulaine,32
NAME:commune de coulaines,32
NAME:centre hospitalier cote de lumiere,32
NAME:communaute de communes du sud-estuaire,32
NAME:sidaep des mauges et de la gatine,32
SIRET:20007037300010,31
NAME:cte de communes du val de sarthe,31
SIRET:21440045900019,31
NAME:commune de la chevroliere,31
NAME:commune de le pellerin,31
NAME:sce departemental incendie et secours,31
NAME:centre hospitalier de chateaubriant,31
NAME:cc challans gois communaute,31
NAME:ecole des mines de nantes,31
NAME:ville de trelaze,31
SIRET:92084215000012,31
SIRET:39172288100052,30
NAME:departement des cotes d armor,30
NAME:epf de la vendee 123 boulevard louis blanc 85000 la roche sur yon,30
NAME:insee,30
NAME:lycee chevrollier,30
NAME:centre de gestion fpt loire-atlantique,30
NAME:conseil general de la mayenne,30
NAME:mairie de la chapelle sur erdre,30
NAME:altantic eau,30
NAME:commune de saint jean de monts 85,30
NAME:ville de talmont saint hilaire,30
NAME:syctom du loire beconnais,30
NAME:msa loire-atlantique - vendee,30
NAME:mairie de saint-herblain,30
SIRET:20007740200036,30
SIRET:24490088200097,30
NAME:ville de beaucouze,29
SIRET:21720132600014,29
SIRET:24720044700057,29
SIRET:20005433600017,29
NAME:ville de saint herblain,29
NAME:ville de la baule escoublac,29
NAME:ubs,29
NAME:universite de rennes,29
NAME:mairie de pornic,29
NAME:concarneau cornouaille agglomeration,29
NAME:etablissement public loire,29
NAME:centre hospitalier du mans,29
SIRET:54665016900057,29
SIRET:78645126000024,29
NAME:commune de beaufort en anjou,29
SIRET:21850288800017,29
SIRET:21720264700012,29
NAME:communaute de communes ocean marais de monts 85,29
NAME:commune d olonne sur mer,28
SIRET:24720062900076,28
SIRET:21440201800011,28
SIRET:21440158000011,28
NAME:ca quimperle communaute,28
NAME:ville de coulaines,28
NAME:universite de la rochelle,28
SIRET:20006001000010,28
NAME:departement de vendee,28
NAME:departement du maine et loire,28
SIRET:52926090300016,28
NAME:cte de cnes des alpes mancelles,28
NAME:ville d auvers le hamon,28
NAME:ville de sainte-luce-sur-loire,28
NAME:sonadev territoires publics,28
SIRET:84097537900016,27
SIRET:88324710800011,27
SIRET:21850047800209,27
NAME:communaute de communes vendee grand littoral 85,27
SIRET:21720095500011,27
SIRET:17350111500864,27
NAME:groupement d interet public arronax,27
NAME:mairie de brissac-quince,27
NAME:centre hospitalier specialise de blain,27
NAME:commune de cesson-sevigne,27
NAME:are bordeaux,27
NAME:commune d allonnes,27
NAME:ville de morlaix,27
NAME:commune de la tranche sur mer,27
NAME:spl sonadev,27
NAME:mission val de loire syndicat mixte i,27
NAME:commune de mouilleron le captif,27
NAME:agrocampus ouest,26
SIRET:79820357600029,26
NAME:centre hospitalier mazurelle,26
NAME:maine loire habitat office pub habitat,26
SIRET:78601955400116,26
NAME:communaute de communes sud vendee littoral,26
SIRET:24850019100023,26
SIRET:20004218200010,26
NAME:centre des monuments nationaux,26
SIRET:20008339200015,26
SIRET:18001404501825,26
NAME:centre hospitalier du nord mayenne,25
NAME:cenovia,25
NAME:cte cnes du pays de chateau de gontier,25
NAME:hopital du baugeois et de la vallee,25
NAME:sca pfaf so,25
NAME:cc loir luce berce,25
NAME:societe publique regionale abbaye de fontevraud,25
NAME:commune le lude,25
NAME:regie dept passages d eau de vendee,25
SIRET:22220001600327,25
SIRET:21440069900143,25
SIRET:21440018600018,25
SIRET:21490246200016,25
SIRET:24530038900039,25
NAME:angers loire restauration,25
SIRET:38105376800028,25
NAME:3rd anjou,25
SIRET:84097537900024,24
SIRET:79915633600015,24
NAME:institut public ocens,24
NAME:ville du pouliguen,24
NAME:commune de sable-sur-sarthe,24
NAME:commune de bouaye,24
NAME:satt ouest valorisation,24
NAME:communaute de communes pays de fontenay-vendee,24
NAME:epcc chemins du patrimoine,24
NAME:commune de montoir de bretagne,24
SIRET:25720146700012,24
NAME:ville d ancenis-saint-gereon,23
NAME:ministere de la justice,23
NAME:inst nal recherches archeologiques pre,23
SIRET:20005743800018,23
SIRET:19350936100013,23
SIRET:79924570900016,23
NAME:cahpp mandataire habilite,23
SIRET:21850128600015,23
SIRET:79386644300047,23
SIRET:24490080900116,23
NAME:nantes habitat,23
NAME:cc vendee grand littoral,23
NAME:carsat pays de loire,23
NAME:service marche public,23
SIRET:21850113800018,23
NAME:commune d avrille,23
NAME:residences du val d oudon,23
SIRET:79754898900020,23
NAME:conseil general d ille-et-vilaine,23
NAME:sictom loir et sarthe,22
NAME:msa mayenne orne sarthe,22
NAME:ville de saint gilles croix de vie 85,22
NAME:spl laval mayenne amenagements,22
NAME:terres de montaigu cte d agglomeration,22
NAME:cour d appel de rennes,22
NAME:communaute de communes vie et boulogne,22
NAME:ccas de la roche-sur-yon,22
NAME:angers nantes opera syndicat mixte,22
NAME:conseil departemental de loire-atlanti,22
SIRET:21440204200110,22
SIRET:26440013600018,22
SIRET:82435924400012,22
NAME:gip groupement technocampus,22
SIRET:24720034800115,22
SIRET:06320005900044,21
NAME:centre communal d action sociale de la ville du mans,21
SIRET:13001380800014,21
SIRET:13000548113153,21
SIRET:19753471200017,21
SIRET:13001044000019,21
NAME:cnfpt,21
SIRET:21440209100018,21
NAME:metropole,21
SIRET:20007270000012,21
SIRET:25450200800058,21
SIRET:21440135800095,21
SIRET:21850294600013,21
SIRET:25440124300012,21
NAME:cte de cnes loire et sillon,21
SIRET:24720068600100,21
NAME:communaute de communes des coevrons,21
SIRET:21440132500011,21
SIRET:21440129100015,21
SIRET:53516441200020,21
SIRET:06320005900028,21
NAME:cte de cnes loire-layon-aubance,20
NAME:ecole nationale superieure maritime,20
SIRET:13002928300012,20
SIRET:21850109600018,20
NAME:mairie des sables d olonne,20
NAME:ville de coueron,20
NAME:ville de saint brevin,20
NAME:ville de clisson 3 grande rue de la trinite 44190 clisson,20
NAME:dgfip-bureau bp2c,20
SIRET:20009100700019,20
NAME:cc du pays des achards,20
NAME:mairie de l ile d yeu,20
NAME:commune de saintes,20
SIRET:20000043800099,20
NAME:iphv les hauts thebaudieres,20
NAME:soc publique reg abe de fontevraud,20
NAME:podeliha,20
NAME:commune,20
SIRET:24720042100037,20
NAME:sem laval mayenne amenagements,20
SIRET:24850062100011,20
NAME:synd mixte mrai st jean monts beauvoir,20
NAME:commune de la ferte-bernard,19
NAME:commune de saint-calais,19
NAME:ville de saint brevin les pins,19
NAME:epcc esbanm,19
NAME:ville d aizenay,19
NAME:mefi-mbcpfpre,19
NAME:syndicat mixte du val de loir,19
SIRET:24440043800044,19
NAME:chu angers,19
NAME:creps des pays de la loire,19
SIRET:24440050300110,19
NAME:mairie de thouare-sur-loire,19
SIRET:05720113900029,19
NAME:loire-atlantique developpement - spl,19
SIRET:49517615800014,19
NAME:territoire energie loire atlantique,19
SIRET:20005438500014,19
SIRET:13000460900017,19
NAME:cif cooperative,19
NAME:dreal bretagne,19
SIRET:21490015100017,19
NAME:territoire d energie mayenne,19
SIRET:20007162900121,19
NAME:commune de pleneuf-val-andre,18
NAME:gie fontevraud,18
NAME:g c s m s estuaire,18
SIRET:17440000200039,18
SIRET:21850163300018,18
SIRET:21720054200017,18
NAME:chartres amenagement,18
NAME:ville de change,18
NAME:commune de la fleche,18
NAME:ville de saint-malo,18
NAME:ville de mayenne,18
NAME:carsat pays de la loire,18
NAME:mairie de savenay,18
NAME:sm megalis,18
SIRET:13002612300013,18
NAME:communaute de communes du pays de craon,18
NAME:cci du mans et de la sarthe,18
NAME:syndicat mixte bassin versant isac,18
NAME:com de communes de belle ile en mer,18
NAME:maine-et-loire habitat,18
SIRET:17350111500161,18
NAME:commune de divatte sur loire,18
NAME:mairie de ponts de ce,18
NAME:communaute de communes de l ernee,18
NAME:cc pays de loue vegre champagne,18
SIRET:19442312500021,17
NAME:loire atlantique developpement-sela,17
NAME:lycee nicolas appert,17
NAME:c c de la region de nozay,17
SIRET:53961650800021,17
NAME:eptb de la sevre nantaise,17
SIRET:12006401900074,17
SIRET:17440430100015,17
SIRET:13001540700013,17
SIRET:20005430200019,17
SIRET:20004133300267,17
NAME:ville de tregueux,17
SIRET:42882285202256,17
SIRET:43995061900098,17
SIRET:21440169700013,17
NAME:syndicat mixte atlantic eau,17
SIRET:21440110100016,17
SIRET:26440270200106,17
NAME:cc oree de berce-belinois,17
NAME:centre hospitalier f robert,17
NAME:communaute communes pays des essarts,17
SIRET:35282361100053,17
NAME:cdc sud est du pays manceau,17
NAME:communaute de communes de pornic,17
NAME:mairie de la montagne,17
NAME:urssaf d ille-et-vilaine,17
NAME:commune yvre l eveque,17
NAME:cte de cnes du pays de meslay-grez,17
NAME:sgap ouest,17
SIRET:21490353600016,17
SIRET:25490134100027,17
NAME:commune la suze sur sarthe,17
NAME:smictom de la vallee de l authion,17
NAME:spic - arena loire trelaze,17
NAME:syndicat d eau de l anjou 49,17
NAME:pays de saint gilles croix de vie agglomeration 85,17
NAME:pays de blain communaute,17
NAME:commune saint philbert de grand lieu,17
SIRET:24490001500029,17
NAME:cte de cnes de la vallee de clisson,17
NAME:centre hospitalier paul chapron,17
SIRET:15200039400014,17
SIRET:79781903400043,17
NAME:etat - medad - c e t e de l ouest,16
NAME:commune de meillac,16
SIRET:12001201800111,16
SIRET:51516374900010,16
NAME:ville du cellier,16
NAME:prefecture de maine-et-loire,16
SIRET:24850053000113,16
NAME:caf touraine,16
NAME:ville de saumur 49,16
SIRET:19561718800600,16
NAME:chambre de metiers et de l artisanat,16
SIRET:24490001500045,16
NAME:armement des phares et balises,16
NAME:cpam de la sarthe,16
NAME:cte cne pontchateau-st gildas des bois,16
NAME:cte cnes coeur d estuaire,16
NAME:cte de cnes du castelbriantais,16
SIRET:24530044700019,16
NAME:region pays de la loire,16
NAME:mairie,16
NAME:cc pleyben-chateaulin-porzay,16
SIRET:28350355500015,16
NAME:ville de saint barthelemy d anjou 49,16
NAME:commune de sevremoine,16
NAME:mindef sga spac s-direction des achats,16
NAME:agence de services aux collectivites,16
NAME:spla de l anjou,16
NAME:bretagne porte de loire communaute,16
SIRET:20006542300010,16
SIRET:21490020100069,16
NAME:ville de bretignolles sur mer,16
NAME:epl cholet sports loisirs,16
SIRET:57585049000021,16
NAME:commune de fegreac,16
SIRET:21440015200051,16
NAME:territoire d energie de mayenne,16
SIRET:25490051700049,16
NAME:smictom des pays de vilaine,16
SIRET:20006724700011,16
NAME:plate forme achats finances nord est,16
NAME:sirdomdi,16
SIRET:24350074100232,15
NAME:s i d energies de maine et loire,15
SIRET:39966390500053,15
NAME:saem oryon,15
NAME:acoss,15
SIRET:24850034000141,15
SIRET:20005042500012,15
NAME:les sables d olonne agglomeration,15
NAME:commune de mamers,15
NAME:sgami ouest bzamp,15
NAME:laval mayenne amenagements,15
SIRET:48332191500017,15
NAME:laval spla,15
NAME:dir reg concurrence consommation trav,15
NAME:msa 49,15
NAME:spl eau du bassin rennais,15
NAME:commune de val d erdre-auxence,15
SIRET:20006001000044,15
NAME:mairie de clisson,15
NAME:syndicat de la seiche,15
NAME:onpl,15
SIRET:13000190200068,15
NAME:habitat 17,15
NAME:gip resah,15
NAME:cc pays de craon,15
NAME:mairie de les sorinieres,15
NAME:cc de champagne conlinoise pays sille,15
NAME:vendee habitat - oph de vendee,15
SIRET:78877950200012,15
SIRET:25490256200050,15
NAME:lbn communaute,15
SIRET:25720014700029,15
SIRET:21720090600014,15
NAME:o p h le mans habitat,15
NAME:commune de saint-barthelemy-d anjou,15
NAME:mairie de marennes,15
SIRET:18002002600019,15
SIRET:20004047500119,14
NAME:ville de trignac,14
SIRET:18450301900012,14
NAME:e-collectivites vendee,14
SIRET:18720092800013,14
NAME:syndicat mixte des 24 heures du mans,14
NAME:mairie de vigneux de bretagne,14
NAME:ville de la chapelle sur erdre,14
NAME:syndicat mixte edenn,14
NAME:commune de talmont saint hilaire,14
NAME:communaute communes huisne sarthoise,14
NAME:ugecam brpl,14
NAME:centre hospitalier de chateau du loir,14
SIRET:00558011300040,14
NAME:anses,14
NAME:ville du pellerin,14
NAME:prefecture de la loire-atlantique,14
NAME:d d t m de la vendee,14
NAME:centre hospitalier g mazurelle,14
NAME:commune de saint-jean-de-monts,14
NAME:mairie de treillieres,14
NAME:centre hospitalier du mans etablissement support du ght 72,14
NAME:syvalorm loir-et-sarthe,14
SIRET:21490267800017,14
NAME:spl d alencon,14
SIRET:25720243200015,14
NAME:office francais de la biodiversite,14
SIRET:21720124300011,14
SIRET:34500228100045,14
NAME:ehpad mer et pins,14
SIRET:18440135400057,14
SIRET:79488591300010,14
NAME:ensa nantes,14
NAME:dirisi,14
NAME:siaep de la foret de mervent,14
NAME:commune du cellier,14
NAME:cpam de la vendee,14
SIRET:24440055200091,14
SIRET:24440055200042,14
NAME:crous de nantes pays de la loire,14
SIRET:23350001600040,14
SIRET:24530022300170,14
NAME:cpam laval,14
NAME:groupement cenovia - transamo,14
NAME:commune de la tranche sur mer 85,14
NAME:ville de la fleche,13
NAME:caf de la mayenne,13
NAME:ensam,13
NAME:eptb vilaine,13
SIRET:20007288200018,13
SIRET:13002591900015,13
NAME:universite rennes 2,13
SIRET:77568822900027,13
NAME:caisse d allocations familiales de loire-atlantique 22 rue de malville 44937 nantes cedex 9,13
NAME:uniha gcs,13
NAME:communaute de communes derval,13
NAME:ville de saint calais,13
NAME:syndicat departemental d energie et d equipement de la vendee 85,13
NAME:rectorat de nantes,13
SIRET:20001492600030,13
NAME:commune de brissac loire aubance,13
NAME:academie de poitiers rectorat,13
SIRET:77560485100041,13
SIRET:24440040400087,13
SIRET:19350937900015,13
SIRET:24440045300035,13
SIRET:24850058900085,13
NAME:commune d indre,13
NAME:mairie de basse-goulaine,13
NAME:mairie de brem-sur-mer,13
NAME:ugecam bretagne pays de la loire,13
SIRET:21440036800012,13
SIRET:21370261600011,13
NAME:dir dep fin publiques indre et loire,13
NAME:commune de la suze sur sarthe,13
NAME:communaute de communes du perche,13
NAME:spl destination les sables d olonne 85,13
NAME:ville de lagord,13
NAME:commune de chartres de bretagne,12
SIRET:20005426000019,12
NAME:institut 4 10,12
NAME:ville du chateau d olonne,12
SIRET:21720329800013,12
NAME:la soderec,12
NAME:l aiguillon-la-presqu ile,12
NAME:communaute de communes du val de sarthe,12
NAME:saeml la folle journee,12
SIRET:18440128900386,12
