notice_family_id,family_size,n_calls,n_corrections,n_modifications,n_awards,n_cancellations,n_followups,first_date,last_date,n_schemas,n_notice_types,n_buyers,n_cpv,family_span_days,awards_per_call,family_pattern
NF000035,1,0,0,0,1,0,0,2015-03-12,2015-03-12,1,1,1,1,0,,award_without_observed_call
NF000036,1,0,0,0,1,0,0,2015-03-18,2015-03-18,1,1,1,1,0,,award_without_observed_call
NF000037,1,0,0,0,1,0,0,2015-03-20,2015-03-20,1,1,1,1,0,,award_without_observed_call
NF000038,1,0,0,0,1,0,0,2015-03-23,2015-03-23,1,1,1,1,0,,award_without_observed_call
NF000039,1,0,0,0,1,0,0,2015-03-30,2015-03-30,1,1,1,1,0,,award_without_observed_call
NF000040,1,1,0,0,0,0,0,2015-03-03,2015-03-03,1,1,1,1,0,0.0,single_notice
NF000041,1,1,0,0,0,0,0,2015-03-05,2015-03-05,1,1,1,1,0,0.0,single_notice
NF000042,1,1,0,0,0,0,0,2015-03-05,2015-03-05,1,1,1,1,0,0.0,single_notice
NF000043,1,1,0,0,0,0,0,2015-03-06,2015-03-06,1,1,1,1,0,0.0,single_notice
NF000044,1,1,0,0,0,0,0,2015-03-06,2015-03-06,1,1,1,1,0,0.0,single_notice
NF000045,1,1,0,0,0,0,0,2015-03-11,2015-03-11,1,1,1,0,0,0.0,single_notice
NF000046,1,1,0,0,0,0,0,2015-03-11,2015-03-11,1,1,1,1,0,0.0,single_notice
NF000047,1,1,0,0,0,0,0,2015-03-11,2015-03-11,1,1,1,1,0,0.0,single_notice
NF000048,1,1,0,0,0,0,0,2015-03-17,2015-03-17,1,1,1,1,0,0.0,single_notice
NF000049,2,1,1,0,0,0,0,2015-03-02,2015-03-09,1,1,1,0,7,0.0,call_with_lifecycle_updates_no_award
NF000050,1,1,0,0,0,0,0,2015-03-02,2015-03-02,1,1,1,0,0,0.0,single_notice
NF000051,1,1,0,0,0,0,0,2015-03-02,2015-03-02,1,1,1,0,0,0.0,single_notice
NF000052,1,1,0,0,0,0,0,2015-03-02,2015-03-02,1,1,1,0,0,0.0,single_notice
NF000053,1,1,0,0,0,0,0,2015-03-05,2015-03-05,1,1,1,0,0,0.0,single_notice
NF000054,1,1,0,0,0,0,0,2015-03-06,2015-03-06,1,1,1,0,0,0.0,single_notice
NF000055,1,1,0,0,0,0,0,2015-03-09,2015-03-09,1,1,1,0,0,0.0,single_notice
NF000056,1,1,0,0,0,0,0,2015-03-11,2015-03-11,1,1,1,0,0,0.0,single_notice
NF000057,1,1,0,0,0,0,0,2015-03-12,2015-03-12,1,1,1,0,0,0.0,single_notice
NF000058,1,1,0,0,0,0,0,2015-03-13,2015-03-13,1,1,1,0,0,0.0,single_notice
NF000059,1,1,0,0,0,0,0,2015-03-13,2015-03-13,1,1,1,0,0,0.0,single_notice
NF000060,1,1,0,0,0,0,0,2015-03-16,2015-03-16,1,1,1,0,0,0.0,single_notice
NF000061,1,1,0,0,0,0,0,2015-03-16,2015-03-16,1,1,1,0,0,0.0,single_notice
NF000062,1,1,0,0,0,0,0,2015-03-18,2015-03-18,1,1,1,0,0,0.0,single_notice
NF000063,1,1,0,0,0,0,0,2015-03-19,2015-03-19,1,1,1,0,0,0.0,single_notice
NF000064,1,1,0,0,0,0,0,2015-03-20,2015-03-20,1,1,1,0,0,0.0,single_notice
NF000065,2,1,0,0,1,0,0,2015-03-23,2015-06-03,1,2,1,0,72,1.0,call_with_award
NF000066,1,1,0,0,0,0,0,2015-03-24,2015-03-24,1,1,1,0,0,0.0,single_notice
NF000067,1,1,0,0,0,0,0,2015-03-26,2015-03-26,1,1,1,0,0,0.0,single_notice
NF000068,1,1,0,0,0,0,0,2015-03-27,2015-03-27,1,1,1,0,0,0.0,single_notice
NF000069,1,1,0,0,0,0,0,2015-03-27,2015-03-27,1,1,1,0,0,0.0,single_notice
NF000070,1,0,0,0,1,0,0,2015-03-09,2015-03-09,1,1,1,0,0,,award_without_observed_call
NF000071,1,0,0,0,1,0,0,2015-03-18,2015-03-18,1,1,1,0,0,,award_without_observed_call
NF000072,1,0,0,0,1,0,0,2015-03-19,2015-03-19,1,1,1,0,0,,award_without_observed_call
NF000073,1,0,0,0,1,0,0,2015-03-05,2015-03-05,1,1,1,1,0,,award_without_observed_call
NF000074,1,0,0,0,1,0,0,2015-03-06,2015-03-06,1,1,1,0,0,,award_without_observed_call
NF000075,1,0,0,0,1,0,0,2015-03-06,2015-03-06,1,1,1,1,0,,award_without_observed_call
NF000076,1,0,0,0,1,0,0,2015-03-17,2015-03-17,1,1,1,1,0,,award_without_observed_call
NF000077,1,0,0,0,1,0,0,2015-03-20,2015-03-20,1,1,1,0,0,,award_without_observed_call
NF000078,1,0,0,0,1,0,0,2015-03-30,2015-03-30,1,1,1,0,0,,award_without_observed_call
NF000079,2,1,1,0,0,0,0,2015-03-02,2015-03-31,1,1,1,1,29,0.0,call_with_lifecycle_updates_no_award
NF000080,1,1,0,0,0,0,0,2015-03-02,2015-03-02,1,1,1,1,0,0.0,single_notice
NF000081,2,1,0,0,1,0,0,2015-03-05,2015-09-03,1,2,1,1,182,1.0,call_with_award
NF000082,2,1,0,0,1,0,0,2015-03-06,2015-07-23,1,2,1,1,139,1.0,call_with_award
NF000083,2,1,0,0,1,0,0,2015-03-09,2015-06-16,1,2,1,1,99,1.0,call_with_award
NF000084,2,1,0,0,1,0,0,2015-03-09,2015-07-17,1,2,1,1,130,1.0,call_with_award
NF000085,2,1,0,0,1,0,0,2015-03-09,2015-07-06,1,2,1,1,119,1.0,call_with_award
NF000086,2,1,0,0,1,0,0,2015-03-10,2015-09-29,1,2,1,1,203,1.0,call_with_award
NF000087,2,0,1,0,1,0,0,2015-03-13,2015-06-23,1,2,1,1,102,,award_without_observed_call
NF000088,2,1,0,0,1,0,0,2015-03-13,2015-06-26,1,2,1,1,105,1.0,call_with_award
NF000089,2,1,0,0,1,0,0,2015-03-17,2015-08-19,1,2,1,1,155,1.0,call_with_award
NF000090,2,1,0,0,1,0,0,2015-03-18,2015-11-03,1,2,1,1,230,1.0,call_with_award
NF000091,1,1,0,0,0,0,0,2015-03-20,2015-03-20,1,1,1,1,0,0.0,single_notice
NF000092,2,1,0,0,1,0,0,2015-03-24,2015-06-30,1,2,1,1,98,1.0,call_with_award
NF000093,1,1,0,0,0,0,0,2015-03-30,2015-03-30,1,1,1,1,0,0.0,single_notice
NF000094,2,1,1,0,0,0,0,2015-03-30,2015-04-14,1,1,1,1,15,0.0,call_with_lifecycle_updates_no_award
NF000095,2,0,1,0,1,0,0,2015-03-31,2015-08-26,1,2,2,1,148,,award_without_observed_call
NF000096,1,1,0,0,0,0,0,2015-03-19,2015-03-19,1,1,1,1,0,0.0,single_notice
NF000097,1,1,0,0,0,0,0,2015-03-23,2015-03-23,1,1,1,1,0,0.0,single_notice
NF000098,2,1,0,0,1,0,0,2015-03-25,2015-09-04,1,2,1,0,163,1.0,call_with_award
NF000099,1,1,0,0,0,0,0,2015-03-26,2015-03-26,1,1,1,1,0,0.0,single_notice
NF000100,1,1,0,0,0,0,0,2015-03-26,2015-03-26,1,1,1,1,0,0.0,single_notice
NF000101,1,1,0,0,0,0,0,2015-03-26,2015-03-26,1,1,1,1,0,0.0,single_notice
NF000102,1,1,0,0,0,0,0,2015-03-30,2015-03-30,1,1,1,1,0,0.0,single_notice
NF000103,1,1,0,0,0,0,0,2015-03-30,2015-03-30,1,1,1,0,0,0.0,single_notice
NF000104,1,1,0,0,0,0,0,2015-03-30,2015-03-30,1,1,1,1,0,0.0,single_notice
NF000105,1,1,0,0,0,0,0,2015-03-31,2015-03-31,1,1,1,1,0,0.0,single_notice
NF000106,1,0,0,0,1,0,0,2015-03-03,2015-03-03,1,1,1,1,0,,award_without_observed_call
NF000107,1,0,0,0,1,0,0,2015-03-03,2015-03-03,1,1,1,1,0,,award_without_observed_call
NF000108,4,0,0,0,4,0,0,2015-03-04,2015-08-06,1,1,1,1,155,,award_without_observed_call
NF000109,1,0,0,0,1,0,0,2015-03-04,2015-03-04,1,1,1,1,0,,award_without_observed_call
NF000110,3,0,1,0,2,0,0,2015-03-06,2015-05-12,1,2,1,1,67,,award_without_observed_call
NF000111,1,0,0,0,1,0,0,2015-03-10,2015-03-10,1,1,1,1,0,,award_without_observed_call
NF000112,1,0,0,0,1,0,0,2015-03-10,2015-03-10,1,1,1,1,0,,award_without_observed_call
NF000113,1,0,0,0,1,0,0,2015-03-11,2015-03-11,1,1,1,1,0,,award_without_observed_call
NF000114,1,0,0,0,1,0,0,2015-03-13,2015-03-13,1,1,1,1,0,,award_without_observed_call
NF000115,1,0,0,0,1,0,0,2015-03-18,2015-03-18,1,1,1,1,0,,award_without_observed_call
NF000116,1,0,0,0,1,0,0,2015-03-18,2015-03-18,1,1,1,1,0,,award_without_observed_call
NF000117,1,0,0,0,1,0,0,2015-03-20,2015-03-20,1,1,1,1,0,,award_without_observed_call
NF000118,1,0,0,0,1,0,0,2015-03-23,2015-03-23,1,1,1,1,0,,award_without_observed_call
NF000119,1,0,0,0,1,0,0,2015-03-24,2015-03-24,1,1,1,1,0,,award_without_observed_call
NF000120,1,0,0,0,1,0,0,2015-03-24,2015-03-24,1,1,1,1,0,,award_without_observed_call
NF000121,1,0,0,0,1,0,0,2015-03-25,2015-03-25,1,1,1,1,0,,award_without_observed_call
NF000122,1,0,0,0,1,0,0,2015-03-25,2015-03-25,1,1,1,1,0,,award_without_observed_call
NF000123,1,0,0,0,1,0,0,2015-03-30,2015-03-30,1,1,1,1,0,,award_without_observed_call
NF000124,1,1,0,0,0,0,0,2015-03-02,2015-03-02,1,1,1,1,0,0.0,single_notice
NF000125,1,1,0,0,0,0,0,2015-03-04,2015-03-04,1,1,1,1,0,0.0,single_notice
NF000126,2,1,0,0,1,0,0,2015-03-06,2015-04-21,1,2,1,1,46,1.0,call_with_award
NF000127,2,1,0,0,1,0,0,2015-03-06,2015-07-06,1,2,1,1,122,1.0,call_with_award
NF000128,3,1,2,0,0,0,0,2015-03-09,2015-03-17,1,1,1,1,8,0.0,call_with_lifecycle_updates_no_award
NF000129,1,1,0,0,0,0,0,2015-03-10,2015-03-10,1,1,1,1,0,0.0,single_notice
NF000130,1,1,0,0,0,0,0,2015-03-13,2015-03-13,1,1,1,0,0,0.0,single_notice
NF000131,2,1,1,0,0,0,0,2015-03-13,2015-03-24,1,1,1,0,11,0.0,call_with_lifecycle_updates_no_award
NF000132,1,1,0,0,0,0,0,2015-03-13,2015-03-13,1,1,1,1,0,0.0,single_notice
NF000133,2,1,0,0,1,0,0,2015-03-13,2015-05-22,1,2,1,1,70,1.0,call_with_award
NF000134,2,1,0,0,1,0,0,2015-03-13,2015-06-11,1,2,1,1,90,1.0,call_with_award
NF000135,1,1,0,0,0,0,0,2015-03-13,2015-03-13,1,1,1,0,0,0.0,single_notice
NF000136,1,1,0,0,0,0,0,2015-03-16,2015-03-16,1,1,1,0,0,0.0,single_notice
NF000137,2,1,1,0,0,0,0,2015-03-17,2015-04-02,1,1,1,1,16,0.0,call_with_lifecycle_updates_no_award
NF000138,1,1,0,0,0,0,0,2015-03-02,2015-03-02,1,1,1,0,0,0.0,single_notice
NF000139,1,1,0,0,0,0,0,2015-03-02,2015-03-02,1,1,1,0,0,0.0,single_notice
NF000140,1,1,0,0,0,0,0,2015-03-03,2015-03-03,1,1,1,0,0,0.0,single_notice
NF000141,1,1,0,0,0,0,0,2015-03-05,2015-03-05,1,1,1,0,0,0.0,single_notice
NF000142,1,1,0,0,0,0,0,2015-03-06,2015-03-06,1,1,1,0,0,0.0,single_notice
NF000143,1,1,0,0,0,0,0,2015-03-09,2015-03-09,1,1,1,0,0,0.0,single_notice
NF000144,1,1,0,0,0,0,0,2015-03-10,2015-03-10,1,1,1,0,0,0.0,single_notice
NF000145,1,1,0,0,0,0,0,2015-03-11,2015-03-11,1,1,1,0,0,0.0,single_notice
NF000146,1,1,0,0,0,0,0,2015-03-11,2015-03-11,1,1,1,0,0,0.0,single_notice
NF000147,1,1,0,0,0,0,0,2015-03-11,2015-03-11,1,1,1,0,0,0.0,single_notice
NF000148,1,1,0,0,0,0,0,2015-03-12,2015-03-12,1,1,1,0,0,0.0,single_notice
NF000149,1,0,1,0,0,0,0,2015-03-13,2015-03-13,1,1,1,1,0,,single_notice
NF000150,1,1,0,0,0,0,0,2015-03-13,2015-03-13,1,1,1,0,0,0.0,single_notice
NF000151,1,1,0,0,0,0,0,2015-03-16,2015-03-16,1,1,1,0,0,0.0,single_notice
NF000152,1,1,0,0,0,0,0,2015-03-16,2015-03-16,1,1,1,0,0,0.0,single_notice
NF000153,1,1,0,0,0,0,0,2015-03-17,2015-03-17,1,1,1,0,0,0.0,single_notice
NF000154,2,1,1,0,0,0,0,2015-03-19,2015-03-23,1,1,1,1,4,0.0,call_with_lifecycle_updates_no_award
NF000155,2,1,0,0,1,0,0,2015-03-19,2015-05-21,1,2,1,0,63,1.0,call_with_award
NF000156,1,1,0,0,0,0,0,2015-03-20,2015-03-20,1,1,1,0,0,0.0,single_notice
NF000157,1,1,0,0,0,0,0,2015-03-25,2015-03-25,1,1,1,0,0,0.0,single_notice
NF000158,1,1,0,0,0,0,0,2015-03-26,2015-03-26,1,1,1,0,0,0.0,single_notice
NF000159,1,1,0,0,0,0,0,2015-03-26,2015-03-26,1,1,1,0,0,0.0,single_notice
NF000160,1,0,0,0,1,0,0,2015-03-02,2015-03-02,1,1,1,0,0,,award_without_observed_call
NF000161,1,0,0,0,1,0,0,2015-03-05,2015-03-05,1,1,1,0,0,,award_without_observed_call
NF000162,1,0,0,0,1,0,0,2015-03-11,2015-03-11,1,1,1,1,0,,award_without_observed_call
NF000163,1,0,0,0,1,0,0,2015-03-17,2015-03-17,1,1,1,1,0,,award_without_observed_call
NF000164,1,0,0,0,1,0,0,2015-03-19,2015-03-19,1,1,1,0,0,,award_without_observed_call
NF000165,1,0,0,0,0,0,1,2015-03-20,2015-03-20,1,1,1,1,0,,single_notice
NF000166,1,0,0,0,1,0,0,2015-03-24,2015-03-24,1,1,1,1,0,,award_without_observed_call
NF000167,1,0,0,0,1,0,0,2015-03-24,2015-03-24,1,1,1,1,0,,award_without_observed_call
NF000168,1,0,0,0,1,0,0,2015-03-31,2015-03-31,1,1,1,1,0,,award_without_observed_call
NF000169,2,1,0,0,1,0,0,2015-03-02,2015-07-10,1,2,1,1,130,1.0,call_with_award
NF000170,1,1,0,0,0,0,0,2015-03-03,2015-03-03,1,1,1,1,0,0.0,single_notice
NF000171,2,1,0,0,1,0,0,2015-03-04,2015-07-23,1,2,1,1,141,1.0,call_with_award
NF000172,1,1,0,0,0,0,0,2015-03-04,2015-03-04,1,1,1,1,0,0.0,single_notice
NF000173,1,1,0,0,0,0,0,2015-03-04,2015-03-04,1,1,1,1,0,0.0,single_notice
NF000174,2,1,0,0,1,0,0,2015-03-04,2015-08-10,1,2,1,1,159,1.0,call_with_award
NF000175,2,1,0,0,1,0,0,2015-03-02,2016-02-25,1,2,1,1,360,1.0,call_with_award
NF000176,3,1,1,0,1,0,0,2015-03-06,2015-09-04,1,2,1,1,182,1.0,call_with_award
NF000177,1,1,0,0,0,0,0,2015-03-05,2015-03-05,1,1,1,1,0,0.0,single_notice
NF000178,2,1,1,0,0,0,0,2015-03-10,2015-05-29,1,1,1,1,80,0.0,call_with_lifecycle_updates_no_award
NF000179,2,1,1,0,0,0,0,2015-03-10,2015-03-17,1,1,1,1,7,0.0,call_with_lifecycle_updates_no_award
NF000180,2,1,0,0,1,0,0,2015-03-10,2015-10-23,1,2,1,1,227,1.0,call_with_award
NF000181,1,1,0,0,0,0,0,2015-03-13,2015-03-13,1,1,1,1,0,0.0,single_notice
NF000182,1,1,0,0,0,0,0,2015-03-16,2015-03-16,1,1,1,1,0,0.0,single_notice
NF000183,1,1,0,0,0,0,0,2015-03-24,2015-03-24,1,1,1,1,0,0.0,single_notice
NF000184,1,1,0,0,0,0,0,2015-03-27,2015-03-27,1,1,1,1,0,0.0,single_notice
NF000185,1,1,0,0,0,0,0,2015-03-30,2015-03-30,1,1,1,1,0,0.0,single_notice
NF000186,1,1,0,0,0,0,0,2015-03-20,2015-03-20,1,1,1,0,0,0.0,single_notice
NF000187,2,1,0,0,1,0,0,2015-03-20,2015-06-24,1,2,1,1,96,1.0,call_with_award
NF000188,3,1,1,0,1,0,0,2015-03-23,2015-06-24,1,2,1,0,93,1.0,call_with_award
NF000189,1,1,0,0,0,0,0,2015-03-23,2015-03-23,1,1,1,1,0,0.0,single_notice
NF000190,1,1,0,0,0,0,0,2015-03-23,2015-03-23,1,1,1,1,0,0.0,single_notice
NF000191,1,1,0,0,0,0,0,2015-03-24,2015-03-24,1,1,1,1,0,0.0,single_notice
NF000192,2,1,0,0,1,0,0,2015-03-25,2015-08-25,1,2,1,1,153,1.0,call_with_award
NF000193,2,1,0,0,1,0,0,2015-03-25,2015-07-27,1,2,1,1,124,1.0,call_with_award
NF000194,1,1,0,0,0,0,0,2015-03-25,2015-03-25,1,1,1,1,0,0.0,single_notice
NF000195,1,1,0,0,0,0,0,2015-03-27,2015-03-27,1,1,1,1,0,0.0,single_notice
NF000196,2,2,0,0,0,0,0,2015-03-30,2015-05-13,1,1,1,1,44,0.0,call_with_lifecycle_updates_no_award
NF000197,2,1,0,0,1,0,0,2015-03-31,2015-06-11,1,2,1,1,72,1.0,call_with_award
NF000198,1,0,0,0,1,0,0,2015-03-03,2015-03-03,1,1,1,1,0,,award_without_observed_call
NF000199,1,0,0,0,1,0,0,2015-03-04,2015-03-04,1,1,1,1,0,,award_without_observed_call
NF000200,1,0,0,0,1,0,0,2015-03-04,2015-03-04,1,1,1,1,0,,award_without_observed_call
NF000201,1,0,0,0,1,0,0,2015-03-05,2015-03-05,1,1,1,1,0,,award_without_observed_call
NF000202,1,0,0,0,1,0,0,2015-03-05,2015-03-05,1,1,1,1,0,,award_without_observed_call
NF000203,1,0,0,0,1,0,0,2015-03-05,2015-03-05,1,1,1,1,0,,award_without_observed_call
NF000204,1,0,0,0,1,0,0,2015-03-09,2015-03-09,1,1,1,1,0,,award_without_observed_call
NF000205,1,0,0,0,1,0,0,2015-03-16,2015-03-16,1,1,1,1,0,,award_without_observed_call
NF000206,1,0,0,0,1,0,0,2015-03-16,2015-03-16,1,1,1,1,0,,award_without_observed_call
NF000207,1,0,0,0,1,0,0,2015-03-16,2015-03-16,1,1,1,1,0,,award_without_observed_call
NF000208,1,0,0,0,1,0,0,2015-03-16,2015-03-16,1,1,1,1,0,,award_without_observed_call
NF000209,1,0,0,0,1,0,0,2015-03-16,2015-03-16,1,1,1,1,0,,award_without_observed_call
NF000210,1,0,0,0,1,0,0,2015-03-17,2015-03-17,1,1,1,1,0,,award_without_observed_call
NF000211,1,0,0,0,1,0,0,2015-03-18,2015-03-18,1,1,1,1,0,,award_without_observed_call
NF000212,1,0,0,0,1,0,0,2015-03-19,2015-03-19,1,1,1,1,0,,award_without_observed_call
NF000213,1,0,0,0,0,0,1,2015-03-20,2015-03-20,1,1,1,1,0,,single_notice
NF000214,1,0,0,0,1,0,0,2015-03-24,2015-03-24,1,1,1,1,0,,award_without_observed_call
NF000215,1,0,0,0,1,0,0,2015-03-24,2015-03-24,1,1,1,1,0,,award_without_observed_call
NF000216,1,0,0,0,1,0,0,2015-03-25,2015-03-25,1,1,1,1,0,,award_without_observed_call
NF000217,2,0,0,0,2,0,0,2015-03-26,2015-07-15,1,1,1,1,111,,award_without_observed_call
NF000218,1,0,0,0,1,0,0,2015-03-27,2015-03-27,1,1,1,1,0,,award_without_observed_call
NF000219,1,0,0,0,1,0,0,2015-03-27,2015-03-27,1,1,1,1,0,,award_without_observed_call
NF000220,1,0,0,0,1,0,0,2015-03-27,2015-03-27,1,1,1,1,0,,award_without_observed_call
NF000221,1,0,0,0,1,0,0,2015-03-30,2015-03-30,1,1,1,1,0,,award_without_observed_call
NF000222,1,0,0,0,1,0,0,2015-03-30,2015-03-30,1,1,1,1,0,,award_without_observed_call
NF000223,1,1,0,0,0,0,0,2015-03-04,2015-03-04,1,1,1,1,0,0.0,single_notice
NF000224,1,1,0,0,0,0,0,2015-03-05,2015-03-05,1,1,1,1,0,0.0,single_notice
NF000225,1,1,0,0,0,0,0,2015-03-05,2015-03-05,1,1,1,1,0,0.0,single_notice
NF000226,2,1,0,0,1,0,0,2015-03-06,2015-06-12,1,2,1,1,98,1.0,call_with_award
NF000227,1,1,0,0,0,0,0,2015-03-06,2015-03-06,1,1,1,1,0,0.0,single_notice
NF000228,1,1,0,0,0,0,0,2015-03-10,2015-03-10,1,1,1,1,0,0.0,single_notice
NF000229,1,1,0,0,0,0,0,2015-03-11,2015-03-11,1,1,1,1,0,0.0,single_notice
NF000230,1,1,0,0,0,0,0,2015-03-12,2015-03-12,1,1,1,1,0,0.0,single_notice
NF000231,2,1,0,0,1,0,0,2015-03-13,2015-12-22,1,2,1,1,284,1.0,call_with_award
NF000232,1,1,0,0,0,0,0,2015-03-13,2015-03-13,1,1,1,1,0,0.0,single_notice
NF000233,1,1,0,0,0,0,0,2015-03-18,2015-03-18,1,1,1,1,0,0.0,single_notice
NF000234,1,0,0,0,1,0,0,2015-03-03,2015-03-03,1,1,1,0,0,,award_without_observed_call
NF000235,1,1,0,0,0,0,0,2015-03-03,2015-03-03,1,1,1,0,0,0.0,single_notice
NF000236,1,1,0,0,0,0,0,2015-03-06,2015-03-06,1,1,1,0,0,0.0,single_notice
NF000237,1,1,0,0,0,0,0,2015-03-10,2015-03-10,1,1,1,0,0,0.0,single_notice
NF000238,1,1,0,0,0,0,0,2015-03-11,2015-03-11,1,1,1,0,0,0.0,single_notice
NF000239,1,1,0,0,0,0,0,2015-03-13,2015-03-13,1,1,1,0,0,0.0,single_notice
NF000240,1,1,0,0,0,0,0,2015-03-19,2015-03-19,1,1,1,0,0,0.0,single_notice
NF000241,2,1,0,0,1,0,0,2015-03-19,2015-06-29,1,2,1,0,102,1.0,call_with_award
NF000242,1,1,0,0,0,0,0,2015-03-20,2015-03-20,1,1,1,0,0,0.0,single_notice
NF000243,2,1,0,0,1,0,0,2015-03-20,2015-05-07,1,2,1,0,48,1.0,call_with_award
NF000244,2,1,0,0,1,0,0,2015-03-23,2015-05-06,1,2,1,0,44,1.0,call_with_award
NF000245,1,1,0,0,0,0,0,2015-03-23,2015-03-23,1,1,1,0,0,0.0,single_notice
NF000246,2,1,0,0,1,0,0,2015-03-24,2015-07-21,1,2,1,0,119,1.0,call_with_award
NF000247,2,1,0,0,0,1,0,2015-03-26,2015-03-30,1,1,1,0,4,0.0,call_with_lifecycle_updates_no_award
NF000248,2,1,0,0,1,0,0,2015-03-26,2015-10-30,1,2,1,0,218,1.0,call_with_award
NF000249,1,1,0,0,0,0,0,2015-03-27,2015-03-27,1,1,1,0,0,0.0,single_notice
NF000250,1,1,0,0,0,0,0,2015-03-28,2015-03-28,1,1,1,0,0,0.0,single_notice
NF000251,2,1,1,0,0,0,0,2015-03-31,2015-04-20,1,1,1,0,20,0.0,call_with_lifecycle_updates_no_award
NF000252,2,1,0,0,1,0,0,2015-03-31,2015-05-26,1,2,1,0,56,1.0,call_with_award
NF000253,1,1,0,0,0,0,0,2015-03-31,2015-03-31,1,1,1,0,0,0.0,single_notice
NF000254,1,0,0,0,1,0,0,2015-03-04,2015-03-04,1,1,1,1,0,,award_without_observed_call
NF000255,1,0,0,0,1,0,0,2015-03-10,2015-03-10,1,1,1,0,0,,award_without_observed_call
NF000256,1,0,0,0,1,0,0,2015-03-11,2015-03-11,1,1,1,1,0,,award_without_observed_call
NF000257,1,0,0,0,1,0,0,2015-03-11,2015-03-11,1,1,1,1,0,,award_without_observed_call
NF000258,2,0,0,0,2,0,0,2015-03-12,2015-04-15,1,1,1,1,34,,award_without_observed_call
NF000259,1,0,0,0,1,0,0,2015-03-18,2015-03-18,1,1,1,1,0,,award_without_observed_call
NF000260,1,0,0,0,1,0,0,2015-03-19,2015-03-19,1,1,1,1,0,,award_without_observed_call
