eforms_notice_type,path,path_role,n_values,n_valid_8_digit_values,example_notice_id,example_value,n_records,parser_after_fix_status
ContractAwardNotice,EFORMS/ContractAwardNotice/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:NoticeResult/efbc:OverallApproximateFrameworkContractsAmount/#text,other_8_digit_path,3,3,24-138373,10000000,3,excluded_non_cpv_numeric
ContractNotice,EFORMS/ContractNotice/cac:ProcurementProjectLot/cac:ProcurementProject/cac:RealizedLocation/cac:Address/cbc:CityName,other_8_digit_path,3,3,25-89386,45232150,3,excluded_non_cpv_numeric
ContractNotice,EFORMS/ContractNotice/cac:ProcurementProjectLot/cac:TenderingProcess/cac:FrameworkAgreement/cbc:MaximumOperatorQuantity,other_8_digit_path,3,3,25-116174,99999999,3,excluded_non_cpv_numeric
ContractNotice,EFORMS/ContractNotice/cac:ProcurementProjectLot/cac:TenderingTerms/cac:TenderValidityPeriod/cbc:DurationMeasure/#text,other_8_digit_path,12,12,25-114502,31012016,2,excluded_non_cpv_numeric
ContractAwardNotice,EFORMS/ContractAwardNotice/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:NoticeResult/efac:LotTender/efac:TenderReference/cbc:ID,other_8_digit_path,4,4,25-136317,20255025,2,excluded_non_cpv_numeric
ContractAwardNotice,EFORMS/ContractAwardNotice/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:NoticeResult/efac:TenderingParty/cbc:Name,other_8_digit_path,4,4,26-54833,20260081,2,excluded_non_cpv_numeric
ContractNotice,EFORMS/ContractNotice/cac:ProcurementProjectLot/cac:ProcurementProject/cbc:ID,other_8_digit_path,2,2,24-89415,20245243,2,excluded_non_cpv_numeric
ContractNotice,EFORMS/ContractNotice/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:Organizations/efac:Organization/efac:Company/cac:PartyLegalEntity/cbc:CompanyID,other_8_digit_path,2,2,24-102384,17440051,2,excluded_non_cpv_numeric
ContractNotice,EFORMS/ContractNotice/cac:ProcurementProject/cbc:ID/#text,other_8_digit_path,2,2,24-124423,20200027,2,excluded_non_cpv_numeric
ContractAwardNotice,EFORMS/ContractAwardNotice/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:NoticeResult/efac:LotResult/efac:FrameworkAgreementValues/efbc:ReestimatedValueAmount/#text,other_8_digit_path,2,2,24-138373,10000000,2,excluded_non_cpv_numeric
PriorInformationNotice,EFORMS/PriorInformationNotice/cac:ProcurementProject/cac:RequestedTenderTotal/cbc:EstimatedOverallContractAmount/#text,other_8_digit_path,1,1,24-87820,13650000,1,excluded_non_cpv_numeric
ContractAwardNotice,EFORMS/ContractAwardNotice/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:NoticeResult/efac:LotTender/efac:ConcessionRevenue/efbc:RevenueBuyerAmount/#text,other_8_digit_path,1,1,24-131020,33785400,1,excluded_non_cpv_numeric
ContractAwardNotice,EFORMS/ContractAwardNotice/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:NoticeResult/efac:LotTender/cbc:RankCode,other_8_digit_path,1,1,25-44639,14355343,1,excluded_non_cpv_numeric
ContractAwardNotice,EFORMS/ContractAwardNotice/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:Organizations/efac:Organization/efac:Company/cac:PartyLegalEntity/cbc:CompanyID,other_8_digit_path,1,1,25-44966,33158992,1,excluded_non_cpv_numeric
ContractAwardNotice,EFORMS/ContractAwardNotice/cac:ProcurementProjectLot/cac:ProcurementProject/cac:RealizedLocation/cac:Address/cbc:CityName,other_8_digit_path,1,1,26-22163,45232150,1,excluded_non_cpv_numeric
ContractNotice,EFORMS/ContractNotice/cac:ProcurementProjectLot/cac:ProcurementProject/cac:PlannedPeriod/cbc:DurationMeasure/#text,other_8_digit_path,1,1,26-48759,31082027,1,excluded_non_cpv_numeric
ContractNotice,EFORMS/ContractNotice/cac:ProcurementProjectLot/cac:ProcurementProject/cbc:Name/#text,other_8_digit_path,1,1,26-62611,85320000,1,excluded_non_cpv_numeric
ContractNotice,EFORMS/ContractNotice/cac:ProcurementProjectLot/cac:ProcurementProject/cbc:Description/#text,other_8_digit_path,1,1,26-62611,85320000,1,excluded_non_cpv_numeric
PriorInformationNotice,EFORMS/PriorInformationNotice/cac:ProcurementProjectLot/cac:TenderingTerms/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:SelectionCriteria/efac:CriterionParameter/efbc:ParameterNumeric,other_8_digit_path,1,1,26-66412,25000000,1,excluded_non_cpv_numeric
