notice_id,publication_date,publication_year,schema_family,buyer_activity_tier,buyer_key_type,buyer_identifier_source,is_digital_scope,digital_segment,study_end_date,followup_days,followup_months,evaluable_12m,evaluable_24m,evaluable_36m,evaluable_60m
15-37959,2015-03-20,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4133,135.77529566360053,True,True,True,True
15-42192,2015-03-23,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4130,135.67674113009198,True,True,True,True
15-43241,2015-03-23,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4130,135.67674113009198,True,True,True,True
15-44289,2015-03-23,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4130,135.67674113009198,True,True,True,True
15-43827,2015-03-24,2015,LEGACY,2-5,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4129,135.64388961892246,True,True,True,True
15-44700,2015-03-24,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4129,135.64388961892246,True,True,True,True
15-45441,2015-03-25,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4128,135.61103810775296,True,True,True,True
15-46893,2015-03-27,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4126,135.5453350854139,True,True,True,True
15-47849,2015-03-30,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4123,135.4467805519054,True,True,True,True
15-48000,2015-03-31,2015,LEGACY,2-5,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4122,135.41392904073587,True,True,True,True
15-49123,2015-03-31,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4122,135.41392904073587,True,True,True,True
15-31677,2015-03-03,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4150,136.33377135348226,True,True,True,True
15-33451,2015-03-05,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4148,136.26806833114324,True,True,True,True
15-33424,2015-03-05,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4148,136.26806833114324,True,True,True,True
15-33863,2015-03-06,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4147,136.23521681997372,True,True,True,True
15-34668,2015-03-06,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4147,136.23521681997372,True,True,True,True
15-35874,2015-03-11,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4142,136.07095926412615,True,True,True,True
15-36808,2015-03-11,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4142,136.07095926412615,True,True,True,True
15-36907,2015-03-11,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4142,136.07095926412615,True,True,True,True
15-39439,2015-03-17,2015,LEGACY,6-20,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4136,135.87385019710905,True,True,True,True
15-30898,2015-03-02,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4151,136.36662286465176,True,True,True,True
15-31262,2015-03-02,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4151,136.36662286465176,True,True,True,True
15-31666,2015-03-02,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4151,136.36662286465176,True,True,True,True
15-31700,2015-03-02,2015,LEGACY,2-5,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4151,136.36662286465176,True,True,True,True
15-28035,2015-03-05,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4148,136.26806833114324,True,True,True,True
15-11917,2015-03-06,2015,LEGACY,6-20,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4147,136.23521681997372,True,True,True,True
15-35688,2015-03-09,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4144,136.13666228646517,True,True,True,True
15-36935,2015-03-11,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4142,136.07095926412615,True,True,True,True
15-38305,2015-03-12,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4141,136.03810775295662,True,True,True,True
15-38907,2015-03-13,2015,LEGACY,1 (single),NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4140,136.00525624178712,True,True,True,True
15-38935,2015-03-13,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4140,136.00525624178712,True,True,True,True
15-39486,2015-03-16,2015,LEGACY,21+,NAME_FALLBACK,NONE,True,DIGITAL_ICT,2026-07-13,4137,135.90670170827858,True,True,True,True
15-40083,2015-03-16,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4137,135.90670170827858,True,True,True,True
15-41727,2015-03-18,2015,LEGACY,2-5,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4135,135.84099868593955,True,True,True,True
15-42052,2015-03-19,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4134,135.80814717477003,True,True,True,True
15-36584,2015-03-20,2015,LEGACY,1 (single),NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4133,135.77529566360053,True,True,True,True
15-43727,2015-03-23,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4130,135.67674113009198,True,True,True,True
15-44173,2015-03-23,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4130,135.67674113009198,True,True,True,True
15-44452,2015-03-24,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4129,135.64388961892246,True,True,True,True
15-46598,2015-03-26,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4127,135.57818659658344,True,True,True,True
15-47277,2015-03-27,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4126,135.5453350854139,True,True,True,True
15-47386,2015-03-27,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4126,135.5453350854139,True,True,True,True
15-30334,2015-03-02,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4151,136.36662286465176,True,True,True,True
15-30947,2015-03-02,2015,LEGACY,6-20,NAME_FALLBACK,NONE,True,DIGITAL_ICT,2026-07-13,4151,136.36662286465176,True,True,True,True
15-33076,2015-03-05,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4148,136.26806833114324,True,True,True,True
15-34138,2015-03-06,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4147,136.23521681997372,True,True,True,True
15-34626,2015-03-09,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4144,136.13666228646517,True,True,True,True
15-34700,2015-03-09,2015,LEGACY,21+,RAW_SIRET,RAW_SIRET_FIELD,False,NON_DIGITAL,2026-07-13,4144,136.13666228646517,True,True,True,True
15-34863,2015-03-09,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4144,136.13666228646517,True,True,True,True
15-33807,2015-03-06,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4147,136.23521681997372,True,True,True,True
15-35528,2015-03-10,2015,LEGACY,6-20,RAW_SIRET,RAW_SIRET_FIELD,False,NON_DIGITAL,2026-07-13,4143,136.10381077529567,True,True,True,True
15-38414,2015-03-13,2015,LEGACY,21+,RAW_SIRET,RAW_SIRET_FIELD,False,NON_DIGITAL,2026-07-13,4140,136.00525624178712,True,True,True,True
15-37967,2015-03-13,2015,LEGACY,6-20,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4140,136.00525624178712,True,True,True,True
15-38289,2015-03-17,2015,LEGACY,2-5,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4136,135.87385019710905,True,True,True,True
15-40706,2015-03-18,2015,LEGACY,2-5,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4135,135.84099868593955,True,True,True,True
15-42024,2015-03-20,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4133,135.77529566360053,True,True,True,True
15-43803,2015-03-24,2015,LEGACY,21+,RAW_SIRET,RAW_SIRET_FIELD,False,NON_DIGITAL,2026-07-13,4129,135.64388961892246,True,True,True,True
15-47715,2015-03-30,2015,LEGACY,2-5,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4123,135.4467805519054,True,True,True,True
15-48041,2015-03-30,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4123,135.4467805519054,True,True,True,True
15-48417,2015-03-31,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4122,135.41392904073587,True,True,True,True
15-41805,2015-03-19,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4134,135.80814717477003,True,True,True,True
15-42789,2015-03-23,2015,LEGACY,2-5,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4130,135.67674113009198,True,True,True,True
15-43796,2015-03-23,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4130,135.67674113009198,True,True,True,True
15-43667,2015-03-25,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4128,135.61103810775296,True,True,True,True
15-45966,2015-03-26,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4127,135.57818659658344,True,True,True,True
15-46290,2015-03-26,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4127,135.57818659658344,True,True,True,True
15-46766,2015-03-26,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4127,135.57818659658344,True,True,True,True
15-47333,2015-03-30,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4123,135.4467805519054,True,True,True,True
15-46703,2015-03-30,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4123,135.4467805519054,True,True,True,True
15-47354,2015-03-30,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4123,135.4467805519054,True,True,True,True
15-48203,2015-03-31,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4122,135.41392904073587,True,True,True,True
15-31011,2015-03-02,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4151,136.36662286465176,True,True,True,True
15-32144,2015-03-04,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4149,136.30091984231274,True,True,True,True
15-33799,2015-03-06,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4147,136.23521681997372,True,True,True,True
15-34216,2015-03-06,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4147,136.23521681997372,True,True,True,True
15-35036,2015-03-09,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4144,136.13666228646517,True,True,True,True
15-35975,2015-03-10,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4143,136.10381077529567,True,True,True,True
15-37618,2015-03-13,2015,LEGACY,2-5,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4140,136.00525624178712,True,True,True,True
15-37631,2015-03-13,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4140,136.00525624178712,True,True,True,True
15-37634,2015-03-13,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4140,136.00525624178712,True,True,True,True
15-37956,2015-03-13,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4140,136.00525624178712,True,True,True,True
15-35898,2015-03-13,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4140,136.00525624178712,True,True,True,True
15-38937,2015-03-13,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4140,136.00525624178712,True,True,True,True
15-38423,2015-03-16,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4137,135.90670170827858,True,True,True,True
15-40053,2015-03-17,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4136,135.87385019710905,True,True,True,True
15-31073,2015-03-02,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4151,136.36662286465176,True,True,True,True
15-31733,2015-03-02,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4151,136.36662286465176,True,True,True,True
15-31909,2015-03-03,2015,LEGACY,6-20,NAME_FALLBACK,NONE,True,DIGITAL_ICT,2026-07-13,4150,136.33377135348226,True,True,True,True
15-33594,2015-03-05,2015,LEGACY,6-20,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4148,136.26806833114324,True,True,True,True
15-34469,2015-03-06,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4147,136.23521681997372,True,True,True,True
15-35527,2015-03-09,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4144,136.13666228646517,True,True,True,True
15-35831,2015-03-09,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4144,136.13666228646517,True,True,True,True
15-34868,2015-03-10,2015,LEGACY,1 (single),NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4143,136.10381077529567,True,True,True,True
15-33025,2015-03-11,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4142,136.07095926412615,True,True,True,True
15-37085,2015-03-11,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4142,136.07095926412615,True,True,True,True
15-37180,2015-03-11,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4142,136.07095926412615,True,True,True,True
15-38028,2015-03-12,2015,LEGACY,6-20,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4141,136.03810775295662,True,True,True,True
15-38369,2015-03-13,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4140,136.00525624178712,True,True,True,True
15-38549,2015-03-13,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4140,136.00525624178712,True,True,True,True
15-38474,2015-03-16,2015,LEGACY,2-5,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4137,135.90670170827858,True,True,True,True
15-40054,2015-03-16,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4137,135.90670170827858,True,True,True,True
15-40397,2015-03-17,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4136,135.87385019710905,True,True,True,True
15-42337,2015-03-19,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4134,135.80814717477003,True,True,True,True
15-42416,2015-03-19,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4134,135.80814717477003,True,True,True,True
15-43370,2015-03-20,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4133,135.77529566360053,True,True,True,True
15-45581,2015-03-25,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4128,135.61103810775296,True,True,True,True
15-44578,2015-03-26,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4127,135.57818659658344,True,True,True,True
15-46353,2015-03-26,2015,LEGACY,6-20,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4127,135.57818659658344,True,True,True,True
15-31464,2015-03-02,2015,LEGACY,21+,NAME_FALLBACK,NONE,True,DIGITAL_ICT,2026-07-13,4151,136.36662286465176,True,True,True,True
15-20937,2015-03-03,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4150,136.33377135348226,True,True,True,True
15-29829,2015-03-04,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4149,136.30091984231274,True,True,True,True
15-31641,2015-03-04,2015,LEGACY,6-20,NAME_FALLBACK,NONE,True,DIGITAL_ICT,2026-07-13,4149,136.30091984231274,True,True,True,True
15-31797,2015-03-04,2015,LEGACY,6-20,NAME_FALLBACK,NONE,True,DIGITAL_ICT,2026-07-13,4149,136.30091984231274,True,True,True,True
15-32234,2015-03-04,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4149,136.30091984231274,True,True,True,True
15-30979,2015-03-02,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4151,136.36662286465176,True,True,True,True
15-31483,2015-03-06,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4147,136.23521681997372,True,True,True,True
15-33876,2015-03-05,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4148,136.26806833114324,True,True,True,True
15-35731,2015-03-10,2015,LEGACY,21+,RAW_SIRET,RAW_SIRET_FIELD,False,NON_DIGITAL,2026-07-13,4143,136.10381077529567,True,True,True,True
15-35828,2015-03-10,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4143,136.10381077529567,True,True,True,True
15-36361,2015-03-10,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4143,136.10381077529567,True,True,True,True
15-23832,2015-03-13,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4140,136.00525624178712,True,True,True,True
15-38980,2015-03-16,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4137,135.90670170827858,True,True,True,True
15-39935,2015-03-17,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4136,135.87385019710905,True,True,True,True
15-42115,2015-03-19,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4134,135.80814717477003,True,True,True,True
15-45076,2015-03-24,2015,LEGACY,1 (single),NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4129,135.64388961892246,True,True,True,True
15-17100,2015-03-27,2015,LEGACY,1 (single),NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4126,135.5453350854139,True,True,True,True
15-46954,2015-03-30,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4123,135.4467805519054,True,True,True,True
15-42483,2015-03-19,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4134,135.80814717477003,True,True,True,True
15-42203,2015-03-20,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4133,135.77529566360053,True,True,True,True
15-43147,2015-03-20,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4133,135.77529566360053,True,True,True,True
15-31636,2015-03-23,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4130,135.67674113009198,True,True,True,True
15-43433,2015-03-23,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4130,135.67674113009198,True,True,True,True
15-43357,2015-03-23,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4130,135.67674113009198,True,True,True,True
15-19737,2015-03-24,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4129,135.64388961892246,True,True,True,True
15-45121,2015-03-25,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4128,135.61103810775296,True,True,True,True
15-45439,2015-03-25,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4128,135.61103810775296,True,True,True,True
15-45570,2015-03-25,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4128,135.61103810775296,True,True,True,True
15-47187,2015-03-27,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4126,135.5453350854139,True,True,True,True
15-47450,2015-03-27,2015,LEGACY,6-20,NAME_FALLBACK,NONE,True,DIGITAL_ICT,2026-07-13,4126,135.5453350854139,True,True,True,True
15-46530,2015-03-30,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4123,135.4467805519054,True,True,True,True
15-48036,2015-03-31,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4122,135.41392904073587,True,True,True,True
15-32502,2015-03-04,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4149,136.30091984231274,True,True,True,True
15-33114,2015-03-05,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4148,136.26806833114324,True,True,True,True
15-33139,2015-03-05,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4148,136.26806833114324,True,True,True,True
15-33892,2015-03-06,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4147,136.23521681997372,True,True,True,True
15-34817,2015-03-06,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4147,136.23521681997372,True,True,True,True
15-36251,2015-03-10,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4143,136.10381077529567,True,True,True,True
15-36915,2015-03-11,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4142,136.07095926412615,True,True,True,True
15-36835,2015-03-12,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4141,136.03810775295662,True,True,True,True
15-38424,2015-03-13,2015,LEGACY,6-20,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4140,136.00525624178712,True,True,True,True
15-38968,2015-03-13,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4140,136.00525624178712,True,True,True,True
15-40977,2015-03-18,2015,LEGACY,2-5,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4135,135.84099868593955,True,True,True,True
15-32031,2015-03-03,2015,LEGACY,6-20,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4150,136.33377135348226,True,True,True,True
15-34570,2015-03-06,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4147,136.23521681997372,True,True,True,True
15-36571,2015-03-10,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4143,136.10381077529567,True,True,True,True
15-37065,2015-03-11,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4142,136.07095926412615,True,True,True,True
15-37612,2015-03-13,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4140,136.00525624178712,True,True,True,True
15-39187,2015-03-16,2015,LEGACY,21+,NAME_FALLBACK,NONE,True,DIGITAL_ICT,2026-07-13,4137,135.90670170827858,True,True,True,True
15-39901,2015-03-19,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4134,135.80814717477003,True,True,True,True
15-42370,2015-03-19,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4134,135.80814717477003,True,True,True,True
15-42765,2015-03-20,2015,LEGACY,21+,NAME_FALLBACK,NONE,True,DIGITAL_ICT,2026-07-13,4133,135.77529566360053,True,True,True,True
15-42946,2015-03-20,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4133,135.77529566360053,True,True,True,True
